adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0110,0.0110,2020-05-06,0.0000,0.0110,0.0110,0.0110,1.0000,20000
0.0245,0.0245,2020-05-05,0.0000,0.0245,0.0245,0.0245,1.0000,2000
0.0270,0.0270,2020-05-01,0.0000,0.0280,0.0110,0.0280,1.0000,12450
0.0200,0.0200,2020-04-30,0.0000,0.0210,0.0101,0.0141,1.0000,147600
0.0142,0.0142,2020-04-29,0.0000,0.0142,0.0142,0.0142,1.0000,100
0.0141,0.0141,2020-04-21,0.0000,0.0141,0.0141,0.0141,1.0000,3000
0.0141,0.0141,2020-04-15,0.0000,0.0141,0.0141,0.0141,1.0000,17900
0.0155,0.0155,2020-04-08,0.0000,0.0200,0.0155,0.0200,1.0000,29100
0.0155,0.0155,2020-04-07,0.0000,0.0200,0.0155,0.0200,1.0000,25001
0.0180,0.0180,2020-03-30,0.0000,0.0200,0.0180,0.0200,1.0000,60000
0.0250,0.0250,2020-03-26,0.0000,0.0400,0.0172,0.0172,1.0000,662400
0.0500,0.0500,2020-03-25,0.0000,0.0500,0.0263,0.0500,1.0000,4000
0.0159,0.0159,2020-03-19,0.0000,0.0170,0.0159,0.0170,1.0000,33999
0.0130,0.0130,2020-03-18,0.0000,0.0190,0.0130,0.0130,1.0000,33500
0.0130,0.0130,2020-03-16,0.0000,0.0130,0.0130,0.0130,1.0000,2136
0.0117,0.0117,2020-03-12,0.0000,0.0117,0.0117,0.0117,1.0000,10000
0.0130,0.0130,2020-03-10,0.0000,0.0130,0.0130,0.0130,1.0000,15000
0.0106,0.0106,2020-03-06,0.0000,0.0106,0.0106,0.0106,1.0000,10000
0.0126,0.0126,2020-03-04,0.0000,0.0200,0.0119,0.0119,1.0000,226000
0.0100,0.0100,2020-03-02,0.0000,0.0121,0.0100,0.0121,1.0000,142000
0.0121,0.0121,2020-02-28,0.0000,0.0122,0.0121,0.0122,1.0000,2100
0.0121,0.0121,2020-02-27,0.0000,0.0121,0.0121,0.0121,1.0000,500
0.0121,0.0121,2020-02-26,0.0000,0.0121,0.0121,0.0121,1.0000,8000
0.0130,0.0130,2020-02-25,0.0000,0.0130,0.0120,0.0120,1.0000,151000
0.0135,0.0135,2020-02-24,0.0000,0.0135,0.0097,0.0097,1.0000,141100
0.0090,0.0090,2020-02-18,0.0000,0.0090,0.0090,0.0090,1.0000,19800
0.0088,0.0088,2020-02-06,0.0000,0.0088,0.0088,0.0088,1.0000,7000
0.0088,0.0088,2020-02-05,0.0000,0.0088,0.0088,0.0088,1.0000,16547
0.0100,0.0100,2020-02-03,0.0000,0.0100,0.0100,0.0100,1.0000,40000
0.0100,0.0100,2020-01-21,0.0000,0.0100,0.0100,0.0100,1.0000,100
0.0090,0.0090,2020-01-17,0.0000,0.0110,0.0084,0.0084,1.0000,230500
0.0082,0.0082,2020-01-13,0.0000,0.0084,0.0070,0.0070,1.0000,57547
0.0070,0.0070,2020-01-03,0.0000,0.0070,0.0070,0.0070,1.0000,10000
0.0050,0.0050,2019-12-31,0.0000,0.0050,0.0050,0.0050,1.0000,111
0.0050,0.0050,2019-12-27,0.0000,0.0050,0.0050,0.0050,1.0000,7000
0.0050,0.0050,2019-12-23,0.0000,0.0050,0.0050,0.0050,1.0000,30000
0.0052,0.0052,2019-12-11,0.0000,0.0052,0.0052,0.0052,1.0000,20000
0.0060,0.0060,2019-11-22,0.0000,0.0060,0.0060,0.0060,1.0000,16000
0.0060,0.0060,2019-11-18,0.0000,0.0100,0.0050,0.0050,1.0000,45000
0.0043,0.0043,2019-10-31,0.0000,0.0043,0.0043,0.0043,1.0000,12000
0.0036,0.0036,2019-10-22,0.0000,0.0036,0.0036,0.0036,1.0000,26500
0.0050,0.0050,2019-10-21,0.0000,0.0050,0.0050,0.0050,1.0000,20000
0.0051,0.0051,2019-10-18,0.0000,0.0051,0.0051,0.0051,1.0000,12000
0.0060,0.0060,2019-10-17,0.0000,0.0060,0.0060,0.0060,1.0000,8000
0.0051,0.0051,2019-10-16,0.0000,0.0051,0.0051,0.0051,1.0000,45000
0.0050,0.0050,2019-09-13,0.0000,0.0050,0.0050,0.0050,1.0000,700
0.0050,0.0050,2019-09-05,0.0000,0.0050,0.0050,0.0050,1.0000,10
0.0050,0.0050,2019-09-03,0.0000,0.0054,0.0050,0.0054,1.0000,5200
0.0050,0.0050,2019-08-22,0.0000,0.0050,0.0050,0.0050,1.0000,15000
0.0050,0.0050,2019-08-20,0.0000,0.0055,0.0050,0.0055,1.0000,30000
0.0060,0.0060,2019-08-19,0.0000,0.0060,0.0060,0.0060,1.0000,30000
0.0070,0.0070,2019-08-13,0.0000,0.0070,0.0070,0.0070,1.0000,11000
