adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
7.5000,7.5000,2020-05-12,0.0000,7.5000,7.4800,7.4800,1.0000,341
7.0700,7.0700,2020-05-11,0.0000,7.0700,7.0700,7.0700,1.0000,58
7.0700,7.0700,2020-05-08,0.0000,7.0700,7.0700,7.0700,1.0000,4
7.0700,7.0700,2020-05-07,0.0000,7.0700,7.0700,7.0700,1.0000,161
8.0000,8.0000,2020-05-06,0.0000,8.0000,8.0000,8.0000,1.0000,1
8.0000,8.0000,2020-05-05,0.0000,8.2500,7.7500,8.0000,1.0000,1076
8.7500,8.7500,2020-05-04,0.0000,8.7500,8.7500,8.7500,1.0000,0
8.7500,8.7500,2020-05-01,0.0000,8.7500,8.7500,8.7500,1.0000,46
8.7500,8.7500,2020-04-30,0.0000,8.7500,8.7500,8.7500,1.0000,3
8.7500,8.7500,2020-04-29,0.0000,8.7500,8.7500,8.7500,1.0000,4
8.7500,8.7500,2020-04-28,0.0000,8.7500,8.7500,8.7500,1.0000,110
8.6000,8.6000,2020-04-27,0.0000,8.6000,8.6000,8.6000,1.0000,0
8.6000,8.6000,2020-04-24,0.0000,8.6000,8.6000,8.6000,1.0000,5
8.6000,8.6000,2020-04-23,0.0000,8.6000,8.6000,8.6000,1.0000,0
8.6000,8.6000,2020-04-22,0.0000,8.6000,8.6000,8.6000,1.0000,0
8.6000,8.6000,2020-04-21,0.0000,8.6000,8.6000,8.6000,1.0000,27
8.6000,8.6000,2020-04-20,0.0000,8.6000,8.6000,8.6000,1.0000,2
8.6000,8.6000,2020-04-17,0.0000,8.6000,7.9500,7.9500,1.0000,241
7.8000,7.8000,2020-04-16,0.0000,7.9500,7.0000,7.9500,1.0000,4756
8.0000,8.0000,2020-04-15,0.0000,8.0000,8.0000,8.0000,1.0000,1000
8.0000,8.0000,2020-04-14,0.0000,8.0000,7.7500,7.7500,1.0000,2681
7.7500,7.7500,2020-04-13,0.0000,7.7500,7.7500,7.7500,1.0000,102
7.7500,7.7500,2020-04-09,0.0000,7.7500,7.7500,7.7500,1.0000,202
7.6100,7.6100,2020-04-08,0.0000,7.6100,7.6000,7.6000,1.0000,378
7.5500,7.5500,2020-04-07,0.0000,7.5500,7.5500,7.5500,1.0000,295
7.5500,7.5500,2020-04-06,0.0000,7.5501,7.5000,7.5000,1.0000,1135
7.7000,7.7000,2020-04-03,0.0000,7.7000,7.7000,7.7000,1.0000,355
7.7000,7.7000,2020-04-02,0.0000,7.7000,7.7000,7.7000,1.0000,0
7.7000,7.7000,2020-04-01,0.0000,7.7000,7.7000,7.7000,1.0000,0
7.7000,7.7000,2020-03-31,0.0000,7.7000,7.0000,7.0500,1.0000,2367
7.2000,7.2000,2020-03-30,0.0000,7.2000,7.2000,7.2000,1.0000,1175
7.2000,7.2000,2020-03-27,0.0000,7.2000,6.8100,6.8100,1.0000,721
7.2500,7.2500,2020-03-26,0.0000,7.2500,6.5100,6.5100,1.0000,3469
7.0000,7.0000,2020-03-25,0.0000,7.0000,6.7500,6.8500,1.0000,300
6.8500,6.8500,2020-03-24,0.0000,6.8500,6.8500,6.8500,1.0000,953
6.8000,6.8000,2020-03-23,0.0000,6.8000,6.7000,6.7600,1.0000,4950
7.0000,7.0000,2020-03-20,0.0000,7.0000,7.0000,7.0000,1.0000,1050
7.2500,7.2500,2020-03-19,0.0000,7.2500,7.2500,7.2500,1.0000,78
7.2500,7.2500,2020-03-18,0.0000,7.3700,7.2400,7.3700,1.0000,4528
8.0000,8.0000,2020-03-17,0.0000,8.0000,8.0000,8.0000,1.0000,4569
7.5000,7.5000,2020-03-16,0.0000,7.5500,7.5000,7.5500,1.0000,1766
8.0000,8.0000,2020-03-13,0.0000,8.0000,8.0000,8.0000,1.0000,20
8.0000,8.0000,2020-03-12,0.0000,8.7300,8.0000,8.7300,1.0000,1668
8.8000,8.8000,2020-03-11,0.0000,8.8000,8.8000,8.8000,1.0000,7
8.8000,8.8000,2020-03-10,0.0000,9.2000,8.8000,9.2000,1.0000,3455
9.0100,9.0100,2020-03-09,0.0000,9.0100,8.9500,8.9500,1.0000,1350
9.7500,9.7500,2020-03-06,0.0000,9.7500,9.7500,9.7500,1.0000,4
9.7500,9.7500,2020-03-05,0.0000,9.7500,9.7500,9.7500,1.0000,2
9.7500,9.7500,2020-03-04,0.0000,9.7500,9.5400,9.5400,1.0000,791
9.7500,9.7500,2020-03-03,0.0000,9.7500,9.7500,9.7500,1.0000,1
9.7500,9.7500,2020-03-02,0.0000,9.7500,9.7500,9.7500,1.0000,105
