adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
63.3500,63.3500,2020-05-12,0.0000,64.5700,63.0500,64.2000,1.0000,10777318
63.8400,63.8400,2020-05-11,0.0000,64.0790,62.6800,62.7100,1.0000,6906258
63.1200,63.1200,2020-05-08,0.0000,63.2300,61.7600,62.1600,1.0000,7320824
61.4500,61.4500,2020-05-07,0.0000,61.7916,60.8500,61.3600,1.0000,9771546
60.4100,60.4100,2020-05-06,0.0000,63.4900,60.2600,63.4300,1.0000,16299046
61.2100,61.2100,2020-05-05,0.0000,61.6100,60.3500,60.6300,1.0000,7835763
59.9500,59.9500,2020-05-04,0.0000,60.1300,58.9402,59.1600,1.0000,6367792
59.7000,59.7000,2020-05-01,0.0000,60.8000,59.2700,60.7900,1.0000,7575575
61.5500,61.5500,2020-04-30,0.0000,62.6800,61.4100,62.3500,1.0000,7357660
62.6100,62.6100,2020-04-29,0.0000,64.0500,62.5201,63.5200,1.0000,7682713
63.2400,63.2400,2020-04-28,0.0000,65.0000,62.7800,65.0000,1.0000,7344211
63.5000,63.5000,2020-04-27,0.0000,63.8300,62.8100,62.9800,1.0000,6715265
62.3100,62.3100,2020-04-24,0.0000,62.7000,60.9800,61.3400,1.0000,6097489
61.2800,61.2800,2020-04-23,0.0000,62.2300,60.8600,60.8900,1.0000,6051874
60.3500,60.3500,2020-04-22,0.5000,60.9900,60.0800,60.7900,1.0000,5740374
59.7549,60.2500,2020-04-21,0.0000,61.7100,59.9700,61.5100,1.0000,8565779
61.8278,62.3400,2020-04-20,0.0000,63.6850,62.1600,62.7500,1.0000,8215673
62.8394,63.3600,2020-04-17,0.0000,64.2500,62.3531,64.0100,1.0000,8005286
62.0459,62.5600,2020-04-16,0.0000,62.8927,60.4300,60.8400,1.0000,11082626
60.0624,60.5600,2020-04-15,0.0000,60.9280,59.4500,60.6500,1.0000,9270347
61.0542,61.5600,2020-04-14,0.0000,61.6700,59.6700,59.8800,1.0000,8253607
58.4755,58.9600,2020-04-13,0.0000,61.2641,58.1200,60.5000,1.0000,9986696
59.9731,60.4700,2020-04-09,0.0000,61.4500,59.3200,59.5200,1.0000,9167680
58.9218,59.4100,2020-04-08,0.0000,59.8200,56.8486,57.3300,1.0000,8557786
56.4027,56.8700,2020-04-07,0.0000,58.5200,56.1600,57.9000,1.0000,12317441
55.7580,56.2200,2020-04-06,0.0000,57.9200,55.7800,57.7700,1.0000,11820223
55.2622,55.7200,2020-04-03,0.0000,56.6000,54.3500,55.2200,1.0000,8785213
54.9547,55.4100,2020-04-02,0.0000,56.9800,54.0700,56.7700,1.0000,16810965
57.8606,58.3400,2020-04-01,0.0000,58.8700,57.2000,57.7500,1.0000,11473527
58.8425,59.3300,2020-03-31,0.0000,59.8400,58.1800,59.1800,1.0000,11018489
59.1896,59.6800,2020-03-30,0.0000,60.4000,57.7800,58.9200,1.0000,12936545
58.1185,58.6000,2020-03-27,0.0000,59.7800,55.8200,56.7500,1.0000,15031246
57.8309,58.3100,2020-03-26,0.0000,58.4500,52.2800,53.6500,1.0000,23184687
53.1992,53.6400,2020-03-25,0.0000,57.5300,52.7100,54.4000,1.0000,19586080
53.9034,54.3500,2020-03-24,0.0000,55.6400,52.8600,55.1300,1.0000,19294581
52.6538,53.0900,2020-03-23,0.0000,54.9700,52.0400,53.8600,1.0000,16321875
54.2505,54.7000,2020-03-20,0.0000,56.7800,53.5300,55.8100,1.0000,15678671
54.9249,55.3800,2020-03-19,0.0000,59.1100,54.1400,56.8000,1.0000,16239771
56.7102,57.1800,2020-03-18,0.0000,59.6400,53.0600,54.3500,1.0000,17947458
57.5234,58.0000,2020-03-17,0.0000,59.2500,52.6395,53.6300,1.0000,15455259
51.8703,52.3000,2020-03-16,0.0000,56.8900,52.2100,53.6800,1.0000,13502059
59.1499,59.6400,2020-03-13,0.0000,59.8000,54.4600,57.4600,1.0000,15466190
54.1514,54.6000,2020-03-12,0.0000,57.9800,53.5000,57.1300,1.0000,16849053
60.8062,61.3100,2020-03-11,0.0000,63.0000,59.9800,61.2200,1.0000,12098909
62.0856,62.6000,2020-03-10,0.0000,63.3600,59.0600,62.7600,1.0000,13273091
60.7963,61.3000,2020-03-09,0.0000,63.1483,59.6000,59.7500,1.0000,13476448
63.6229,64.1500,2020-03-06,0.0000,65.0900,62.2000,62.5700,1.0000,11683333
63.8312,64.3600,2020-03-05,0.0000,65.4400,63.6300,63.9400,1.0000,8576692
65.4974,66.0400,2020-03-04,0.0000,66.9800,64.8300,66.6000,1.0000,14686448
62.0261,62.5400,2020-03-03,0.0000,65.6500,61.3600,64.5700,1.0000,14986814
63.5039,64.0300,2020-03-02,0.0000,64.0700,59.8600,60.6700,1.0000,15899995
58.6937,59.1800,2020-02-28,0.0000,59.3400,57.1000,57.2900,1.0000,23725699
58.8425,59.3300,2020-02-27,0.0000,61.5000,59.3300,61.5000,1.0000,22050607
62.1352,62.6500,2020-02-26,0.0000,65.2000,62.5500,64.6500,1.0000,16872420
63.8014,64.3300,2020-02-25,0.0000,68.3700,64.0863,68.2400,1.0000,15054722
67.3619,67.9200,2020-02-24,0.0000,69.9400,67.7200,69.4300,1.0000,9629835
70.9224,71.5100,2020-02-21,0.0000,71.8000,71.0100,71.5500,1.0000,5183663
71.3489,71.9400,2020-02-20,0.0000,72.2300,70.5600,71.5000,1.0000,5718009
71.1902,71.7800,2020-02-19,0.0000,72.5600,71.6600,72.3100,1.0000,4829333
71.4084,72.0000,2020-02-18,0.0000,72.0000,70.9000,71.1900,1.0000,4843896
70.7836,71.3700,2020-02-14,0.0000,72.0300,70.2650,71.9800,1.0000,7652733
71.4084,72.0000,2020-02-13,0.0000,74.1000,71.9400,73.4500,1.0000,8549996
73.1440,73.7500,2020-02-12,0.0000,75.2500,72.6400,74.6800,1.0000,13486240
73.2432,73.8500,2020-02-11,0.0000,74.1300,73.4250,73.8100,1.0000,7912668
72.6481,73.2500,2020-02-10,0.0000,73.3250,71.2600,71.5500,1.0000,8758677
70.9720,71.5600,2020-02-07,0.0000,72.0900,71.0000,71.0500,1.0000,6608978
70.2579,70.8400,2020-02-06,0.0000,71.5900,70.4100,71.0000,1.0000,6513537
69.9604,70.5400,2020-02-05,0.0000,70.7775,68.5600,68.7800,1.0000,6607815
67.3222,67.8800,2020-02-04,0.0000,68.4600,67.3000,67.3100,1.0000,7522111
66.3800,66.9300,2020-02-03,0.0000,68.6135,66.7900,68.4000,1.0000,7694008
67.2627,67.8200,2020-01-31,0.0000,69.3500,67.4000,69.3500,1.0000,9867101
69.1372,69.7100,2020-01-30,0.0000,70.2100,68.3800,70.0900,1.0000,8429448
69.9703,70.5500,2020-01-29,0.0000,72.1100,70.4500,72.1100,1.0000,6285076
71.2299,71.8200,2020-01-28,0.0000,72.1380,71.1208,71.2500,1.0000,5037319
70.3868,70.9700,2020-01-27,0.0000,71.2100,69.3600,69.9000,1.0000,6400745
70.8431,71.4300,2020-01-24,0.0000,73.6500,70.1700,73.6400,1.0000,10123021
72.9258,73.5300,2020-01-23,0.0000,73.8800,72.4800,73.7600,1.0000,8602453
73.4019,74.0100,2020-01-22,0.5000,74.6200,73.9100,74.1600,1.0000,4200001
73.4807,74.5900,2020-01-21,0.0000,76.0100,74.3500,76.0000,1.0000,8659957
