adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
13.6000,13.6000,2020-05-12,0.0000,13.9000,13.5700,13.9000,1.0000,49777
13.8500,13.8500,2020-05-11,0.0000,13.8500,13.8500,13.8500,1.0000,151
14.5300,14.5300,2020-05-08,0.0000,14.6500,14.5100,14.5700,1.0000,4483
14.1743,14.1743,2020-05-07,0.0000,14.3100,13.9900,14.0600,1.0000,2423
13.9200,13.9200,2020-05-06,0.0000,14.1000,13.8500,14.1000,1.0000,630
14.3900,14.3900,2020-05-05,0.0000,14.4127,14.2700,14.4127,1.0000,817
13.6190,13.6190,2020-05-04,0.0000,13.8600,13.6121,13.8600,1.0000,2171
14.4000,14.4000,2020-05-01,0.0000,14.4125,14.1850,14.4000,1.0000,20067
15.0250,15.0250,2020-04-30,0.0000,15.8844,15.0100,15.8844,1.0000,4008
15.9100,15.9100,2020-04-29,0.1100,16.0347,15.7700,15.8929,1.0000,6514
15.5958,15.7036,2020-04-28,0.0000,15.7036,15.5762,15.5762,1.0000,1250
15.1225,15.2271,2020-04-27,0.0000,15.2271,14.3700,14.5000,1.0000,5216
14.3011,14.4000,2020-04-24,0.0000,14.4374,14.3700,14.4374,1.0000,2302
13.9237,14.0200,2020-04-23,0.0000,14.1600,13.8800,14.0684,1.0000,4777
14.1436,14.2414,2020-04-22,0.0000,14.7700,14.2414,14.6700,1.0000,2395
14.4935,14.5937,2020-04-21,0.0000,15.1000,14.5937,15.1000,1.0000,3706
14.9068,15.0099,2020-04-20,0.0000,15.0548,15.0099,15.0548,1.0000,986
15.2744,15.3800,2020-04-17,0.0000,15.7381,15.1250,15.4196,1.0000,3941
14.8622,14.9650,2020-04-16,0.0000,15.4373,14.9650,15.4373,1.0000,9195
15.6220,15.7300,2020-04-15,0.0000,15.7300,15.7300,15.7300,1.0000,81
15.6220,15.7300,2020-04-14,0.0000,16.2200,15.7300,16.1961,1.0000,1403
15.7362,15.8450,2020-04-13,0.0000,16.1800,15.5900,15.6900,1.0000,3779
