adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
3.9900,3.9900,2020-05-12,0.0000,4.5050,3.9600,4.4600,1.0000,194489
4.4400,4.4400,2020-05-11,0.0000,4.5400,4.1700,4.1700,1.0000,207761
4.1700,4.1700,2020-05-08,0.0000,4.4500,3.9100,3.9400,1.0000,207799
3.9400,3.9400,2020-05-07,0.0000,4.1400,3.9100,4.1100,1.0000,117879
4.0000,4.0000,2020-05-06,0.0000,4.1600,3.7700,3.9700,1.0000,202130
3.9100,3.9100,2020-05-05,0.0000,4.2200,3.8500,4.0500,1.0000,157877
3.9600,3.9600,2020-05-04,0.0000,4.0000,3.6200,3.6200,1.0000,101417
3.6200,3.6200,2020-05-01,0.0000,3.8100,3.6000,3.7600,1.0000,167883
3.8700,3.8700,2020-04-30,0.0000,4.1800,3.8200,4.0900,1.0000,219144
4.1500,4.1500,2020-04-29,0.0000,4.4000,3.5600,3.6700,1.0000,352582
3.5300,3.5300,2020-04-28,0.0000,3.8500,3.3500,3.8300,1.0000,185983
3.7100,3.7100,2020-04-27,0.0000,3.8700,3.6000,3.6500,1.0000,161376
3.6100,3.6100,2020-04-24,0.0000,3.7400,3.4900,3.5600,1.0000,63910
3.5800,3.5800,2020-04-23,0.0000,3.7500,3.4900,3.5000,1.0000,83810
3.4900,3.4900,2020-04-22,0.0000,3.5200,3.1700,3.3100,1.0000,162758
3.3100,3.3100,2020-04-21,0.0000,3.5400,3.1400,3.4000,1.0000,308725
3.4000,3.4000,2020-04-20,0.0000,3.8092,3.3165,3.3400,1.0000,135164
3.4500,3.4500,2020-04-17,0.0000,3.5300,3.1009,3.1500,1.0000,303147
3.0800,3.0800,2020-04-16,0.0000,3.4600,3.0000,3.2800,1.0000,228081
3.3000,3.3000,2020-04-15,0.0000,3.4000,3.0275,3.1400,1.0000,223393
3.2700,3.2700,2020-04-14,0.0000,3.3103,2.8100,2.8100,1.0000,183100
2.7900,2.7900,2020-04-13,0.0000,2.8100,2.5911,2.6700,1.0000,202938
2.7500,2.7500,2020-04-09,0.0000,2.9300,2.6700,2.9000,1.0000,325345
2.8200,2.8200,2020-04-08,0.0000,2.9600,2.5600,2.6200,1.0000,193393
2.5800,2.5800,2020-04-07,0.0000,2.8399,2.5100,2.5900,1.0000,184307
2.5700,2.5700,2020-04-06,0.0000,2.7700,2.5300,2.6100,1.0000,207425
2.5200,2.5200,2020-04-03,0.0000,2.6100,2.3100,2.3600,1.0000,195488
2.3700,2.3700,2020-04-02,0.0000,2.5300,2.3500,2.4300,1.0000,261155
2.4100,2.4100,2020-04-01,0.0000,2.7700,2.3400,2.5800,1.0000,170311
2.6500,2.6500,2020-03-31,0.0000,2.8900,2.5900,2.7400,1.0000,142394
