adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
29.4800,29.4800,2020-05-12,0.0000,29.7000,29.4800,29.7000,1.0000,300
28.1200,28.1200,2020-05-11,0.0000,28.1200,28.1200,28.1200,1.0000,0
28.1200,28.1200,2020-05-08,0.0000,28.1200,28.1200,28.1200,1.0000,0
28.1200,28.1200,2020-05-07,0.0000,28.4050,28.1200,28.4050,1.0000,525
28.4190,28.4190,2020-05-06,0.0000,28.5190,28.3500,28.3500,1.0000,27255
28.6000,28.6000,2020-05-05,0.0000,28.6000,28.6000,28.6000,1.0000,0
28.6000,28.6000,2020-05-04,0.0000,28.6000,28.6000,28.6000,1.0000,101
29.8500,29.8500,2020-05-01,0.0000,29.8500,29.8500,29.8500,1.0000,0
29.8500,29.8500,2020-04-30,0.0000,29.9000,29.8500,29.9000,1.0000,460
29.9000,29.9000,2020-04-29,0.0000,30.4000,29.9000,30.4000,1.0000,952
28.4600,28.4600,2020-04-28,0.0000,28.4600,28.4600,28.4600,1.0000,0
28.4600,28.4600,2020-04-27,0.0000,28.4600,28.4600,28.4600,1.0000,0
28.4600,28.4600,2020-04-24,0.0000,28.4600,28.1863,28.1863,1.0000,1302
28.7300,28.7300,2020-04-23,0.0000,28.8100,28.7300,28.8100,1.0000,901
28.6900,28.6900,2020-04-22,0.0000,28.6900,28.6900,28.6900,1.0000,309
28.0243,28.0243,2020-04-21,0.0000,28.0243,28.0243,28.0243,1.0000,208
29.0800,29.0800,2020-04-20,0.0000,29.0800,29.0800,29.0800,1.0000,1150
27.3800,27.3800,2020-04-17,0.0000,27.3800,27.3800,27.3800,1.0000,0
27.3800,27.3800,2020-04-16,0.0000,27.6281,27.3800,27.6281,1.0000,278
27.6700,27.6700,2020-04-15,0.0000,27.6700,27.5000,27.5000,1.0000,400
27.5000,27.5000,2020-04-14,0.0000,27.5000,27.5000,27.5000,1.0000,0
27.5000,27.5000,2020-04-13,0.0000,27.5000,27.5000,27.5000,1.0000,0
27.5000,27.5000,2020-04-09,0.0000,27.5000,27.5000,27.5000,1.0000,0
27.5000,27.5000,2020-04-08,0.0000,27.5000,27.5000,27.5000,1.0000,5560
26.2500,26.2500,2020-04-07,0.0000,26.2500,26.2500,26.2500,1.0000,0
26.2500,26.2500,2020-04-06,0.0000,26.2500,26.2500,26.2500,1.0000,0
26.2540,26.2540,2020-04-03,0.0000,26.2540,26.2540,26.2540,1.0000,398
26.8800,26.8800,2020-04-02,0.0000,26.8800,26.8800,26.8800,1.0000,540
27.9200,27.9200,2020-04-01,0.0000,27.9200,27.9200,27.9200,1.0000,2898
27.9200,27.9200,2020-03-31,0.0000,27.9300,27.0000,27.0000,1.0000,1345
27.6000,27.6000,2020-03-30,0.0000,27.6000,25.7500,25.7500,1.0000,1875
25.0193,25.0193,2020-03-27,0.0000,25.0193,25.0193,25.0193,1.0000,166
26.7425,26.7425,2020-03-26,0.0000,26.7425,26.7425,26.7425,1.0000,10504
26.0000,26.0000,2020-03-25,0.0000,26.0000,26.0000,26.0000,1.0000,0
26.0000,26.0000,2020-03-24,0.0000,26.0000,25.4635,25.4635,1.0000,1690
23.4800,23.4800,2020-03-23,0.0000,23.4800,22.4200,22.4200,1.0000,1363
21.4400,21.4400,2020-03-20,0.0000,22.8277,21.4400,22.6500,1.0000,2330
