adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0321,0.0321,2020-02-20,0.0000,0.0321,0.0321,0.0321,1.0000,1000
0.0321,0.0321,2020-02-10,0.0000,0.0321,0.0321,0.0321,1.0000,2600
0.0010,0.0010,2020-01-17,0.0000,0.0010,0.0010,0.0010,1.0000,620
0.0101,0.0101,2020-01-16,0.0000,0.0101,0.0101,0.0101,1.0000,4000
0.0010,0.0010,2019-12-17,0.0000,0.0010,0.0010,0.0010,1.0000,400
0.0130,0.0130,2019-12-12,0.0000,0.0130,0.0130,0.0130,1.0000,200
0.0131,0.0131,2019-12-06,0.0000,0.0131,0.0131,0.0131,1.0000,175
0.0131,0.0131,2019-12-05,0.0000,0.0131,0.0131,0.0131,1.0000,300
0.0001,0.0001,2019-12-02,0.0000,0.0001,0.0001,0.0001,1.0000,3000
0.0210,0.0210,2019-11-27,0.0000,0.0210,0.0210,0.0210,1.0000,5000
0.0215,0.0215,2019-11-15,0.0000,0.0215,0.0215,0.0215,1.0000,800
0.0171,0.0171,2019-11-04,0.0000,0.0171,0.0171,0.0171,1.0000,2000
0.0171,0.0171,2019-08-19,0.0000,0.0171,0.0171,0.0171,1.0000,2236
0.0211,0.0211,2019-08-16,0.0000,0.0211,0.0211,0.0211,1.0000,1500
0.0211,0.0211,2019-07-31,0.0000,0.0211,0.0211,0.0211,1.0000,12000
0.0250,0.0250,2019-06-25,0.0000,0.0250,0.0250,0.0250,1.0000,15000
0.0169,0.0169,2019-06-24,0.0000,0.0205,0.0169,0.0205,1.0000,10000
0.0264,0.0264,2019-06-18,0.0000,0.0264,0.0264,0.0264,1.0000,25000
0.0205,0.0205,2019-06-17,0.0000,0.0205,0.0130,0.0130,1.0000,16400
0.0130,0.0130,2019-06-13,0.0000,0.0130,0.0130,0.0130,1.0000,5000
0.0149,0.0149,2019-06-04,0.0000,0.0215,0.0149,0.0149,1.0000,8000
0.0149,0.0149,2019-06-03,0.0000,0.0149,0.0149,0.0149,1.0000,2500
0.0149,0.0149,2019-05-31,0.0000,0.0149,0.0149,0.0149,1.0000,33800
0.0273,0.0273,2019-05-21,0.0000,0.0273,0.0273,0.0273,1.0000,5000
0.0158,0.0158,2019-05-15,0.0000,0.0158,0.0158,0.0158,1.0000,200
0.0157,0.0157,2019-05-14,0.0000,0.0160,0.0149,0.0149,1.0000,1340
0.0302,0.0302,2019-05-13,0.0000,0.0302,0.0231,0.0231,1.0000,10000
0.0151,0.0151,2019-05-10,0.0000,0.0160,0.0151,0.0160,1.0000,5500
0.0310,0.0310,2019-05-09,0.0000,0.0310,0.0254,0.0254,1.0000,3100
0.0151,0.0151,2019-04-29,0.0000,0.0151,0.0151,0.0151,1.0000,4000
0.0260,0.0260,2019-04-26,0.0000,0.0260,0.0260,0.0260,1.0000,5000
0.0280,0.0280,2019-04-18,0.0000,0.0280,0.0200,0.0200,1.0000,4150
0.0136,0.0136,2019-04-15,0.0000,0.0136,0.0136,0.0136,1.0000,600
0.0240,0.0240,2019-04-09,0.0000,0.0240,0.0240,0.0240,1.0000,2500
0.0171,0.0171,2019-04-05,0.0000,0.0171,0.0171,0.0171,1.0000,200
0.0261,0.0261,2019-04-02,0.0000,0.0261,0.0261,0.0261,1.0000,2000
0.0204,0.0204,2019-03-21,0.0000,0.0275,0.0204,0.0275,1.0000,9600
0.0275,0.0275,2019-03-20,0.0000,0.0295,0.0250,0.0250,1.0000,31200
0.0215,0.0215,2019-03-19,0.0000,0.0215,0.0215,0.0215,1.0000,120
0.0205,0.0205,2019-03-18,0.0000,0.0205,0.0205,0.0205,1.0000,4000
