adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
12.6300,12.6300,2020-05-12,0.0000,13.2054,12.5700,13.2000,1.0000,287283
13.1300,13.1300,2020-05-11,0.0000,13.2300,12.6400,13.0000,1.0000,289260
13.0000,13.0000,2020-05-08,0.0000,13.2050,12.5700,13.0600,1.0000,260211
12.6900,12.6900,2020-05-07,0.0000,12.8300,12.1100,12.1300,1.0000,257388
12.2500,12.2500,2020-05-06,0.0000,12.3500,12.0100,12.2600,1.0000,152360
12.2900,12.2900,2020-05-05,0.0000,13.0700,12.2500,13.0000,1.0000,166243
12.8450,12.8450,2020-05-04,0.0000,12.9300,12.4500,12.7000,1.0000,126205
12.8300,12.8300,2020-05-01,0.0000,13.4650,12.5800,13.3000,1.0000,130264
13.7600,13.7600,2020-04-30,0.0000,13.9900,13.5300,13.9100,1.0000,152118
14.3600,14.3600,2020-04-29,0.0000,14.6900,13.7200,14.2900,1.0000,249040
13.6600,13.6600,2020-04-28,0.0000,13.7200,13.2900,13.7200,1.0000,203293
13.1800,13.1800,2020-04-27,0.0000,13.3900,12.2300,12.2700,1.0000,284752
12.1800,12.1800,2020-04-24,0.0000,12.2400,11.8000,11.9800,1.0000,271830
11.4900,11.4900,2020-04-23,0.0000,11.5899,10.5100,10.5100,1.0000,182268
10.7600,10.7600,2020-04-22,0.0000,11.2100,10.6400,11.1100,1.0000,116734
10.8400,10.8400,2020-04-21,0.0000,11.0900,10.5300,10.6700,1.0000,96919
11.1300,11.1300,2020-04-20,0.0000,11.4200,10.8300,10.8700,1.0000,115896
11.1800,11.1800,2020-04-17,0.0000,11.4500,10.8200,10.8200,1.0000,181685
10.4000,10.4000,2020-04-16,0.0000,10.5900,10.1000,10.4500,1.0000,270232
10.4800,10.4800,2020-04-15,0.0000,10.5700,10.3100,10.5700,1.0000,163520
11.1100,11.1100,2020-04-14,0.0000,11.7800,10.7100,11.5600,1.0000,185092
11.1500,11.1500,2020-04-13,0.0000,11.5350,10.9300,11.4900,1.0000,216250
11.5200,11.5200,2020-04-09,0.0000,11.5500,10.8900,11.1100,1.0000,175096
10.7200,10.7200,2020-04-08,0.0000,10.8200,10.0400,10.3900,1.0000,154180
10.2100,10.2100,2020-04-07,0.0000,10.8900,10.0000,10.7300,1.0000,136389
10.2700,10.2700,2020-04-06,0.0000,10.3300,9.8301,9.9800,1.0000,151106
9.4900,9.4900,2020-04-03,0.0000,10.2000,9.2750,10.1800,1.0000,136803
10.1900,10.1900,2020-04-02,0.0000,10.2700,9.6000,9.6800,1.0000,192904
9.7600,9.7600,2020-04-01,0.0000,10.1100,9.5950,9.8200,1.0000,235163
10.2200,10.2200,2020-03-31,0.0000,10.6200,10.1000,10.3800,1.0000,197305
10.4900,10.4900,2020-03-30,0.0000,10.6792,10.2800,10.4000,1.0000,138266
10.4700,10.4700,2020-03-27,0.0000,10.7400,9.8700,10.1800,1.0000,229620
10.5100,10.5100,2020-03-26,0.0000,10.5700,9.1000,9.3100,1.0000,202820
9.2200,9.2200,2020-03-25,0.0000,10.0000,9.0500,9.6800,1.0000,316343
9.6700,9.6700,2020-03-24,0.0000,9.7200,8.7900,9.1500,1.0000,269784
8.3200,8.3200,2020-03-23,0.0000,8.7900,8.0100,8.7900,1.0000,338282
8.5200,8.5200,2020-03-20,0.0000,9.8500,8.4550,9.6900,1.0000,949449
9.8000,9.8000,2020-03-19,0.0000,10.0800,9.2400,9.5600,1.0000,227611
9.5600,9.5600,2020-03-18,0.0000,10.8800,9.3650,10.6500,1.0000,194784
11.2500,11.2500,2020-03-17,0.0000,11.3100,9.4000,10.6700,1.0000,366496
10.5400,10.5400,2020-03-16,0.0000,11.2600,10.4000,10.4000,1.0000,330160
11.4700,11.4700,2020-03-13,0.0000,11.4900,10.3501,10.8500,1.0000,293784
10.2100,10.2100,2020-03-12,0.0000,11.9700,9.8900,11.4200,1.0000,386430
12.2400,12.2400,2020-03-11,0.0000,12.6000,12.0000,12.5000,1.0000,205293
12.7400,12.7400,2020-03-10,0.0000,12.8500,12.1250,12.6000,1.0000,298580
12.1000,12.1000,2020-03-09,0.0000,13.2400,12.0800,13.0000,1.0000,192449
13.8000,13.8000,2020-03-06,0.0000,14.1400,12.7800,13.0600,1.0000,154602
14.1400,14.1400,2020-03-05,0.0000,14.5700,13.9600,14.5300,1.0000,146965
14.9200,14.9200,2020-03-04,0.0700,14.9900,14.4500,14.6500,1.0000,122141
14.4422,14.5100,2020-03-03,0.0000,14.9300,14.3200,14.8400,1.0000,107971
14.8603,14.9300,2020-03-02,0.0000,15.0100,14.3700,14.5200,1.0000,81622
14.4074,14.4750,2020-02-28,0.0000,14.5700,14.0500,14.3500,1.0000,184671
14.7309,14.8000,2020-02-27,0.0000,15.3350,14.8000,15.1700,1.0000,109677
15.3380,15.4100,2020-02-26,0.0000,15.4350,15.1700,15.3100,1.0000,114910
15.1489,15.2200,2020-02-25,0.0000,16.0400,15.1200,16.0000,1.0000,127733
15.9352,16.0100,2020-02-24,0.0000,16.2700,16.0100,16.1700,1.0000,50898
