adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
49.4800,49.4800,2020-05-12,0.0000,50.3300,49.3100,49.4100,1.0000,29338
49.8500,49.8500,2020-05-11,0.0000,49.9000,49.4540,49.4540,1.0000,13455
48.6650,48.6650,2020-05-08,0.0000,48.8600,48.0600,48.0600,1.0000,7090
47.4375,47.4375,2020-05-07,0.0000,48.0000,45.4800,45.4800,1.0000,13300
47.6400,47.6400,2020-05-06,0.0000,48.4900,47.6400,48.4900,1.0000,13009
47.9300,47.9300,2020-05-05,0.0000,48.6600,47.7500,48.6600,1.0000,19550
47.0800,47.0800,2020-05-04,0.0000,47.0800,45.6000,45.6000,1.0000,26500
47.4600,47.4600,2020-05-01,0.0000,47.7900,47.2550,47.5000,1.0000,49602
47.7400,47.7400,2020-04-30,0.0000,48.3200,47.2900,48.3200,1.0000,41756
47.4600,47.4600,2020-04-29,0.0000,47.6900,47.2000,47.2000,1.0000,19236
46.1300,46.1300,2020-04-28,0.0000,46.7000,46.1300,46.7000,1.0000,18661
45.7200,45.7200,2020-04-27,0.0000,45.9900,44.8700,45.1000,1.0000,17729
44.7900,44.7900,2020-04-24,0.0000,44.9100,44.4600,44.5000,1.0000,8114
44.8700,44.8700,2020-04-23,0.0000,45.3900,44.8200,45.0300,1.0000,10937
45.3440,45.3440,2020-04-22,0.0000,45.3700,44.7700,45.2000,1.0000,10164
43.9400,43.9400,2020-04-21,0.0000,44.4200,43.5300,44.4200,1.0000,26979
45.5200,45.5200,2020-04-20,0.0000,46.0000,45.1700,45.7000,1.0000,25324
46.2115,46.2115,2020-04-17,0.0000,46.5600,46.0190,46.2300,1.0000,16188
44.4000,44.4000,2020-04-16,0.0000,44.6000,44.2000,44.3350,1.0000,38665
44.3500,44.3500,2020-04-15,0.0000,45.0300,44.1900,45.0300,1.0000,74658
45.3380,45.3380,2020-04-14,0.0000,45.3500,44.0700,44.0700,1.0000,59198
42.9020,42.9020,2020-04-13,0.0000,45.4300,42.8800,45.4300,1.0000,11895
43.4000,43.4000,2020-04-09,0.0000,43.9000,42.4400,42.5300,1.0000,24080
42.7380,42.7380,2020-04-08,0.0000,42.8800,40.2000,40.2000,1.0000,35596
39.7490,39.7490,2020-04-07,0.0000,41.8200,39.6900,40.3600,1.0000,43705
39.3000,39.3000,2020-04-06,0.0000,39.3000,38.6200,39.0000,1.0000,50578
38.2700,38.2700,2020-04-03,0.0000,38.6000,37.8200,38.0000,1.0000,37109
38.0000,38.0000,2020-04-02,0.0000,38.2600,37.5400,37.6930,1.0000,23821
38.3665,38.3665,2020-04-01,0.0000,39.4280,38.0400,38.0400,1.0000,23451
40.2730,40.2730,2020-03-31,0.0000,41.2650,39.7300,39.7300,1.0000,16165
39.7000,39.7000,2020-03-30,0.0000,41.2700,38.6500,40.0000,1.0000,18026
