adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
27.9700,27.9700,2020-05-12,0.0000,29.3100,27.8200,28.4800,1.0000,71628
28.3600,28.3600,2020-05-11,0.0000,29.2000,28.0700,28.6600,1.0000,94139
29.2400,29.2400,2020-05-08,0.0000,29.9400,28.8300,29.3000,1.0000,138719
28.6600,28.6600,2020-05-07,0.0000,30.8000,28.6000,30.3900,1.0000,96719
29.6000,29.6000,2020-05-06,0.0000,30.3300,28.7900,29.7600,1.0000,84300
29.6400,29.6400,2020-05-05,0.0000,30.5200,29.2500,30.3200,1.0000,132805
29.7600,29.7600,2020-05-04,0.0000,29.8400,28.5200,28.6400,1.0000,145967
29.2600,29.2600,2020-05-01,0.0000,29.9550,28.2900,29.7800,1.0000,132946
30.2500,30.2500,2020-04-30,0.0000,30.3800,28.6400,29.9900,1.0000,167801
30.3600,30.3600,2020-04-29,0.0000,30.5700,29.2500,29.4100,1.0000,131934
28.2700,28.2700,2020-04-28,0.0000,29.6000,27.7400,28.6800,1.0000,122007
28.0200,28.0200,2020-04-27,0.0000,28.3700,25.9976,26.1000,1.0000,199683
26.0500,26.0500,2020-04-24,0.0000,26.6900,25.3200,26.6900,1.0000,336116
26.0400,26.0400,2020-04-23,0.0000,27.8400,24.2100,24.2100,1.0000,1049325
23.8600,23.8600,2020-04-22,0.0000,24.4300,23.4100,24.1600,1.0000,99438
23.8500,23.8500,2020-04-21,0.0000,24.2200,22.6326,22.9400,1.0000,117380
23.8500,23.8500,2020-04-20,0.0000,24.3500,22.8500,23.0400,1.0000,182479
23.6900,23.6900,2020-04-17,0.0000,23.9800,21.8700,21.8700,1.0000,323314
21.2900,21.2900,2020-04-16,0.0000,22.5500,21.1749,22.5500,1.0000,338389
22.5400,22.5400,2020-04-15,0.0000,23.1100,22.4113,23.1100,1.0000,94268
23.7600,23.7600,2020-04-14,0.0000,24.0300,23.2200,23.6800,1.0000,193099
23.2000,23.2000,2020-04-13,0.0000,23.3657,22.0200,22.5000,1.0000,116111
23.7800,23.7800,2020-04-09,0.0000,23.9400,22.8300,23.0400,1.0000,215936
22.3200,22.3200,2020-04-08,0.0000,22.5900,20.8800,21.4700,1.0000,144081
21.0000,21.0000,2020-04-07,0.0000,22.8000,20.8800,22.7000,1.0000,270505
21.6700,21.6700,2020-04-06,0.0000,22.7700,21.4100,21.7400,1.0000,188586
20.6100,20.6100,2020-04-03,0.0000,23.4500,19.8800,23.2000,1.0000,161863
23.2100,23.2100,2020-04-02,0.0000,23.8800,22.0000,22.8700,1.0000,224165
23.0500,23.0500,2020-04-01,0.0000,24.7700,22.3800,24.7600,1.0000,163758
25.8200,25.8200,2020-03-31,0.0000,26.2400,24.4800,25.0700,1.0000,283437
24.9700,24.9700,2020-03-30,0.0000,26.2800,24.1041,26.2800,1.0000,167724
25.6500,25.6500,2020-03-27,0.0000,25.9200,23.6044,24.0100,1.0000,198740
25.2000,25.2000,2020-03-26,0.0000,26.1700,24.1900,24.1900,1.0000,226011
23.8700,23.8700,2020-03-25,0.0000,25.0900,22.2800,22.3500,1.0000,312232
22.1300,22.1300,2020-03-24,0.0000,22.3600,20.2200,20.2200,1.0000,230197
19.7500,19.7500,2020-03-23,0.0000,20.7000,18.7800,20.4300,1.0000,340799
20.8500,20.8500,2020-03-20,0.0000,23.4450,20.6400,21.0100,1.0000,421922
20.9400,20.9400,2020-03-19,0.0000,22.5900,17.3200,17.5700,1.0000,461889
18.0800,18.0800,2020-03-18,0.0000,19.8100,16.8700,17.9800,1.0000,539396
19.3300,19.3300,2020-03-17,0.0000,21.3200,17.3701,20.0800,1.0000,510747
19.6200,19.6200,2020-03-16,0.0000,23.7100,18.7500,23.6000,1.0000,516022
25.8500,25.8500,2020-03-13,0.0000,26.2300,23.5500,25.4300,1.0000,588801
24.1300,24.1300,2020-03-12,0.0000,26.5500,22.5800,25.7500,1.0000,553205
27.3700,27.3700,2020-03-11,0.0000,29.5600,27.1000,29.3200,1.0000,756879
30.1700,30.1700,2020-03-10,0.0000,30.5150,27.7500,29.6200,1.0000,330538
29.1600,29.1600,2020-03-09,0.0000,32.7100,29.0050,32.3800,1.0000,357379
33.9100,33.9100,2020-03-06,0.0000,34.3500,33.1200,33.1200,1.0000,271629
34.1500,34.1500,2020-03-05,0.0000,36.3850,34.0700,36.2500,1.0000,179559
36.6700,36.6700,2020-03-04,0.0000,36.8600,35.6800,36.8300,1.0000,150836
36.3000,36.3000,2020-03-03,0.0000,37.7800,35.6300,36.5100,1.0000,178406
36.4700,36.4700,2020-03-02,0.0000,38.0200,35.5200,37.5500,1.0000,262495
37.4900,37.4900,2020-02-28,0.0000,37.7600,35.4500,35.4500,1.0000,447447
36.3500,36.3500,2020-02-27,0.0000,37.9600,35.4500,36.6200,1.0000,340980
37.7600,37.7600,2020-02-26,0.0000,41.4600,37.6600,40.3300,1.0000,253528
40.5000,40.5000,2020-02-25,0.0000,43.1300,40.5000,43.1300,1.0000,155078
42.9400,42.9400,2020-02-24,0.0000,43.2600,40.8613,42.7300,1.0000,90426
43.7200,43.7200,2020-02-21,0.0000,44.3800,43.5900,44.0600,1.0000,182067
44.1800,44.1800,2020-02-20,0.0000,44.4400,43.7000,44.4400,1.0000,118346
44.3600,44.3600,2020-02-19,0.0000,44.7400,43.5700,44.0600,1.0000,102411
43.9700,43.9700,2020-02-18,0.0000,44.3900,43.7200,44.2100,1.0000,131308
44.2900,44.2900,2020-02-14,0.0000,44.9500,44.2300,44.8400,1.0000,95249
