adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
2.8900,2.8900,2020-05-12,0.0000,2.8900,2.8900,2.8900,1.0000,622
3.0200,3.0200,2020-05-11,0.0000,3.0200,3.0200,3.0200,1.0000,572
3.0200,3.0200,2020-05-08,0.0000,3.1500,3.0000,3.0000,1.0000,1503
2.7400,2.7400,2020-05-07,0.0000,2.7400,2.7400,2.7400,1.0000,378
2.8000,2.8000,2020-05-06,0.0000,2.8000,2.8000,2.8000,1.0000,0
2.8000,2.8000,2020-05-05,0.0000,2.8000,2.8000,2.8000,1.0000,100
2.8000,2.8000,2020-05-04,0.0000,2.8000,2.8000,2.8000,1.0000,1
2.8000,2.8000,2020-05-01,0.0000,2.8000,2.8000,2.8000,1.0000,1040
2.6100,2.6100,2020-04-30,0.0000,2.6100,2.6100,2.6100,1.0000,874
2.7500,2.7500,2020-04-29,0.0000,2.7500,2.7500,2.7500,1.0000,800
2.4700,2.4700,2020-04-28,0.0000,2.7500,2.4700,2.7500,1.0000,3605
2.2500,2.2500,2020-04-27,0.0000,2.4953,2.2500,2.4953,1.0000,45704
2.4345,2.4345,2020-04-24,0.0000,2.7500,2.4345,2.7500,1.0000,5067
2.4800,2.4800,2020-04-23,0.0000,2.4800,2.4800,2.4800,1.0000,0
2.4800,2.4800,2020-04-22,0.0000,2.4800,2.4800,2.4800,1.0000,6500
2.6295,2.6295,2020-04-21,0.0000,2.6295,2.6295,2.6295,1.0000,4
2.6295,2.6295,2020-04-20,0.0000,2.6295,2.6295,2.6295,1.0000,1327
2.3600,2.3600,2020-04-17,0.0000,2.9700,2.3600,2.9400,1.0000,339
2.2300,2.2300,2020-04-16,0.0000,2.2300,2.2300,2.2300,1.0000,175
2.7700,2.7700,2020-04-15,0.0000,2.7700,2.7700,2.7700,1.0000,500
2.7786,2.7786,2020-04-14,0.0000,2.7786,2.7786,2.7786,1.0000,546
3.2000,3.2000,2020-04-13,0.0000,3.2000,3.2000,3.2000,1.0000,0
3.2000,3.2000,2020-04-09,0.0000,3.2000,2.8501,2.8501,1.0000,2940
2.4900,2.4900,2020-04-08,0.0000,2.4900,2.4900,2.4900,1.0000,100
2.4800,2.4800,2020-04-07,0.0000,2.4800,2.4700,2.4800,1.0000,7779
2.5087,2.5087,2020-04-06,0.0000,2.5087,2.5087,2.5087,1.0000,7
