adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0120,0.0120,2020-05-12,0.0000,0.0145,0.0100,0.0100,1.0000,12549
0.0110,0.0110,2020-05-11,0.0000,0.0110,0.0110,0.0110,1.0000,0
0.0112,0.0112,2020-05-08,0.0000,0.0150,0.0112,0.0150,1.0000,16090
0.0110,0.0110,2020-05-07,0.0000,0.0110,0.0110,0.0110,1.0000,8062
0.0122,0.0122,2020-05-06,0.0000,0.0150,0.0105,0.0110,1.0000,163033
0.0093,0.0093,2020-05-05,0.0000,0.0110,0.0093,0.0110,1.0000,30897
0.0116,0.0116,2020-05-04,0.0000,0.0116,0.0116,0.0116,1.0000,7125
0.0100,0.0100,2020-05-01,0.0000,0.0168,0.0100,0.0168,1.0000,210800
0.0134,0.0134,2020-04-30,0.0000,0.0185,0.0134,0.0185,1.0000,3400
0.0168,0.0168,2020-04-29,0.0000,0.0190,0.0100,0.0190,1.0000,29525
0.0190,0.0190,2020-04-28,0.0000,0.0190,0.0089,0.0095,1.0000,8577
0.0089,0.0089,2020-04-27,0.0000,0.0158,0.0089,0.0090,1.0000,38400
0.0101,0.0101,2020-04-24,0.0000,0.0140,0.0090,0.0140,1.0000,6502
0.0096,0.0096,2020-04-23,0.0000,0.0096,0.0096,0.0096,1.0000,1360
0.0180,0.0180,2020-04-22,0.0000,0.0190,0.0090,0.0090,1.0000,28359
0.0200,0.0200,2020-04-21,0.0000,0.0200,0.0095,0.0095,1.0000,22491
0.0090,0.0090,2020-04-20,0.0000,0.0114,0.0090,0.0095,1.0000,6915
0.0114,0.0114,2020-04-17,0.0000,0.0120,0.0096,0.0120,1.0000,10570
0.0120,0.0120,2020-04-16,0.0000,0.0120,0.0112,0.0112,1.0000,10200
0.0090,0.0090,2020-04-15,0.0000,0.0120,0.0090,0.0090,1.0000,45548
0.0100,0.0100,2020-04-14,0.0000,0.0100,0.0095,0.0100,1.0000,5700
0.0099,0.0099,2020-04-13,0.0000,0.0120,0.0090,0.0100,1.0000,69000
0.0100,0.0100,2020-04-09,0.0000,0.0160,0.0100,0.0160,1.0000,18860
0.0132,0.0132,2020-04-08,0.0000,0.0160,0.0132,0.0160,1.0000,6400
0.0121,0.0121,2020-04-07,0.0000,0.0220,0.0121,0.0140,1.0000,48686
0.0130,0.0130,2020-04-06,0.0000,0.0138,0.0130,0.0138,1.0000,20999
0.0130,0.0130,2020-04-03,0.0000,0.0133,0.0130,0.0133,1.0000,220
0.0130,0.0130,2020-04-02,0.0000,0.0133,0.0130,0.0130,1.0000,28305
0.0140,0.0140,2020-04-01,0.0000,0.0140,0.0100,0.0115,1.0000,110644
0.0100,0.0100,2020-03-31,0.0000,0.0144,0.0067,0.0100,1.0000,507150
0.0150,0.0150,2020-03-30,0.0000,0.0150,0.0122,0.0122,1.0000,30016
0.0114,0.0114,2020-03-27,0.0000,0.0122,0.0100,0.0100,1.0000,494366
0.0080,0.0080,2020-03-26,0.0000,0.0100,0.0080,0.0100,1.0000,92276
0.0100,0.0100,2020-03-25,0.0000,0.0110,0.0100,0.0110,1.0000,1540
0.0122,0.0122,2020-03-24,0.0000,0.0122,0.0100,0.0122,1.0000,91551
0.0122,0.0122,2020-03-23,0.0000,0.0122,0.0100,0.0100,1.0000,81292
0.0122,0.0122,2020-03-20,0.0000,0.0122,0.0100,0.0100,1.0000,20832
0.0100,0.0100,2020-03-19,0.0000,0.0111,0.0100,0.0100,1.0000,3200
0.0100,0.0100,2020-03-18,0.0000,0.0110,0.0100,0.0105,1.0000,24383
0.0100,0.0100,2020-03-17,0.0000,0.0110,0.0100,0.0100,1.0000,8669
0.0100,0.0100,2020-03-16,0.0000,0.0122,0.0100,0.0122,1.0000,78821
0.0118,0.0118,2020-03-13,0.0000,0.0121,0.0101,0.0101,1.0000,108880
0.0110,0.0110,2020-03-12,0.0000,0.0135,0.0103,0.0135,1.0000,552697
0.0138,0.0138,2020-03-11,0.0000,0.0142,0.0135,0.0142,1.0000,16600
0.0152,0.0152,2020-03-10,0.0000,0.0159,0.0140,0.0159,1.0000,20400
0.0135,0.0135,2020-03-09,0.0000,0.0146,0.0135,0.0135,1.0000,48826
0.0130,0.0130,2020-03-06,0.0000,0.0130,0.0130,0.0130,1.0000,13700
0.0162,0.0162,2020-03-05,0.0000,0.0162,0.0162,0.0162,1.0000,5
0.0162,0.0162,2020-03-04,0.0000,0.0169,0.0130,0.0149,1.0000,14128
0.0169,0.0169,2020-03-03,0.0000,0.0169,0.0130,0.0140,1.0000,89239
0.0146,0.0146,2020-03-02,0.0000,0.0153,0.0144,0.0151,1.0000,111870
0.0167,0.0167,2020-02-28,0.0000,0.0167,0.0155,0.0155,1.0000,17315
0.0179,0.0179,2020-02-27,0.0000,0.0179,0.0153,0.0160,1.0000,8850
0.0169,0.0169,2020-02-26,0.0000,0.0178,0.0155,0.0159,1.0000,42620
0.0175,0.0175,2020-02-25,0.0000,0.0190,0.0156,0.0190,1.0000,282399
0.0194,0.0194,2020-02-24,0.0000,0.0200,0.0191,0.0191,1.0000,148427
0.0250,0.0250,2020-02-21,0.0000,0.0250,0.0160,0.0250,1.0000,518800
0.0345,0.0345,2020-02-20,0.0000,0.0345,0.0255,0.0255,1.0000,1035
0.0264,0.0264,2020-02-19,0.0000,0.0350,0.0220,0.0254,1.0000,3631
0.0200,0.0200,2020-02-18,0.0000,0.0210,0.0200,0.0210,1.0000,2000
0.0220,0.0220,2020-02-14,0.0000,0.0354,0.0200,0.0200,1.0000,3100
0.0250,0.0250,2020-02-13,0.0000,0.0250,0.0220,0.0220,1.0000,10224
0.0360,0.0360,2020-02-12,0.0000,0.0390,0.0355,0.0390,1.0000,147125
0.0390,0.0390,2020-02-11,0.0000,0.0390,0.0316,0.0316,1.0000,64011
0.0316,0.0316,2020-02-10,0.0000,0.0380,0.0230,0.0230,1.0000,13800
0.0310,0.0310,2020-02-07,0.0000,0.0310,0.0260,0.0260,1.0000,12033
0.0250,0.0250,2020-02-06,0.0000,0.0289,0.0250,0.0250,1.0000,9359
0.0235,0.0235,2020-02-05,0.0000,0.0300,0.0230,0.0300,1.0000,90193
0.0320,0.0320,2020-02-04,0.0000,0.0500,0.0198,0.0198,1.0000,55171
0.0300,0.0300,2020-02-03,0.0000,0.0300,0.0220,0.0245,1.0000,79499
0.0210,0.0210,2020-01-31,0.0000,0.0210,0.0145,0.0205,1.0000,2950
0.0180,0.0180,2020-01-30,0.0000,0.0190,0.0165,0.0176,1.0000,409836
0.0185,0.0185,2020-01-29,0.0000,0.0300,0.0170,0.0215,1.0000,540549
0.0292,0.0292,2020-01-28,0.0000,0.0330,0.0292,0.0310,1.0000,113999
0.0342,0.0342,2020-01-27,0.0000,0.0400,0.0300,0.0375,1.0000,265480
0.0401,0.0401,2020-01-24,0.0000,0.0440,0.0400,0.0420,1.0000,37300
0.0440,0.0440,2020-01-23,0.0000,0.0440,0.0440,0.0440,1.0000,0
0.0440,0.0440,2020-01-22,0.0000,0.0440,0.0400,0.0431,1.0000,54569
0.0459,0.0459,2020-01-21,0.0000,0.0459,0.0341,0.0459,1.0000,62095
0.0350,0.0350,2020-01-17,0.0000,0.0480,0.0280,0.0417,1.0000,29496
0.0480,0.0480,2020-01-16,0.0000,0.0480,0.0250,0.0285,1.0000,249881
0.0310,0.0310,2020-01-15,0.0000,0.0450,0.0155,0.0155,1.0000,345118
0.0120,0.0120,2020-01-14,0.0000,0.0450,0.0120,0.0240,1.0000,326956
0.0240,0.0240,2020-01-13,0.0000,0.0262,0.0219,0.0219,1.0000,59740
0.0219,0.0219,2020-01-10,0.0000,0.0219,0.0204,0.0212,1.0000,48725
0.0196,0.0196,2020-01-09,0.0000,0.0198,0.0190,0.0190,1.0000,4836
0.0171,0.0171,2020-01-08,0.0000,0.0178,0.0171,0.0178,1.0000,1701
0.0210,0.0210,2020-01-07,0.0000,0.0210,0.0210,0.0210,1.0000,2500
0.0218,0.0218,2020-01-06,0.0000,0.0218,0.0210,0.0210,1.0000,28840
0.0210,0.0210,2020-01-03,0.0000,0.0262,0.0190,0.0190,1.0000,164685
0.0190,0.0190,2020-01-02,0.0000,0.0200,0.0158,0.0158,1.0000,138462
