adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0600,0.0600,2020-05-12,0.0000,0.0850,0.0600,0.0750,1.0000,47924
0.0600,0.0600,2020-05-11,0.0000,0.1100,0.0600,0.0940,1.0000,70239
0.0900,0.0900,2020-05-08,0.0000,0.1150,0.0850,0.1100,1.0000,116965
0.1045,0.1045,2020-05-07,0.0000,0.1400,0.0520,0.0600,1.0000,845639
0.0600,0.0600,2020-05-06,0.0000,0.0850,0.0290,0.0300,1.0000,1307844
0.0300,0.0300,2020-05-05,0.0000,0.0300,0.0300,0.0300,1.0000,1000
0.0300,0.0300,2020-05-04,0.0000,0.0300,0.0280,0.0280,1.0000,6000
0.0300,0.0300,2020-05-01,0.0000,0.0300,0.0300,0.0300,1.0000,1000
0.0300,0.0300,2020-04-30,0.0000,0.0300,0.0300,0.0300,1.0000,26800
0.0300,0.0300,2020-04-29,0.0000,0.0350,0.0300,0.0350,1.0000,27743
0.0480,0.0480,2020-04-28,0.0000,0.0480,0.0450,0.0450,1.0000,10025
0.0490,0.0490,2020-04-27,0.0000,0.0490,0.0280,0.0280,1.0000,1845
0.0280,0.0280,2020-04-24,0.0000,0.0380,0.0280,0.0380,1.0000,3000
0.0395,0.0395,2020-04-23,0.0000,0.0395,0.0280,0.0280,1.0000,2100
0.0280,0.0280,2020-04-22,0.0000,0.0380,0.0280,0.0291,1.0000,18526
0.0500,0.0500,2020-04-21,0.0000,0.0500,0.0500,0.0500,1.0000,1100
0.0471,0.0471,2020-04-20,0.0000,0.0471,0.0471,0.0471,1.0000,846
0.0290,0.0290,2020-04-17,0.0000,0.0380,0.0280,0.0380,1.0000,661
0.0300,0.0300,2020-04-16,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0270,0.0270,2020-04-15,0.0000,0.0270,0.0270,0.0270,1.0000,807
0.0270,0.0270,2020-04-14,0.0000,0.0281,0.0270,0.0281,1.0000,4500
0.0357,0.0357,2020-04-13,0.0000,0.0440,0.0350,0.0440,1.0000,20600
0.0440,0.0440,2020-04-09,0.0000,0.0570,0.0440,0.0570,1.0000,6000
0.0500,0.0500,2020-04-08,0.0000,0.0590,0.0300,0.0300,1.0000,20242
0.0265,0.0265,2020-04-07,0.0000,0.0300,0.0265,0.0300,1.0000,58500
0.0266,0.0266,2020-04-06,0.0000,0.0300,0.0266,0.0300,1.0000,65703
0.0300,0.0300,2020-04-03,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0290,0.0290,2020-04-02,0.0000,0.0300,0.0290,0.0300,1.0000,132907
0.0391,0.0391,2020-04-01,0.0000,0.0500,0.0300,0.0302,1.0000,4893
0.0264,0.0264,2020-03-31,0.0000,0.0310,0.0264,0.0310,1.0000,83366
0.0600,0.0600,2020-03-30,0.0000,0.0600,0.0600,0.0600,1.0000,8333
0.0600,0.0600,2020-03-27,0.0000,0.0600,0.0500,0.0500,1.0000,90949
0.0300,0.0300,2020-03-26,0.0000,0.0500,0.0300,0.0500,1.0000,3350
0.0300,0.0300,2020-03-25,0.0000,0.0300,0.0300,0.0300,1.0000,100
0.0400,0.0400,2020-03-24,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-23,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0350,0.0350,2020-03-20,0.0000,0.0500,0.0350,0.0500,1.0000,5600
0.0350,0.0350,2020-03-19,0.0000,0.0350,0.0350,0.0350,1.0000,500
0.0300,0.0300,2020-03-18,0.0000,0.0300,0.0300,0.0300,1.0000,10467
0.0425,0.0425,2020-03-17,0.0000,0.0500,0.0425,0.0500,1.0000,2100
0.0250,0.0250,2020-03-16,0.0000,0.0253,0.0250,0.0253,1.0000,4000
0.0299,0.0299,2020-03-13,0.0000,0.0500,0.0299,0.0500,1.0000,109943
0.0300,0.0300,2020-03-12,0.0000,0.0310,0.0300,0.0310,1.0000,6059
0.0300,0.0300,2020-03-11,0.0000,0.0300,0.0300,0.0300,1.0000,650
0.0310,0.0310,2020-03-10,0.0000,0.0310,0.0310,0.0310,1.0000,33000
0.0300,0.0300,2020-03-09,0.0000,0.0300,0.0300,0.0300,1.0000,100
0.0300,0.0300,2020-03-06,0.0000,0.0425,0.0300,0.0425,1.0000,30500
0.0400,0.0400,2020-03-05,0.0000,0.0500,0.0400,0.0400,1.0000,12300
0.0455,0.0455,2020-03-04,0.0000,0.0600,0.0455,0.0600,1.0000,300
0.0500,0.0500,2020-03-03,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-03-02,0.0000,0.0500,0.0500,0.0500,1.0000,5355
0.0500,0.0500,2020-02-28,0.0000,0.0500,0.0500,0.0500,1.0000,2000
0.0400,0.0400,2020-02-27,0.0000,0.0400,0.0400,0.0400,1.0000,5878
0.0385,0.0385,2020-02-26,0.0000,0.0385,0.0385,0.0385,1.0000,5334
0.0400,0.0400,2020-02-25,0.0000,0.0400,0.0350,0.0350,1.0000,3318
0.0500,0.0500,2020-02-24,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-02-21,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-02-20,0.0000,0.0500,0.0500,0.0500,1.0000,3458
0.0400,0.0400,2020-02-19,0.0000,0.0412,0.0350,0.0412,1.0000,27790
0.0400,0.0400,2020-02-18,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0410,0.0410,2020-02-14,0.0000,0.0600,0.0410,0.0600,1.0000,9820
0.0410,0.0410,2020-02-13,0.0000,0.0510,0.0410,0.0510,1.0000,1900
0.0600,0.0600,2020-02-12,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0600,0.0600,2020-02-11,0.0000,0.0600,0.0410,0.0410,1.0000,200
0.0600,0.0600,2020-02-10,0.0000,0.0600,0.0410,0.0500,1.0000,14818
0.0563,0.0563,2020-02-07,0.0000,0.0750,0.0500,0.0750,1.0000,7390
0.0850,0.0850,2020-02-06,0.0000,0.1000,0.0850,0.0900,1.0000,3750
0.0850,0.0850,2020-02-05,0.0000,0.0850,0.0850,0.0850,1.0000,10
0.0850,0.0850,2020-02-04,0.0000,0.1000,0.0500,0.0700,1.0000,15000
0.0500,0.0500,2020-02-03,0.0000,0.0500,0.0500,0.0500,1.0000,200
0.0700,0.0700,2020-01-31,0.0000,0.0700,0.0500,0.0575,1.0000,17043
0.0600,0.0600,2020-01-30,0.0000,0.0650,0.0600,0.0650,1.0000,4876
0.0700,0.0700,2020-01-29,0.0000,0.0700,0.0700,0.0700,1.0000,0
0.0700,0.0700,2020-01-28,0.0000,0.0700,0.0700,0.0700,1.0000,0
0.0700,0.0700,2020-01-27,0.0000,0.0700,0.0600,0.0600,1.0000,9900
0.0650,0.0650,2020-01-24,0.0000,0.0650,0.0600,0.0610,1.0000,7500
0.0700,0.0700,2020-01-23,0.0000,0.0800,0.0600,0.0800,1.0000,43280
0.0800,0.0800,2020-01-22,0.0000,0.0800,0.0700,0.0800,1.0000,12092
0.0900,0.0900,2020-01-21,0.0000,0.1400,0.0750,0.1400,1.0000,92410
0.1429,0.1429,2020-01-17,0.0000,0.1429,0.0900,0.1000,1.0000,47952
0.1010,0.1010,2020-01-16,0.0000,0.1100,0.0750,0.0750,1.0000,65326
0.0750,0.0750,2020-01-15,0.0000,0.1265,0.0750,0.0915,1.0000,112771
0.0890,0.0890,2020-01-14,0.0000,0.0900,0.0225,0.0780,1.0000,135300
0.0750,0.0750,2020-01-13,0.0000,0.0750,0.0519,0.0519,1.0000,83357
0.0519,0.0519,2020-01-10,0.0000,0.0519,0.0384,0.0384,1.0000,119766
0.0400,0.0400,2020-01-09,0.0000,0.0400,0.0238,0.0238,1.0000,133875
0.0275,0.0275,2020-01-08,0.0000,0.0275,0.0200,0.0238,1.0000,20702
0.0238,0.0238,2020-01-07,0.0000,0.0238,0.0162,0.0162,1.0000,800
0.0200,0.0200,2020-01-06,0.0000,0.0275,0.0200,0.0250,1.0000,30598
0.0235,0.0235,2020-01-03,0.0000,0.0250,0.0225,0.0250,1.0000,25845
0.0200,0.0200,2020-01-02,0.0000,0.0250,0.0200,0.0250,1.0000,14500
0.0166,0.0166,2019-12-31,0.0000,0.0166,0.0163,0.0164,1.0000,6900
0.0162,0.0162,2019-12-30,0.0000,0.0197,0.0162,0.0165,1.0000,6000
0.0162,0.0162,2019-12-27,0.0000,0.0200,0.0162,0.0200,1.0000,8800
0.0210,0.0210,2019-12-26,0.0000,0.0225,0.0181,0.0200,1.0000,33437
0.0200,0.0200,2019-12-24,0.0000,0.0200,0.0181,0.0181,1.0000,18000
0.0200,0.0200,2019-12-23,0.0000,0.0235,0.0200,0.0230,1.0000,43400
0.0200,0.0200,2019-12-20,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0230,0.0230,2019-12-19,0.0000,0.0266,0.0230,0.0230,1.0000,3132
0.0230,0.0230,2019-12-18,0.0000,0.0330,0.0230,0.0300,1.0000,39175
0.0300,0.0300,2019-12-17,0.0000,0.0425,0.0300,0.0400,1.0000,8840
0.0300,0.0300,2019-12-16,0.0000,0.0400,0.0300,0.0400,1.0000,29324
0.0400,0.0400,2019-12-13,0.0000,0.0400,0.0300,0.0300,1.0000,22827
0.0300,0.0300,2019-12-12,0.0000,0.0450,0.0300,0.0400,1.0000,62302
0.0450,0.0450,2019-12-11,0.0000,0.0515,0.0450,0.0500,1.0000,36000
0.0500,0.0500,2019-12-10,0.0000,0.0600,0.0500,0.0600,1.0000,9600
0.0500,0.0500,2019-12-09,0.0000,0.0530,0.0500,0.0500,1.0000,8300
0.0500,0.0500,2019-12-06,0.0000,0.0600,0.0500,0.0600,1.0000,32570
0.0600,0.0600,2019-12-05,0.0000,0.0640,0.0600,0.0640,1.0000,5382
0.0600,0.0600,2019-12-04,0.0000,0.0700,0.0600,0.0650,1.0000,24464
0.0700,0.0700,2019-12-03,0.0000,0.0800,0.0500,0.0800,1.0000,121000
0.1000,0.1000,2019-12-02,0.0000,0.1000,0.0800,0.0900,1.0000,5902
0.0800,0.0800,2019-11-29,0.0000,0.0860,0.0800,0.0860,1.0000,6700
0.0900,0.0900,2019-11-27,0.0000,0.1000,0.0900,0.1000,1.0000,6200
0.1000,0.1000,2019-11-26,0.0000,0.1000,0.1000,0.1000,1.0000,5300
0.0900,0.0900,2019-11-25,0.0000,0.1000,0.0900,0.1000,1.0000,5877
0.1000,0.1000,2019-11-22,0.0000,0.1300,0.0800,0.1300,1.0000,79200
0.1000,0.1000,2019-11-21,0.0000,0.1500,0.1000,0.1350,1.0000,90933
0.1000,0.1000,2019-11-20,0.0000,0.1000,0.0900,0.0900,1.0000,8958
0.0900,0.0900,2019-11-19,0.0000,0.1010,0.0900,0.1010,1.0000,12820
0.1100,0.1100,2019-11-18,0.0000,0.1500,0.0841,0.1070,1.0000,83065
0.1000,0.1000,2019-11-15,0.0000,0.1100,0.1000,0.1100,1.0000,2680
0.1100,0.1100,2019-11-14,0.0000,0.1100,0.1000,0.1000,1.0000,13500
0.1000,0.1000,2019-11-13,0.0000,0.1000,0.1000,0.1000,1.0000,18400
0.1200,0.1200,2019-11-12,0.0000,0.1400,0.1000,0.1000,1.0000,6600
0.1000,0.1000,2019-11-11,0.0000,0.1350,0.1000,0.1350,1.0000,27900
0.1000,0.1000,2019-11-08,0.0000,0.1500,0.1000,0.1500,1.0000,17100
0.1500,0.1500,2019-11-07,0.0000,0.1500,0.0841,0.1000,1.0000,4011
0.1044,0.1044,2019-11-06,0.0000,0.1200,0.1000,0.1200,1.0000,19550
0.1100,0.1100,2019-11-05,0.0000,0.1100,0.1100,0.1100,1.0000,20
0.1100,0.1100,2019-11-04,0.0000,0.1100,0.1100,0.1100,1.0000,6500
0.1100,0.1100,2019-11-01,0.0000,0.1100,0.1100,0.1100,1.0000,2432
0.1200,0.1200,2019-10-31,0.0000,0.1200,0.1100,0.1100,1.0000,5250
0.1100,0.1100,2019-10-30,0.0000,0.1100,0.1100,0.1100,1.0000,2507
0.1100,0.1100,2019-10-29,0.0000,0.1300,0.1100,0.1300,1.0000,7550
0.1100,0.1100,2019-10-28,0.0000,0.1100,0.1100,0.1100,1.0000,3000
0.1100,0.1100,2019-10-25,0.0000,0.1300,0.1100,0.1300,1.0000,2700
0.1300,0.1300,2019-10-24,0.0000,0.1300,0.1100,0.1100,1.0000,4115
0.1200,0.1200,2019-10-23,0.0000,0.1200,0.1200,0.1200,1.0000,2500
0.1100,0.1100,2019-10-22,0.0000,0.1100,0.1100,0.1100,1.0000,3000
0.1200,0.1200,2019-10-21,0.0000,0.1200,0.1200,0.1200,1.0000,2631
0.1300,0.1300,2019-10-18,0.0000,0.1300,0.1300,0.1300,1.0000,3600
0.1300,0.1300,2019-10-17,0.0000,0.1300,0.1200,0.1200,1.0000,4500
0.1500,0.1500,2019-10-16,0.0000,0.1500,0.1410,0.1410,1.0000,5335
0.1500,0.1500,2019-10-15,0.0000,0.1630,0.1500,0.1630,1.0000,28164
0.1700,0.1700,2019-10-14,0.0000,0.1700,0.1700,0.1700,1.0000,11600
0.1500,0.1500,2019-10-11,0.0000,0.1700,0.1400,0.1500,1.0000,27205
0.1500,0.1500,2019-10-10,0.0000,0.1500,0.1200,0.1200,1.0000,5000
0.1500,0.1500,2019-10-09,0.0000,0.1500,0.1500,0.1500,1.0000,11500
0.1600,0.1600,2019-10-08,0.0000,0.2000,0.1600,0.2000,1.0000,2600
0.2000,0.2000,2019-10-07,0.0000,0.2000,0.2000,0.2000,1.0000,290
0.2000,0.2000,2019-10-04,0.0000,0.2000,0.2000,0.2000,1.0000,1000
0.1800,0.1800,2019-10-03,0.0000,0.1800,0.1800,0.1800,1.0000,2500
0.1800,0.1800,2019-10-02,0.0000,0.2300,0.1800,0.2300,1.0000,2395
0.2000,0.2000,2019-10-01,0.0000,0.2000,0.2000,0.2000,1.0000,0
0.2000,0.2000,2019-09-30,0.0000,0.2500,0.2000,0.2500,1.0000,1994
0.2000,0.2000,2019-09-27,0.0000,0.2000,0.2000,0.2000,1.0000,2510
0.2000,0.2000,2019-09-26,0.0000,0.2100,0.2000,0.2100,1.0000,2500
0.2100,0.2100,2019-09-25,0.0000,0.2300,0.2100,0.2300,1.0000,4500
0.2500,0.2500,2019-09-24,0.0000,0.2500,0.2300,0.2400,1.0000,15700
0.2500,0.2500,2019-09-23,0.0000,0.2500,0.2500,0.2500,1.0000,21100
0.2500,0.2500,2019-09-20,0.0000,0.2500,0.2300,0.2300,1.0000,3765
0.2600,0.2600,2019-09-19,0.0000,0.2600,0.2500,0.2600,1.0000,6865
0.2600,0.2600,2019-09-18,0.0000,0.2600,0.2500,0.2500,1.0000,10200
0.3100,0.3100,2019-09-17,0.0000,0.3100,0.3100,0.3100,1.0000,1400
0.3300,0.3300,2019-09-16,0.0000,0.3300,0.3000,0.3000,1.0000,18332
0.3100,0.3100,2019-09-13,0.0000,0.3100,0.2859,0.2859,1.0000,17497
0.2759,0.2759,2019-09-12,0.0000,0.2859,0.2000,0.2100,1.0000,13047
0.2000,0.2000,2019-09-11,0.0000,0.2200,0.1500,0.2200,1.0000,21750
0.2200,0.2200,2019-09-10,0.0000,0.2400,0.2200,0.2200,1.0000,7140
0.2200,0.2200,2019-09-09,0.0000,0.2200,0.2200,0.2200,1.0000,2500
0.2400,0.2400,2019-09-06,0.0000,0.2400,0.2400,0.2400,1.0000,2500
0.2400,0.2400,2019-09-05,0.0000,0.2400,0.2400,0.2400,1.0000,3500
0.2500,0.2500,2019-09-04,0.0000,0.2800,0.2500,0.2800,1.0000,11730
0.3100,0.3100,2019-09-03,0.0000,0.3200,0.2850,0.3100,1.0000,14850
0.3000,0.3000,2019-08-30,0.0000,0.3000,0.2590,0.2700,1.0000,3600
0.2700,0.2700,2019-08-29,0.0000,0.3000,0.2700,0.2900,1.0000,4500
0.3000,0.3000,2019-08-28,0.0000,0.3000,0.2900,0.2900,1.0000,3500
0.2900,0.2900,2019-08-27,0.0000,0.3200,0.2900,0.3200,1.0000,20745
0.3000,0.3000,2019-08-26,0.0000,0.4500,0.3000,0.3400,1.0000,14440
0.3400,0.3400,2019-08-23,0.0000,0.3400,0.3000,0.3000,1.0000,1150
0.3000,0.3000,2019-08-22,0.0000,0.3500,0.2000,0.3500,1.0000,32300
0.3600,0.3600,2019-08-21,0.0000,0.4300,0.3500,0.4300,1.0000,21663
0.4300,0.4300,2019-08-20,0.0000,0.4300,0.4000,0.4300,1.0000,9230
