adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.2736,0.2736,2020-05-12,0.0000,0.2999,0.2650,0.2800,1.0000,13285290
0.3241,0.3241,2020-05-11,0.0000,0.3241,0.2912,0.3025,1.0000,5650799
0.2950,0.2950,2020-05-08,0.0000,0.2950,0.2784,0.2901,1.0000,3869028
0.2860,0.2860,2020-05-07,0.0000,0.3034,0.2801,0.2999,1.0000,4134102
0.2926,0.2926,2020-05-06,0.0000,0.3200,0.2900,0.3200,1.0000,5375748
0.3093,0.3093,2020-05-05,0.0000,0.3300,0.3050,0.3200,1.0000,5327874
0.3062,0.3062,2020-05-04,0.0000,0.3300,0.3000,0.3100,1.0000,4964597
0.3059,0.3059,2020-05-01,0.0000,0.3447,0.3050,0.3354,1.0000,4843037
0.3394,0.3394,2020-04-30,0.0000,0.3499,0.3130,0.3400,1.0000,11354310
0.3198,0.3198,2020-04-29,0.0000,0.3241,0.3000,0.3000,1.0000,8348243
0.2905,0.2905,2020-04-28,0.0000,0.3017,0.2801,0.2928,1.0000,5538230
0.2928,0.2928,2020-04-27,0.0000,0.3185,0.2775,0.3139,1.0000,6769642
0.2985,0.2985,2020-04-24,0.0000,0.3899,0.2900,0.3499,1.0000,19462933
0.2796,0.2796,2020-04-23,0.0000,0.2900,0.2603,0.2700,1.0000,8550425
0.2503,0.2503,2020-04-22,0.0000,0.2750,0.2440,0.2500,1.0000,3463502
0.2348,0.2348,2020-04-21,0.0000,0.2525,0.2310,0.2450,1.0000,3990313
0.2555,0.2555,2020-04-20,0.0000,0.2700,0.2375,0.2500,1.0000,4028943
0.2588,0.2588,2020-04-17,0.0000,0.2775,0.2450,0.2775,1.0000,4181613
0.2675,0.2675,2020-04-16,0.0000,0.2899,0.2602,0.2825,1.0000,1514020
0.2800,0.2800,2020-04-15,0.0000,0.3140,0.2400,0.3140,1.0000,5319644
0.3200,0.3200,2020-04-14,0.0000,0.3399,0.3105,0.3169,1.0000,2161798
0.3199,0.3199,2020-04-13,0.0000,0.3529,0.3030,0.3415,1.0000,3258959
0.3225,0.3225,2020-04-09,0.0000,0.3800,0.3101,0.3690,1.0000,6001391
0.3400,0.3400,2020-04-08,0.0000,0.3400,0.3150,0.3299,1.0000,2598027
0.3177,0.3177,2020-04-07,0.0000,0.3299,0.3000,0.3075,1.0000,3399614
0.2996,0.2996,2020-04-06,0.0000,0.3075,0.2842,0.2950,1.0000,2955177
0.3027,0.3027,2020-04-03,0.0000,0.3148,0.2675,0.3025,1.0000,5365606
0.2781,0.2781,2020-04-02,0.0000,0.3199,0.2425,0.2450,1.0000,11747471
0.2308,0.2308,2020-04-01,0.0000,0.2487,0.2275,0.2420,1.0000,3358067
0.2507,0.2507,2020-03-31,0.0000,0.2561,0.2379,0.2450,1.0000,3474415
0.2374,0.2374,2020-03-30,0.0000,0.2700,0.2200,0.2699,1.0000,4730877
0.2552,0.2552,2020-03-27,0.0000,0.2699,0.1950,0.2199,1.0000,10285740
0.2090,0.2090,2020-03-26,0.0000,0.2450,0.2075,0.2399,1.0000,3076837
0.2276,0.2276,2020-03-25,0.0000,0.2500,0.2125,0.2250,1.0000,3691139
0.2199,0.2199,2020-03-24,0.0000,0.2228,0.2000,0.2000,1.0000,3600503
0.1875,0.1875,2020-03-23,0.0000,0.2099,0.1875,0.2025,1.0000,1947243
0.1836,0.1836,2020-03-20,0.0000,0.2321,0.1825,0.2100,1.0000,6819106
0.2100,0.2100,2020-03-19,0.0000,0.2100,0.1901,0.1925,1.0000,4040668
0.1925,0.1925,2020-03-18,0.0000,0.2129,0.1775,0.2099,1.0000,10136890
0.2121,0.2121,2020-03-17,0.0000,0.2539,0.2100,0.2500,1.0000,2640051
0.2313,0.2313,2020-03-16,0.0000,0.2602,0.2270,0.2602,1.0000,4190724
0.2500,0.2500,2020-03-13,0.0000,0.2899,0.2448,0.2699,1.0000,2789102
0.2338,0.2338,2020-03-12,0.0000,0.2900,0.2318,0.2900,1.0000,2752645
0.3026,0.3026,2020-03-11,0.0000,0.3447,0.3000,0.3201,1.0000,2225353
0.3385,0.3385,2020-03-10,0.0000,0.4000,0.3000,0.4000,1.0000,5317733
0.3377,0.3377,2020-03-09,0.0000,0.5000,0.3343,0.4655,1.0000,7648595
0.5973,0.5973,2020-03-06,0.0000,0.6352,0.5600,0.6000,1.0000,2480873
0.6179,0.6179,2020-03-05,0.0000,0.6890,0.6100,0.6890,1.0000,2817496
0.6495,0.6495,2020-03-04,0.0000,0.7100,0.6387,0.7100,1.0000,2616851
0.6775,0.6775,2020-03-03,0.0000,0.7200,0.6775,0.7037,1.0000,1387821
0.7096,0.7096,2020-03-02,0.0000,0.7754,0.7000,0.7700,1.0000,1065582
0.7670,0.7670,2020-02-28,0.0000,0.7670,0.6900,0.7001,1.0000,1862484
0.7100,0.7100,2020-02-27,0.0000,0.7700,0.6500,0.7400,1.0000,1937198
0.8182,0.8182,2020-02-26,0.0000,0.8878,0.7950,0.8750,1.0000,1666001
0.8770,0.8770,2020-02-25,0.0000,0.9000,0.8500,0.9000,1.0000,1369314
0.8877,0.8877,2020-02-24,0.0000,0.9097,0.8700,0.9000,1.0000,1345021
0.9391,0.9391,2020-02-21,0.0000,0.9493,0.9020,0.9393,1.0000,596584
0.9451,0.9451,2020-02-20,0.0000,0.9757,0.9200,0.9200,1.0000,1215372
0.9138,0.9138,2020-02-19,0.0000,0.9300,0.9001,0.9300,1.0000,1010593
0.8909,0.8909,2020-02-18,0.0000,0.9300,0.8900,0.9300,1.0000,669748
0.9195,0.9195,2020-02-14,0.0000,0.9449,0.9103,0.9400,1.0000,733579
0.9298,0.9298,2020-02-13,0.0000,0.9651,0.9274,0.9463,1.0000,442760
0.9700,0.9700,2020-02-12,0.0000,0.9945,0.9516,0.9822,1.0000,459084
0.9702,0.9702,2020-02-11,0.0000,0.9863,0.9326,0.9600,1.0000,918004
0.9641,0.9641,2020-02-10,0.0000,0.9717,0.8582,0.8925,1.0000,4083141
0.8925,0.8925,2020-02-07,0.0000,0.9375,0.8900,0.9375,1.0000,2023161
0.9400,0.9400,2020-02-06,0.0000,0.9752,0.9200,0.9752,1.0000,3149793
0.9792,0.9792,2020-02-05,0.0000,1.0100,0.9616,0.9678,1.0000,2041984
0.9700,0.9700,2020-02-04,0.0000,0.9900,0.9429,0.9700,1.0000,2179079
0.9557,0.9557,2020-02-03,0.0000,0.9900,0.9250,0.9810,1.0000,4059149
0.9964,0.9964,2020-01-31,0.0000,1.0600,0.9849,1.0500,1.0000,2508986
1.0800,1.0800,2020-01-30,0.0000,1.0900,1.0450,1.0800,1.0000,1188752
1.0900,1.0900,2020-01-29,0.0000,1.1000,1.0200,1.0700,1.0000,1952969
1.0300,1.0300,2020-01-28,0.0000,1.0800,1.0150,1.0700,1.0000,1406682
1.0600,1.0600,2020-01-27,0.0000,1.0700,1.0100,1.0200,1.0000,3632448
1.0700,1.0700,2020-01-24,0.0000,1.0700,1.0400,1.0600,1.0000,1707592
1.0700,1.0700,2020-01-23,0.0000,1.1000,0.9800,1.0700,1.0000,3385064
1.1000,1.1000,2020-01-22,0.0000,1.1400,1.0900,1.1400,1.0000,1874361
1.1600,1.1600,2020-01-21,0.0000,1.1800,1.1300,1.1800,1.0000,1183409
1.1700,1.1700,2020-01-17,0.0000,1.2100,1.1550,1.2100,1.0000,1476715
1.2100,1.2100,2020-01-16,0.0000,1.2700,1.2000,1.2600,1.0000,1942153
1.2600,1.2600,2020-01-15,0.0000,1.3000,1.1900,1.2100,1.0000,1334288
1.2000,1.2000,2020-01-14,0.0000,1.2300,1.1800,1.2100,1.0000,1555315
1.1900,1.1900,2020-01-13,0.0000,1.2300,1.1500,1.2300,1.0000,2096165
1.2200,1.2200,2020-01-10,0.0000,1.3000,1.2100,1.3000,1.0000,1507549
1.2800,1.2800,2020-01-09,0.0000,1.3400,1.2200,1.3400,1.0000,2757139
1.3000,1.3000,2020-01-08,0.0000,1.3800,1.2700,1.3800,1.0000,2042932
1.3500,1.3500,2020-01-07,0.0000,1.3600,1.2500,1.2800,1.0000,5079854
1.2800,1.2800,2020-01-06,0.0000,1.3800,1.2800,1.3200,1.0000,1639134
1.3000,1.3000,2020-01-03,0.0000,1.3300,1.2700,1.3000,1.0000,1359961
1.2700,1.2700,2020-01-02,0.0000,1.3200,1.2500,1.3100,1.0000,1785478
1.2900,1.2900,2019-12-31,0.0000,1.3200,1.2200,1.2600,1.0000,2793909
1.2300,1.2300,2019-12-30,0.0000,1.2800,1.2100,1.2500,1.0000,2390737
1.2000,1.2000,2019-12-27,0.0000,1.2800,1.1800,1.2200,1.0000,2029571
1.2600,1.2600,2019-12-26,0.0000,1.2900,1.2300,1.2400,1.0000,861726
1.2400,1.2400,2019-12-24,0.0000,1.2700,1.1700,1.1900,1.0000,2445632
1.1700,1.1700,2019-12-23,0.0000,1.2000,1.1550,1.1600,1.0000,2123352
1.1600,1.1600,2019-12-20,0.0000,1.1700,1.1000,1.1200,1.0000,3058299
1.1400,1.1400,2019-12-19,0.0000,1.1400,1.1100,1.1300,1.0000,1239059
1.1300,1.1300,2019-12-18,0.0000,1.1600,1.1000,1.1300,1.0000,1489842
1.1300,1.1300,2019-12-17,0.0000,1.1550,1.1000,1.1200,1.0000,1534031
1.1200,1.1200,2019-12-16,0.0000,1.1800,1.1100,1.1600,1.0000,1463857
1.1600,1.1600,2019-12-13,0.0000,1.1700,1.1100,1.1500,1.0000,1805779
1.1200,1.1200,2019-12-12,0.0000,1.1300,1.0600,1.0900,1.0000,1254178
1.0600,1.0600,2019-12-11,0.0000,1.1100,1.0500,1.1000,1.0000,993707
1.1000,1.1000,2019-12-10,0.0000,1.1200,1.0400,1.0500,1.0000,2024205
1.0400,1.0400,2019-12-09,0.0000,1.0700,0.9871,0.9969,1.0000,1981382
0.9870,0.9870,2019-12-06,0.0000,1.0200,0.9827,0.9873,1.0000,854816
0.9807,0.9807,2019-12-05,0.0000,1.0000,0.9781,0.9946,1.0000,476385
0.9940,0.9940,2019-12-04,0.0000,1.0100,0.9400,0.9400,1.0000,840556
0.9577,0.9577,2019-12-03,0.0000,0.9894,0.9400,0.9769,1.0000,1050340
0.9906,0.9906,2019-12-02,0.0000,1.0400,0.9743,1.0000,1.0000,1442186
1.0200,1.0200,2019-11-29,0.0000,1.0300,1.0000,1.0100,1.0000,630711
1.0200,1.0200,2019-11-27,0.0000,1.0201,0.9939,0.9974,1.0000,824106
1.0100,1.0100,2019-11-26,0.0000,1.0200,0.9755,1.0100,1.0000,1508360
1.0300,1.0300,2019-11-25,0.0000,1.0500,1.0000,1.0200,1.0000,1574885
1.0200,1.0200,2019-11-22,0.0000,1.0350,0.9600,0.9702,1.0000,915091
0.9774,0.9774,2019-11-21,0.0000,0.9774,0.9218,0.9574,1.0000,1494676
0.9379,0.9379,2019-11-20,0.0000,0.9700,0.9375,0.9677,1.0000,2015736
0.9791,0.9791,2019-11-19,0.0000,1.0100,0.9575,1.0000,1.0000,2086671
0.9897,0.9897,2019-11-18,0.0000,1.0200,0.9799,1.0100,1.0000,2129343
1.0100,1.0100,2019-11-15,0.0000,1.0300,0.9838,0.9900,1.0000,2591123
0.9996,0.9996,2019-11-14,0.0000,1.0376,0.9900,1.0200,1.0000,1617363
1.0200,1.0200,2019-11-13,0.0000,1.0450,1.0000,1.0300,1.0000,2293163
1.0200,1.0200,2019-11-12,0.0000,1.0700,0.9900,1.0600,1.0000,2985182
1.0100,1.0100,2019-11-11,0.0000,1.1200,1.0100,1.1200,1.0000,2594030
1.0500,1.0500,2019-11-08,0.0000,1.0900,1.0300,1.0500,1.0000,1388340
1.0700,1.0700,2019-11-07,0.0000,1.1400,1.0300,1.0800,1.0000,2600690
1.0900,1.0900,2019-11-06,0.0000,1.0900,0.9700,1.0100,1.0000,4902302
1.1700,1.1700,2019-11-05,0.0000,1.2485,1.1400,1.2000,1.0000,1606432
1.2100,1.2100,2019-11-04,0.0000,1.2400,1.1200,1.1300,1.0000,2390189
1.1100,1.1100,2019-11-01,0.0000,1.1200,1.0700,1.0900,1.0000,1020055
1.0800,1.0800,2019-10-31,0.0000,1.0800,1.0200,1.0600,1.0000,1341402
1.0600,1.0600,2019-10-30,0.0000,1.1200,1.0400,1.1000,1.0000,1342761
1.1000,1.1000,2019-10-29,0.0000,1.1400,1.0600,1.0700,1.0000,818601
1.0700,1.0700,2019-10-28,0.0000,1.1300,1.0700,1.1300,1.0000,1463435
1.1300,1.1300,2019-10-25,0.0000,1.1600,1.1100,1.1400,1.0000,681129
1.1500,1.1500,2019-10-24,0.0000,1.2000,1.1300,1.1700,1.0000,1431235
1.1700,1.1700,2019-10-23,0.0000,1.1700,1.0700,1.0900,1.0000,1756840
1.1000,1.1000,2019-10-22,0.0000,1.1400,1.0200,1.0300,1.0000,2677027
1.0300,1.0300,2019-10-21,0.0000,1.0450,0.9951,1.0300,1.0000,23799303
1.0300,1.0300,2019-10-18,0.0000,1.0617,1.0050,1.0300,1.0000,2312599
1.0400,1.0400,2019-10-17,0.0000,1.1200,1.0400,1.1000,1.0000,3966350
1.1100,1.1100,2019-10-16,0.0000,1.1500,1.1000,1.1400,1.0000,1729257
1.1300,1.1300,2019-10-15,0.0000,1.2000,1.1200,1.2000,1.0000,1606910
1.1900,1.1900,2019-10-14,0.0000,1.1900,1.1100,1.1600,1.0000,1473597
1.1500,1.1500,2019-10-11,0.0000,1.2000,1.1400,1.1500,1.0000,4406200
1.1300,1.1300,2019-10-10,0.0000,1.1600,1.1100,1.1300,1.0000,2339780
1.1200,1.1200,2019-10-09,0.0000,1.1500,1.0550,1.0800,1.0000,4035768
1.0600,1.0600,2019-10-08,0.0000,1.1400,1.0300,1.1200,1.0000,1881045
1.1100,1.1100,2019-10-07,0.0000,1.1500,1.0900,1.1100,1.0000,1040433
1.1300,1.1300,2019-10-04,0.0000,1.1800,1.0900,1.1700,1.0000,1945060
1.1400,1.1400,2019-10-03,0.0000,1.1900,1.1200,1.1800,1.0000,1326262
1.1700,1.1700,2019-10-02,0.0000,1.2100,1.1374,1.1900,1.0000,2006922
1.1700,1.1700,2019-10-01,0.0000,1.2700,1.1650,1.2700,1.0000,2054376
1.2500,1.2500,2019-09-30,0.0000,1.2900,1.2200,1.2600,1.0000,2197954
1.2800,1.2800,2019-09-27,0.0000,1.3400,1.2500,1.3100,1.0000,1776318
1.3300,1.3300,2019-09-26,0.0000,1.3800,1.3150,1.3800,1.0000,1631832
1.3700,1.3700,2019-09-25,0.0000,1.4000,1.3300,1.3500,1.0000,1783411
1.3800,1.3800,2019-09-24,0.0000,1.4600,1.3600,1.4300,1.0000,1202137
1.4400,1.4400,2019-09-23,0.0000,1.4897,1.4300,1.4500,1.0000,821074
1.4600,1.4600,2019-09-20,0.0000,1.5300,1.4500,1.5200,1.0000,1074676
1.5100,1.5100,2019-09-19,0.0000,1.5494,1.4800,1.5200,1.0000,795573
1.5200,1.5200,2019-09-18,0.0000,1.5700,1.5100,1.5500,1.0000,1508926
1.5700,1.5700,2019-09-17,0.0000,1.5700,1.4500,1.5400,1.0000,3047742
1.5400,1.5400,2019-09-16,0.0000,1.6100,1.5250,1.6000,1.0000,3708494
1.4300,1.4300,2019-09-13,0.0000,1.4700,1.4000,1.4700,1.0000,1314801
1.4500,1.4500,2019-09-12,0.0000,1.5200,1.4300,1.4900,1.0000,980370
1.5200,1.5200,2019-09-11,0.0000,1.5800,1.4500,1.5700,1.0000,2280646
1.5400,1.5400,2019-09-10,0.0000,1.6200,1.5000,1.5500,1.0000,2843849
1.5000,1.5000,2019-09-09,0.0000,1.5100,1.3500,1.3700,1.0000,3108572
1.3300,1.3300,2019-09-06,0.0000,1.3700,1.3200,1.3200,1.0000,898486
1.3600,1.3600,2019-09-05,0.0000,1.4050,1.3500,1.3600,1.0000,1038525
1.3400,1.3400,2019-09-04,0.0000,1.3950,1.3400,1.3500,1.0000,1779029
1.3200,1.3200,2019-09-03,0.0000,1.4300,1.3200,1.4300,1.0000,1329065
1.4100,1.4100,2019-08-30,0.0000,1.4600,1.3800,1.4600,1.0000,1371400
1.4200,1.4200,2019-08-29,0.0000,1.4300,1.3300,1.3500,1.0000,1255265
1.3200,1.3200,2019-08-28,0.0000,1.3300,1.2699,1.2700,1.0000,1016203
1.2600,1.2600,2019-08-27,0.0000,1.2900,1.2300,1.2600,1.0000,1943614
1.2400,1.2400,2019-08-26,0.0000,1.2700,1.2200,1.2300,1.0000,896272
1.2100,1.2100,2019-08-23,0.0000,1.3064,1.2000,1.2900,1.0000,1507083
1.3000,1.3000,2019-08-22,0.0000,1.3365,1.2900,1.3100,1.0000,1646858
1.3000,1.3000,2019-08-21,0.0000,1.3400,1.2800,1.3000,1.0000,1378429
