adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0100,0.0100,2020-03-18,0.0000,0.0100,0.0100,0.0100,1.0000,300
0.0100,0.0100,2020-03-13,0.0000,0.0100,0.0100,0.0100,1.0000,400
0.0100,0.0100,2020-03-03,0.0000,0.0100,0.0100,0.0100,1.0000,100
0.0001,0.0001,2020-01-09,0.0000,0.0001,0.0001,0.0001,1.0000,15000
0.0001,0.0001,2020-01-02,0.0000,0.0001,0.0001,0.0001,1.0000,700
0.0002,0.0002,2019-12-20,0.0000,0.0002,0.0002,0.0002,1.0000,4000
0.0001,0.0001,2019-12-12,0.0000,0.0001,0.0001,0.0001,1.0000,3350
0.0001,0.0001,2019-11-13,0.0000,0.0001,0.0001,0.0001,1.0000,2300
0.0010,0.0010,2019-10-25,0.0000,0.0010,0.0001,0.0001,1.0000,4750
0.0001,0.0001,2019-06-26,0.0000,0.0001,0.0001,0.0001,1.0000,100
0.0000,0.0000,2019-05-17,0.0000,0.0000,0.0000,0.0000,1.0000,20000
0.0002,0.0002,2019-05-15,0.0000,0.0002,0.0002,0.0002,1.0000,600
0.0001,0.0001,2019-05-10,0.0000,0.0001,0.0001,0.0001,1.0000,150
0.0002,0.0002,2019-04-02,0.0000,0.0002,0.0002,0.0002,1.0000,100
0.0000,0.0000,2019-01-29,0.0000,0.0000,0.0000,0.0000,1.0000,200
0.0000,0.0000,2019-01-10,0.0000,0.0000,0.0000,0.0000,1.0000,5000
0.0000,0.0000,2018-12-28,0.0000,0.0000,0.0000,0.0000,1.0000,50
0.0000,0.0000,2018-12-10,0.0000,0.0000,0.0000,0.0000,1.0000,0
0.0000,0.0000,2018-12-07,0.0000,0.0000,0.0000,0.0000,1.0000,1004
0.0001,0.0001,2018-10-10,0.0000,0.0001,0.0001,0.0001,1.0000,100
0.0001,0.0001,2018-10-04,0.0000,0.0001,0.0001,0.0001,1.0000,2000
0.0001,0.0001,2018-08-24,0.0000,0.0001,0.0001,0.0001,1.0000,175
0.0001,0.0001,2018-07-20,0.0000,0.0001,0.0001,0.0001,1.0000,200
0.0000,0.0000,2018-07-02,0.0000,0.0000,0.0000,0.0000,1.0000,49000
0.0001,0.0001,2018-06-28,0.0000,0.0001,0.0001,0.0001,1.0000,500
0.0001,0.0001,2018-06-12,0.0000,0.0001,0.0001,0.0001,1.0000,200
0.0001,0.0001,2018-04-03,0.0000,0.0001,0.0001,0.0001,1.0000,370
0.0001,0.0001,2018-01-24,0.0000,0.0001,0.0001,0.0001,1.0000,2600
0.0000,0.0000,2017-12-28,0.0000,0.0000,0.0000,0.0000,1.0000,100
0.0000,0.0000,2017-11-17,0.0000,0.0000,0.0000,0.0000,1.0000,500
