adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
6.9000,6.9000,2020-05-12,0.0000,7.1000,6.9000,7.1000,1.0000,21635
7.1000,7.1000,2020-05-11,0.0000,7.4000,6.9100,7.2800,1.0000,19124
7.2500,7.2500,2020-05-08,0.0000,7.3000,6.9000,7.2900,1.0000,11204
7.0300,7.0300,2020-05-07,0.0000,7.0300,6.9900,7.0000,1.0000,11617
7.0300,7.0300,2020-05-06,0.0000,7.2800,7.0000,7.1300,1.0000,22327
7.3300,7.3300,2020-05-05,0.0000,7.4600,7.2000,7.2000,1.0000,3490
7.1500,7.1500,2020-05-04,0.0000,7.3369,7.1500,7.2040,1.0000,22143
7.2500,7.2500,2020-05-01,0.0000,7.6400,7.2500,7.3800,1.0000,16194
7.5900,7.5900,2020-04-30,0.0000,7.8000,7.5100,7.6900,1.0000,12322
7.8100,7.8100,2020-04-29,0.0000,7.8500,7.5700,7.6900,1.0000,25381
7.8100,7.8100,2020-04-28,0.0000,7.8100,7.5000,7.6700,1.0000,24291
7.8900,7.8900,2020-04-27,0.0000,7.8900,7.6000,7.7800,1.0000,51407
7.8700,7.8700,2020-04-24,0.0000,7.8700,7.1880,7.3300,1.0000,31903
7.5500,7.5500,2020-04-23,0.0000,7.5500,7.1000,7.4100,1.0000,28387
7.5500,7.5500,2020-04-22,0.0000,7.6700,6.7860,7.2900,1.0000,56932
7.2900,7.2900,2020-04-21,0.0000,7.3100,6.0500,6.3900,1.0000,116941
6.5100,6.5100,2020-04-20,0.0000,6.5800,5.9086,6.1000,1.0000,174993
6.3659,6.3659,2020-04-17,0.0000,6.7500,6.1900,6.7500,1.0000,110463
6.4000,6.4000,2020-04-16,0.0000,6.8800,5.9000,6.0300,1.0000,280841
5.4800,5.4800,2020-04-15,0.0000,5.6000,5.0500,5.2800,1.0000,152762
5.0300,5.0300,2020-04-14,0.0000,5.1700,4.9300,5.1700,1.0000,52382
5.1700,5.1700,2020-04-13,0.0000,5.9900,4.8300,5.9900,1.0000,87048
5.4500,5.4500,2020-04-09,0.0000,5.6300,5.2700,5.6300,1.0000,64633
5.6400,5.6400,2020-04-08,0.0000,6.0300,5.4800,5.8700,1.0000,70671
5.9900,5.9900,2020-04-07,0.0000,6.1650,5.9500,6.0000,1.0000,53956
6.0000,6.0000,2020-04-06,0.0000,6.4400,5.9400,6.3500,1.0000,75121
6.3500,6.3500,2020-04-03,0.0000,6.7900,6.3000,6.7900,1.0000,52440
6.9900,6.9900,2020-04-02,0.0000,7.0000,6.5100,7.0000,1.0000,113939
7.5000,7.5000,2020-04-01,0.0000,7.7615,7.5000,7.5100,1.0000,21864
8.0500,8.0500,2020-03-31,0.0000,8.5200,8.0000,8.4700,1.0000,15459
8.5200,8.5200,2020-03-30,0.0000,8.8760,8.5200,8.7800,1.0000,12210
8.8000,8.8000,2020-03-27,0.0000,9.0300,8.4500,9.0300,1.0000,11901
9.4000,9.4000,2020-03-26,0.0000,9.6000,9.1500,9.5100,1.0000,30110
9.5600,9.5600,2020-03-25,0.0000,9.5800,8.8800,9.2000,1.0000,18993
8.9300,8.9300,2020-03-24,0.0000,9.3000,8.9000,9.1500,1.0000,12358
8.7600,8.7600,2020-03-23,0.0000,9.1800,8.6000,9.1500,1.0000,24903
8.8700,8.8700,2020-03-20,0.0000,9.2400,8.5000,9.1400,1.0000,3899
9.2500,9.2500,2020-03-19,0.0000,9.3700,8.1600,8.1600,1.0000,14680
8.2500,8.2500,2020-03-18,0.0000,8.2500,7.4300,7.9900,1.0000,30343
8.0900,8.0900,2020-03-17,0.0000,8.0900,7.3000,7.3000,1.0000,28701
7.0100,7.0100,2020-03-16,0.0000,7.4200,6.4200,7.4200,1.0000,60056
8.2600,8.2600,2020-03-13,0.0000,8.7900,7.7000,8.2000,1.0000,69839
7.7600,7.7600,2020-03-12,0.0000,9.0000,7.4700,9.0000,1.0000,234420
9.5400,9.5400,2020-03-11,0.0000,10.0500,9.5100,9.8500,1.0000,53468
9.9100,9.9100,2020-03-10,0.0000,10.3800,9.8600,10.0100,1.0000,51381
9.8100,9.8100,2020-03-09,0.0000,10.4800,9.0400,10.2000,1.0000,104020
10.9200,10.9200,2020-03-06,0.0000,11.3300,10.5001,10.7000,1.0000,86409
10.8600,10.8600,2020-03-05,0.0000,13.0300,10.5500,12.5400,1.0000,235046
12.2800,12.2800,2020-03-04,0.0000,14.0300,11.9500,13.7100,1.0000,211639
13.3900,13.3900,2020-03-03,0.0000,14.8000,13.3900,14.8000,1.0000,160365
14.4900,14.4900,2020-03-02,0.0000,14.7900,12.5500,13.0000,1.0000,139107
12.6900,12.6900,2020-02-28,0.0000,12.9000,11.5900,12.2100,1.0000,107863
12.0800,12.0800,2020-02-27,0.0000,13.5000,11.5960,12.6000,1.0000,353427
12.3500,12.3500,2020-02-26,0.0000,12.9707,10.5400,10.5600,1.0000,473900
10.5900,10.5900,2020-02-25,0.0000,10.6200,10.5001,10.5200,1.0000,138645
10.4700,10.4700,2020-02-24,0.0000,10.5800,10.3600,10.5200,1.0000,124699
10.7100,10.7100,2020-02-21,0.0000,10.8592,10.3500,10.5400,1.0000,500102
10.5300,10.5300,2020-02-20,0.0000,10.6400,10.3300,10.5000,1.0000,129608
10.4700,10.4700,2020-02-19,0.0000,10.5500,10.2000,10.5000,1.0000,126630
10.5000,10.5000,2020-02-18,0.0000,10.9800,10.2700,10.7000,1.0000,247147
