adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0087,0.0087,2020-04-17,0.0000,0.0087,0.0087,0.0087,1.0000,5000
0.0172,0.0172,2020-04-14,0.0000,0.0172,0.0172,0.0172,1.0000,100
0.0172,0.0172,2020-03-30,0.0000,0.0172,0.0172,0.0172,1.0000,5000
0.0172,0.0172,2020-01-17,0.0000,0.0172,0.0172,0.0172,1.0000,444
0.0142,0.0142,2020-01-14,0.0000,0.0142,0.0142,0.0142,1.0000,3000
0.0210,0.0210,2020-01-08,0.0000,0.0210,0.0210,0.0210,1.0000,166
0.0170,0.0170,2019-12-23,0.0000,0.0170,0.0170,0.0170,1.0000,5882
0.0435,0.0435,2019-11-18,0.0000,0.0435,0.0435,0.0435,1.0000,75
0.0435,0.0435,2019-11-05,0.0000,0.0435,0.0435,0.0435,1.0000,10
0.0435,0.0435,2019-09-27,0.0000,0.0435,0.0435,0.0435,1.0000,1000
0.0410,0.0410,2019-09-26,0.0000,0.0410,0.0410,0.0410,1.0000,300
0.0388,0.0388,2019-09-12,0.0000,0.0388,0.0388,0.0388,1.0000,10000
0.0390,0.0390,2019-09-10,0.0000,0.0390,0.0390,0.0390,1.0000,20000
0.0465,0.0465,2019-09-05,0.0000,0.0465,0.0426,0.0426,1.0000,3500
0.0011,0.0011,2019-04-17,0.0000,0.0011,0.0011,0.0011,1.0000,5000
0.0301,0.0301,2019-03-27,0.0000,0.0301,0.0301,0.0301,1.0000,16000
0.0335,0.0335,2019-03-20,0.0000,0.0335,0.0335,0.0335,1.0000,9900
0.0336,0.0336,2019-03-19,0.0000,0.0336,0.0336,0.0336,1.0000,7615
0.0400,0.0400,2018-12-11,0.0000,0.0400,0.0400,0.0400,1.0000,50000
0.0400,0.0400,2018-12-10,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2018-12-07,0.0000,0.0400,0.0400,0.0400,1.0000,50000
0.0340,0.0340,2018-11-28,0.0000,0.0340,0.0340,0.0340,1.0000,5882
0.0334,0.0334,2018-06-12,0.0000,0.0334,0.0334,0.0334,1.0000,138
0.0504,0.0504,2018-03-23,0.0000,0.0504,0.0504,0.0504,1.0000,30000
0.0550,0.0550,2018-03-22,0.0000,0.0550,0.0550,0.0550,1.0000,30000
0.0584,0.0584,2018-02-23,0.0000,0.0584,0.0584,0.0584,1.0000,5
0.0584,0.0584,2018-02-20,0.0000,0.0584,0.0584,0.0584,1.0000,1000
0.0473,0.0473,2018-01-11,0.0000,0.0473,0.0473,0.0473,1.0000,1
0.0473,0.0473,2018-01-05,0.0000,0.0473,0.0473,0.0473,1.0000,500
0.0389,0.0389,2017-12-07,0.0000,0.0585,0.0389,0.0585,1.0000,2500
0.0655,0.0655,2017-10-20,0.0000,0.0655,0.0655,0.0655,1.0000,44
0.0655,0.0655,2017-09-28,0.0000,0.0655,0.0655,0.0655,1.0000,500
