adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.1900,0.1900,2020-05-12,0.0000,0.2500,0.1900,0.1950,1.0000,8629
0.2500,0.2500,2020-05-11,0.0000,0.2500,0.2500,0.2500,1.0000,1230
0.2500,0.2500,2020-05-08,0.0000,0.2500,0.1900,0.2350,1.0000,4161
0.2200,0.2200,2020-05-07,0.0000,0.2500,0.1900,0.2000,1.0000,18754
0.2005,0.2005,2020-05-06,0.0000,0.2005,0.2005,0.2005,1.0000,230
0.2400,0.2400,2020-05-05,0.0000,0.2450,0.1900,0.1900,1.0000,34216
0.1900,0.1900,2020-05-04,0.0000,0.2400,0.1900,0.1900,1.0000,3197
0.1900,0.1900,2020-05-01,0.0000,0.2400,0.1900,0.2350,1.0000,13250
0.2100,0.2100,2020-04-30,0.0000,0.2500,0.1900,0.2500,1.0000,12800
0.2500,0.2500,2020-04-29,0.0000,0.2500,0.1900,0.1900,1.0000,17791
0.2400,0.2400,2020-04-28,0.0000,0.2400,0.2300,0.2300,1.0000,9400
0.2400,0.2400,2020-04-27,0.0000,0.2719,0.1900,0.2719,1.0000,30184
0.2500,0.2500,2020-04-24,0.0000,0.2500,0.1900,0.1900,1.0000,1100
0.2550,0.2550,2020-04-23,0.0000,0.2700,0.2350,0.2350,1.0000,8000
0.2500,0.2500,2020-04-22,0.0000,0.2500,0.1800,0.2000,1.0000,22300
0.2400,0.2400,2020-04-21,0.0000,0.2700,0.2200,0.2700,1.0000,20096
0.2500,0.2500,2020-04-20,0.0000,0.2700,0.1600,0.2700,1.0000,3583
0.2700,0.2700,2020-04-17,0.0000,0.2700,0.2300,0.2600,1.0000,16700
0.2500,0.2500,2020-04-16,0.0000,0.2700,0.1600,0.2050,1.0000,8217
0.2099,0.2099,2020-04-15,0.0000,0.2500,0.1600,0.2500,1.0000,16213
0.1600,0.1600,2020-04-14,0.0000,0.2400,0.1600,0.2000,1.0000,84380
0.2300,0.2300,2020-04-13,0.0000,0.2600,0.2300,0.2600,1.0000,4451
0.2600,0.2600,2020-04-09,0.0000,0.3200,0.2000,0.3000,1.0000,37363
0.2700,0.2700,2020-04-08,0.0000,0.3000,0.2500,0.3000,1.0000,16110
0.3000,0.3000,2020-04-07,0.0000,0.3000,0.2800,0.3000,1.0000,18437
0.2750,0.2750,2020-04-06,0.0000,0.4100,0.2500,0.4100,1.0000,55095
0.4100,0.4100,2020-04-03,0.0000,0.5500,0.2300,0.2400,1.0000,187368
0.2300,0.2300,2020-04-02,0.0000,0.2300,0.2300,0.2300,1.0000,2000
0.2300,0.2300,2020-04-01,0.0000,0.2300,0.2300,0.2300,1.0000,278
0.2497,0.2497,2020-03-31,0.0000,0.2498,0.1900,0.2398,1.0000,3403
0.2498,0.2498,2020-03-30,0.0000,0.2499,0.1600,0.2399,1.0000,11151
0.2100,0.2100,2020-03-27,0.0000,0.2499,0.2100,0.2499,1.0000,1540
0.2350,0.2350,2020-03-26,0.0000,0.2350,0.2100,0.2200,1.0000,19065
0.2100,0.2100,2020-03-25,0.0000,0.2274,0.1600,0.2274,1.0000,4116
0.2000,0.2000,2020-03-24,0.0000,0.2290,0.1600,0.2290,1.0000,4025
0.2100,0.2100,2020-03-23,0.0000,0.2500,0.1500,0.2100,1.0000,13733
0.2000,0.2000,2020-03-20,0.0000,0.2000,0.1650,0.1650,1.0000,4180
0.1300,0.1300,2020-03-19,0.0000,0.2100,0.1300,0.1500,1.0000,10280
0.1500,0.1500,2020-03-18,0.0000,0.1900,0.1100,0.1900,1.0000,24774
0.1900,0.1900,2020-03-17,0.0000,0.2500,0.1300,0.1411,1.0000,28472
0.2500,0.2500,2020-03-16,0.0000,0.3157,0.1900,0.3157,1.0000,32071
0.2900,0.2900,2020-03-13,0.0000,0.3400,0.1500,0.2940,1.0000,4985
0.2200,0.2200,2020-03-12,0.0000,0.3930,0.2200,0.3290,1.0000,119798
0.3300,0.3300,2020-03-11,0.0000,0.3900,0.3100,0.3900,1.0000,18215
0.3200,0.3200,2020-03-10,0.0000,0.4899,0.2250,0.4899,1.0000,42804
0.4000,0.4000,2020-03-09,0.0000,0.4499,0.3500,0.3500,1.0000,40617
0.4120,0.4120,2020-03-06,0.0000,0.5050,0.3002,0.3002,1.0000,19048
0.4650,0.4650,2020-03-05,0.0000,0.5050,0.4102,0.4102,1.0000,110256
0.5000,0.5000,2020-03-04,0.0000,0.5300,0.2700,0.5300,1.0000,103482
0.4100,0.4100,2020-03-03,0.0000,0.5500,0.4100,0.5500,1.0000,73451
0.5500,0.5500,2020-03-02,0.0000,0.7450,0.5001,0.7450,1.0000,216572
0.7150,0.7150,2020-02-28,0.0000,1.1000,0.5250,0.7000,1.0000,700274
0.4500,0.4500,2020-02-27,0.0000,0.5193,0.3300,0.4000,1.0000,34488
