adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
7.6100,7.6100,2020-05-12,0.0000,8.3000,7.5100,8.1100,1.0000,58155
7.8700,7.8700,2020-05-11,0.0000,8.1100,6.9200,6.9200,1.0000,89201
6.8600,6.8600,2020-05-08,0.0000,6.9900,6.1999,6.2000,1.0000,35827
6.1300,6.1300,2020-05-07,0.0000,6.4000,6.0000,6.2500,1.0000,35710
6.2900,6.2900,2020-05-06,0.0000,6.4000,5.8800,6.4000,1.0000,27100
6.4300,6.4300,2020-05-05,0.0000,6.8900,5.7600,5.7800,1.0000,87902
5.6100,5.6100,2020-05-04,0.0000,6.1900,5.0805,5.2000,1.0000,35999
5.2600,5.2600,2020-05-01,0.0000,6.1000,5.0000,5.6300,1.0000,24001
5.5500,5.5500,2020-04-30,0.0000,5.8700,5.5000,5.7700,1.0000,20908
5.8900,5.8900,2020-04-29,0.0000,6.3300,5.8000,5.9079,1.0000,29172
5.5700,5.5700,2020-04-28,0.0000,5.7200,5.2700,5.4000,1.0000,15593
5.2500,5.2500,2020-04-27,0.0000,5.4100,5.0500,5.2600,1.0000,33990
5.0900,5.0900,2020-04-24,0.0000,5.2000,4.9301,5.2000,1.0000,36225
5.1800,5.1800,2020-04-23,0.0000,5.1800,4.7419,4.8400,1.0000,42472
4.7400,4.7400,2020-04-22,0.0000,4.9400,4.6294,4.7400,1.0000,21948
4.6500,4.6500,2020-04-21,0.0000,4.7700,4.3900,4.5700,1.0000,56716
4.5600,4.5600,2020-04-20,0.0000,4.7600,4.5000,4.5300,1.0000,40786
4.5000,4.5000,2020-04-17,0.0000,4.6400,4.3600,4.5200,1.0000,34331
4.2800,4.2800,2020-04-16,0.0000,4.4900,4.2500,4.2500,1.0000,10158
4.2000,4.2000,2020-04-15,0.0000,4.5300,4.1000,4.5300,1.0000,25724
4.5100,4.5100,2020-04-14,0.0000,4.6063,4.4300,4.5400,1.0000,32846
4.4200,4.4200,2020-04-13,0.0000,4.6000,4.3300,4.4300,1.0000,35598
4.4500,4.4500,2020-04-09,0.0000,4.6400,4.3600,4.5000,1.0000,46573
4.4900,4.4900,2020-04-08,0.0000,4.8092,4.0083,4.1000,1.0000,53777
4.0500,4.0500,2020-04-07,0.0000,4.2062,3.7650,3.8500,1.0000,57942
3.8200,3.8200,2020-04-06,0.0000,3.9900,3.8100,3.9000,1.0000,62787
3.5900,3.5900,2020-04-03,0.0000,3.9000,3.4400,3.8200,1.0000,21327
3.8100,3.8100,2020-04-02,0.0000,3.9900,3.6800,3.7200,1.0000,32723
3.7500,3.7500,2020-04-01,0.0000,4.0200,3.5900,4.0200,1.0000,55566
