adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.3000,0.3000,2020-04-29,0.0000,0.3066,0.3000,0.3066,1.0000,200
0.4100,0.4100,2020-04-28,0.0000,0.4100,0.4100,0.4100,1.0000,4000
0.4200,0.4200,2020-04-21,0.0000,0.4200,0.4200,0.4200,1.0000,100
0.3625,0.3625,2020-04-20,0.0000,0.3625,0.3625,0.3625,1.0000,100
0.3800,0.3800,2020-03-31,0.0000,0.3800,0.3800,0.3800,1.0000,100
0.2300,0.2300,2020-03-20,0.0000,0.2300,0.2300,0.2300,1.0000,15000
0.4450,0.4450,2020-02-18,0.0000,0.4450,0.4450,0.4450,1.0000,16
0.4450,0.4450,2020-02-10,0.0000,0.4450,0.4450,0.4450,1.0000,710
0.6380,0.6380,2019-11-11,0.0000,0.6380,0.6380,0.6380,1.0000,90
0.6380,0.6380,2019-07-31,0.0000,0.6380,0.6380,0.6380,1.0000,100
1.0600,1.0600,2019-05-15,0.0000,1.0600,1.0600,1.0600,1.0000,4
1.0600,1.0600,2019-03-11,0.0000,1.0600,1.0600,1.0600,1.0000,90
1.0600,1.0600,2019-02-22,0.0000,1.0600,1.0600,1.0600,1.0000,15000
1.4700,1.4700,2019-02-21,0.0000,1.4700,1.4700,1.4700,1.0000,81
1.4700,1.4700,2018-10-12,0.0000,1.5180,1.4700,1.5180,1.0000,500
1.4600,1.4600,2018-10-10,0.0000,1.4615,1.4600,1.4615,1.0000,300
1.2500,1.2500,2018-09-07,0.0000,1.2500,1.2500,1.2500,1.0000,3186
1.4000,1.4000,2018-07-03,0.0000,1.4000,1.4000,1.4000,1.0000,160
1.0900,1.0900,2018-05-22,0.0000,1.0900,1.0900,1.0900,1.0000,8
1.0900,1.0900,2018-01-25,0.0000,1.0900,1.0900,1.0900,1.0000,50
1.0900,1.0900,2018-01-08,0.0000,1.0900,1.0900,1.0900,1.0000,1055
1.0900,1.0900,2017-12-29,0.0000,1.0900,1.0900,1.0900,1.0000,1396
0.9040,0.9040,2017-10-24,0.0000,0.9040,0.9040,0.9040,1.0000,4000
0.9040,0.9040,2017-10-18,0.0000,0.9040,0.9040,0.9040,1.0000,2000
