adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
3.2500,3.2500,2019-02-13,0.0000,3.2500,3.2500,3.2500,1.0000,0
3.2500,3.2500,2019-02-12,0.0000,3.3400,3.0000,3.3400,1.0000,273349
3.2900,3.2900,2019-02-11,0.0000,3.2900,3.1907,3.2800,1.0000,21378
3.3000,3.3000,2019-02-08,0.0000,3.3400,3.2500,3.2600,1.0000,3343
3.3300,3.3300,2019-02-07,0.0000,3.3600,3.1200,3.2800,1.0000,22275
3.3600,3.3600,2019-02-06,0.0000,3.5100,3.2500,3.5100,1.0000,39691
3.4271,3.4271,2019-02-05,0.0000,3.4438,3.1900,3.2000,1.0000,69076
3.1900,3.1900,2019-02-04,0.0000,3.1900,2.9700,2.9700,1.0000,27066
2.9301,2.9301,2019-02-01,0.0000,2.9680,2.7728,2.7728,1.0000,39598
2.8000,2.8000,2019-01-31,0.0000,2.8200,2.6700,2.7500,1.0000,64851
2.7650,2.7650,2019-01-30,0.0000,2.8000,2.7000,2.7871,1.0000,12988
2.7400,2.7400,2019-01-29,0.0000,2.7800,2.7000,2.7406,1.0000,60280
2.7000,2.7000,2019-01-28,0.0000,2.7900,2.5100,2.5100,1.0000,55122
2.5601,2.5601,2019-01-25,0.0000,2.6107,2.5010,2.5200,1.0000,21330
2.5200,2.5200,2019-01-24,0.0000,2.5200,2.4361,2.4376,1.0000,15152
2.3300,2.3300,2019-01-23,0.0000,2.4868,2.3200,2.4868,1.0000,17683
2.4900,2.4900,2019-01-22,0.0000,2.5351,2.4221,2.4700,1.0000,7789
2.5505,2.5505,2019-01-18,0.0000,2.5900,2.4800,2.4900,1.0000,27870
2.4000,2.4000,2019-01-17,0.0000,2.5200,2.4000,2.4500,1.0000,19923
2.4200,2.4200,2019-01-16,0.0000,2.4900,2.4200,2.4550,1.0000,8957
2.4500,2.4500,2019-01-15,0.0000,2.5700,2.3500,2.3600,1.0000,86975
2.4900,2.4900,2019-01-14,0.0000,2.5000,2.3027,2.4500,1.0000,167249
2.4221,2.4221,2019-01-11,0.0000,2.4900,2.2616,2.3100,1.0000,25040
2.3300,2.3300,2019-01-10,0.0000,2.3300,2.1500,2.1500,1.0000,54680
2.1900,2.1900,2019-01-09,0.0000,2.2600,2.1500,2.2400,1.0000,8786
2.2500,2.2500,2019-01-08,0.0000,2.3089,2.2200,2.2500,1.0000,139940
2.1999,2.1999,2019-01-07,0.0000,2.2500,2.1201,2.1500,1.0000,41593
2.1276,2.1276,2019-01-04,0.0000,2.1476,2.0200,2.0400,1.0000,56812
2.0300,2.0300,2019-01-03,0.0000,2.0500,1.8700,1.9000,1.0000,54878
1.9300,1.9300,2019-01-02,0.0000,1.9371,1.8201,1.8400,1.0000,8883
1.8400,1.8400,2018-12-31,0.0000,1.8496,1.6700,1.6700,1.0000,82216
1.6600,1.6600,2018-12-28,0.0000,1.8031,1.6300,1.6300,1.0000,126168
1.6200,1.6200,2018-12-27,0.0000,1.6320,1.5700,1.5900,1.0000,85716
1.5800,1.5800,2018-12-26,0.0000,1.6260,1.5200,1.5300,1.0000,93668
1.5783,1.5783,2018-12-24,0.0000,1.6400,1.5000,1.5200,1.0000,86889
1.5400,1.5400,2018-12-21,0.0000,1.6357,1.5200,1.5900,1.0000,124596
1.5700,1.5700,2018-12-20,0.0000,1.6700,1.5600,1.6300,1.0000,133832
1.5578,1.5578,2018-12-19,0.0000,1.6515,1.5100,1.5600,1.0000,126936
1.5700,1.5700,2018-12-18,0.0000,1.6669,1.4900,1.5700,1.0000,120586
1.5400,1.5400,2018-12-17,0.0000,1.7500,1.4800,1.7300,1.0000,102825
1.7600,1.7600,2018-12-14,0.0000,1.8500,1.7100,1.7100,1.0000,148726
1.7800,1.7800,2018-12-13,0.0000,1.8700,1.7400,1.7800,1.0000,144441
1.8000,1.8000,2018-12-12,0.0000,1.8100,1.6600,1.7800,1.0000,112020
1.7900,1.7900,2018-12-11,0.0000,1.8586,1.7700,1.8500,1.0000,100887
1.8100,1.8100,2018-12-10,0.0000,1.9000,1.6900,1.8400,1.0000,154028
1.8300,1.8300,2018-12-07,0.0000,1.9000,1.7900,1.7900,1.0000,91659
1.8200,1.8200,2018-12-06,0.0000,1.8900,1.7730,1.8400,1.0000,72241
1.8600,1.8600,2018-12-04,0.0000,1.9500,1.8300,1.9500,1.0000,88329
1.9800,1.9800,2018-12-03,0.0000,2.0000,1.8800,1.9800,1.0000,114753
2.0000,2.0000,2018-11-30,0.0000,2.0000,1.9300,1.9300,1.0000,62784
1.9400,1.9400,2018-11-29,0.0000,2.0199,1.8900,1.9600,1.0000,93640
2.0000,2.0000,2018-11-28,0.0000,2.0400,1.9310,2.0000,1.0000,74524
2.0000,2.0000,2018-11-27,0.0000,2.1299,1.9400,2.1299,1.0000,65640
2.0500,2.0500,2018-11-26,0.0000,2.3000,1.9000,2.1100,1.0000,162667
2.0000,2.0000,2018-11-21,0.0000,2.0000,1.8100,1.8600,1.0000,58206
1.8600,1.8600,2018-11-20,0.0000,1.9360,1.8300,1.9360,1.0000,89383
1.9200,1.9200,2018-11-19,0.0000,2.0400,1.9200,2.0400,1.0000,133539
2.0850,2.0850,2018-11-16,0.0000,2.0900,1.9900,2.0500,1.0000,160237
2.0200,2.0200,2018-11-15,0.0000,2.0700,1.9800,2.0000,1.0000,105521
1.9700,1.9700,2018-11-14,0.0000,2.0900,1.8500,1.8700,1.0000,391507
1.9200,1.9200,2018-11-13,0.0000,2.1300,1.8000,1.9950,1.0000,740575
1.6000,1.6000,2018-11-12,0.0000,1.6300,1.4900,1.5000,1.0000,58708
1.4800,1.4800,2018-11-09,0.0000,1.5300,1.4200,1.5200,1.0000,34177
1.5300,1.5300,2018-11-08,0.0000,1.6400,1.4300,1.4300,1.0000,43596
1.4400,1.4400,2018-11-07,0.0000,1.4900,1.1000,1.1000,1.0000,405535
1.1700,1.1700,2018-11-06,0.0000,1.8599,1.1022,1.8599,1.0000,588005
1.7900,1.7900,2018-11-05,0.0000,1.8500,1.7900,1.7900,1.0000,6213
1.8000,1.8000,2018-11-02,0.0000,1.8600,1.8000,1.8000,1.0000,20067
1.8000,1.8000,2018-11-01,0.0000,1.8800,1.6700,1.6700,1.0000,48537
1.6600,1.6600,2018-10-31,0.0000,1.7200,1.6400,1.6500,1.0000,19481
1.6600,1.6600,2018-10-30,0.0000,1.8200,1.6600,1.8200,1.0000,21205
1.8500,1.8500,2018-10-29,0.0000,1.9900,1.6700,1.8000,1.0000,92294
1.7900,1.7900,2018-10-26,0.0000,1.8500,1.6300,1.6300,1.0000,115497
1.7400,1.7400,2018-10-25,0.0000,1.7700,1.5100,1.6200,1.0000,109681
1.6000,1.6000,2018-10-24,0.0000,1.8900,1.3500,1.3500,1.0000,590000
1.3500,1.3500,2018-10-23,0.0000,1.4930,1.3100,1.3900,1.0000,101752
1.4000,1.4000,2018-10-22,0.0000,1.5700,1.3611,1.4200,1.0000,48913
1.4110,1.4110,2018-10-19,0.0000,1.5863,1.3900,1.5100,1.0000,50858
1.5000,1.5000,2018-10-18,0.0000,1.6500,1.4800,1.5600,1.0000,83042
1.5700,1.5700,2018-10-17,0.0000,1.6174,1.5500,1.5500,1.0000,33974
1.5500,1.5500,2018-10-16,0.0000,1.6500,1.5500,1.5800,1.0000,70688
1.5900,1.5900,2018-10-15,0.0000,1.6100,1.5500,1.6100,1.0000,72897
1.6100,1.6100,2018-10-12,0.0000,1.6440,1.5900,1.5900,1.0000,34315
1.5900,1.5900,2018-10-11,0.0000,1.7997,1.5500,1.7500,1.0000,99379
1.7500,1.7500,2018-10-10,0.0000,1.7936,1.7500,1.7600,1.0000,44206
1.7600,1.7600,2018-10-09,0.0000,1.8100,1.7500,1.7900,1.0000,82665
1.7800,1.7800,2018-10-08,0.0000,1.8394,1.7600,1.8000,1.0000,61039
1.8100,1.8100,2018-10-05,0.0000,1.9299,1.8000,1.8500,1.0000,51603
1.8400,1.8400,2018-10-04,0.0000,1.9579,1.8200,1.9579,1.0000,28314
1.9000,1.9000,2018-10-03,0.0000,1.9300,1.8800,1.9300,1.0000,24666
1.9300,1.9300,2018-10-02,0.0000,2.0141,1.9300,2.0100,1.0000,61477
