adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
23.1500,23.1500,2020-05-11,0.0000,23.1800,23.1500,23.1800,1.0000,361
20.1600,20.1600,2020-05-06,0.0000,20.1600,20.1600,20.1600,1.0000,391
21.7500,21.7500,2020-05-04,0.0000,21.7500,21.7500,21.7500,1.0000,109
21.7500,21.7500,2020-05-01,0.0000,21.7500,21.7500,21.7500,1.0000,9
21.7500,21.7500,2020-04-30,0.0000,21.7500,21.7500,21.7500,1.0000,147
21.7500,21.7500,2020-04-28,0.0000,21.7500,21.7500,21.7500,1.0000,415
21.7000,21.7000,2020-04-27,0.0000,21.7000,21.1950,21.1950,1.0000,2155
20.8200,20.8200,2020-04-24,0.0000,20.8200,20.8200,20.8200,1.0000,160
20.8200,20.8200,2020-04-23,0.0000,20.8200,20.8200,20.8200,1.0000,195
19.7900,19.7900,2020-04-22,0.0000,19.8000,19.7900,19.8000,1.0000,305
19.7800,19.7800,2020-04-21,0.0000,19.7800,19.7800,19.7800,1.0000,1556
20.5000,20.5000,2020-04-20,0.0000,20.5000,20.5000,20.5000,1.0000,304
20.1700,20.1700,2020-04-17,0.0000,20.1700,20.1600,20.1600,1.0000,476
19.8100,19.8100,2020-04-16,0.0000,19.8100,19.8100,19.8100,1.0000,32
19.8100,19.8100,2020-04-15,0.0000,19.8100,19.8100,19.8100,1.0000,2024
20.0800,20.0800,2020-04-14,0.0000,20.7200,20.0800,20.6100,1.0000,1109
20.3800,20.3800,2020-04-13,0.0000,20.3800,20.3800,20.3800,1.0000,38
20.3800,20.3800,2020-04-09,0.0000,20.3800,20.3800,20.3800,1.0000,1189
19.7200,19.7200,2020-04-08,0.0000,19.7200,19.7200,19.7200,1.0000,537
19.6300,19.6300,2020-04-07,0.0000,19.6300,19.6100,19.6100,1.0000,979
19.1200,19.1200,2020-04-06,0.0000,19.1200,18.5000,18.5000,1.0000,2131
17.1600,17.1600,2020-04-03,0.0000,17.1600,17.1600,17.1600,1.0000,164
19.3900,19.3900,2020-04-02,0.0000,19.3900,19.3900,19.3900,1.0000,99
19.3900,19.3900,2020-04-01,0.0000,19.3900,19.3900,19.3900,1.0000,238
21.1400,21.1400,2020-03-30,0.0000,21.1400,21.1400,21.1400,1.0000,141
21.9550,21.9550,2020-03-27,0.0000,21.9550,21.9550,21.9550,1.0000,187
20.3100,20.3100,2020-03-26,0.0000,20.3100,20.3100,20.3100,1.0000,50
20.3100,20.3100,2020-03-25,0.0000,20.3100,20.3100,20.3100,1.0000,239
19.9300,19.9300,2020-03-24,0.0000,19.9300,19.9300,19.9300,1.0000,192
17.3800,17.3800,2020-03-23,0.0000,17.3800,17.3800,17.3800,1.0000,26
17.3800,17.3800,2020-03-20,0.0000,17.3800,17.3800,17.3800,1.0000,970
