adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
6.6000,6.6000,2020-05-12,0.0000,6.8500,6.5100,6.8300,1.0000,105949
6.6500,6.6500,2020-05-11,0.0000,6.7700,6.3500,6.4200,1.0000,136207
6.3800,6.3800,2020-05-08,0.0000,6.7049,6.2800,6.5100,1.0000,61979
6.3600,6.3600,2020-05-07,0.0000,7.2100,6.1500,6.7300,1.0000,79412
6.7700,6.7700,2020-05-06,0.0000,7.1000,6.3350,6.4900,1.0000,71641
6.4600,6.4600,2020-05-05,0.0000,6.9500,6.3418,6.8000,1.0000,93000
6.6800,6.6800,2020-05-04,0.0000,7.0000,5.8800,6.3000,1.0000,134117
6.2500,6.2500,2020-05-01,0.0000,6.8900,5.8100,6.5000,1.0000,112263
6.5100,6.5100,2020-04-30,0.0000,7.3200,6.4500,7.3200,1.0000,125749
7.1900,7.1900,2020-04-29,0.0000,7.4400,6.7933,6.9000,1.0000,150055
6.7500,6.7500,2020-04-28,0.0000,6.9899,6.4200,6.9100,1.0000,106387
6.5900,6.5900,2020-04-27,0.0000,7.1400,6.4000,6.8300,1.0000,168286
6.5000,6.5000,2020-04-24,0.0000,6.7500,6.3100,6.5600,1.0000,58970
6.5100,6.5100,2020-04-23,0.0000,6.9900,6.2300,6.8000,1.0000,75935
6.8000,6.8000,2020-04-22,0.0000,6.9999,6.2767,6.2900,1.0000,65068
6.2900,6.2900,2020-04-21,0.0000,7.2900,6.2000,6.8700,1.0000,121271
6.7200,6.7200,2020-04-20,0.0000,7.1900,6.5600,6.9100,1.0000,201923
6.4700,6.4700,2020-04-17,0.0000,7.0900,6.2600,6.5200,1.0000,126567
6.4200,6.4200,2020-04-16,0.0000,6.4200,5.7800,6.1600,1.0000,99444
6.0000,6.0000,2020-04-15,0.0000,6.5000,5.7501,6.3100,1.0000,46336
6.3100,6.3100,2020-04-14,0.0000,6.5000,6.0500,6.1600,1.0000,74853
6.0000,6.0000,2020-04-13,0.0000,6.1700,5.2500,5.5300,1.0000,64106
5.5100,5.5100,2020-04-09,0.0000,5.9300,5.1600,5.4100,1.0000,61445
5.2900,5.2900,2020-04-08,0.0000,5.4550,5.1824,5.4100,1.0000,60150
5.2200,5.2200,2020-04-07,0.0000,6.0000,5.0557,5.9200,1.0000,62705
5.5400,5.5400,2020-04-06,0.0000,5.5400,4.8606,4.8900,1.0000,72084
4.6200,4.6200,2020-04-03,0.0000,5.1900,4.5500,5.0000,1.0000,139858
5.3500,5.3500,2020-04-02,0.0000,5.5000,4.5801,5.1300,1.0000,103019
5.2100,5.2100,2020-04-01,0.0000,6.0000,5.1100,6.0000,1.0000,91143
