adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
7.3100,7.3100,2020-05-12,0.0000,7.8900,7.3100,7.8200,1.0000,2312662
7.7900,7.7900,2020-05-11,0.0000,8.0900,7.7600,7.9900,1.0000,1650515
8.1800,8.1800,2020-05-08,0.0000,8.3000,8.0100,8.1300,1.0000,1392197
8.0300,8.0300,2020-05-07,0.0000,8.1600,7.5700,7.7100,1.0000,2298401
7.6400,7.6400,2020-05-06,0.0000,8.8400,7.5400,8.5100,1.0000,3669797
7.7700,7.7700,2020-05-05,0.0000,8.0800,7.7301,7.7800,1.0000,1605672
7.6200,7.6200,2020-05-04,0.0000,7.6700,7.1999,7.5000,1.0000,1901165
7.7300,7.7300,2020-05-01,0.0000,7.9800,7.3718,7.5000,1.0000,2637159
7.9500,7.9500,2020-04-30,0.0000,8.4700,7.7500,8.2000,1.0000,2585393
8.2200,8.2200,2020-04-29,0.0000,8.3550,7.3833,7.4800,1.0000,3866074
7.0900,7.0900,2020-04-28,0.0000,7.4900,6.9400,7.3800,1.0000,2480400
7.0400,7.0400,2020-04-27,0.0000,7.1500,6.6600,6.7800,1.0000,1757124
6.9000,6.9000,2020-04-24,0.0000,6.9625,6.5800,6.9200,1.0000,1663143
7.0400,7.0400,2020-04-23,0.0000,7.3400,6.8600,6.9400,1.0000,1469916
6.9400,6.9400,2020-04-22,0.0000,7.2000,6.6993,7.0900,1.0000,1533553
7.0600,7.0600,2020-04-21,0.0000,7.0771,6.6300,6.7100,1.0000,2151042
6.8000,6.8000,2020-04-20,0.0000,7.2500,6.4600,6.5200,1.0000,3355705
7.1800,7.1800,2020-04-17,0.0000,7.2299,6.6301,6.8800,1.0000,3118141
6.3900,6.3900,2020-04-16,0.0000,6.8400,6.2500,6.7300,1.0000,2184214
6.8600,6.8600,2020-04-15,0.0000,7.0000,6.4600,6.8700,1.0000,2544640
7.3100,7.3100,2020-04-14,0.0000,7.9900,7.1400,7.6300,1.0000,2762006
7.1600,7.1600,2020-04-13,0.0000,8.4100,6.7500,8.3900,1.0000,5125197
8.1400,8.1400,2020-04-09,0.0000,8.5800,6.7500,6.7500,1.0000,10221387
6.1400,6.1400,2020-04-08,0.0000,6.5000,5.6100,5.7200,1.0000,6916685
5.2000,5.2000,2020-04-07,0.0000,6.1400,4.6700,4.7000,1.0000,10082255
4.0800,4.0800,2020-04-06,0.0000,4.8995,3.6600,3.7300,1.0000,6183655
3.3900,3.3900,2020-04-03,0.0000,4.3600,2.9100,4.2600,1.0000,12078301
4.5700,4.5700,2020-04-02,0.0000,5.4900,4.1600,4.8900,1.0000,5000717
4.5700,4.5700,2020-04-01,0.0000,4.7900,4.2700,4.7000,1.0000,2815910
4.7400,4.7400,2020-03-31,0.0000,5.8850,4.6500,5.4900,1.0000,4152591
5.4400,5.4400,2020-03-30,0.0000,5.8000,5.0500,5.8000,1.0000,3291173
6.6500,6.6500,2020-03-27,0.0000,8.0400,6.0100,8.0400,1.0000,5782761
7.1400,7.1400,2020-03-26,0.0000,10.2400,4.0600,4.0800,1.0000,20228185
3.7100,3.7100,2020-03-25,0.0000,4.2300,3.6000,3.8600,1.0000,4231202
3.6100,3.6100,2020-03-24,0.0000,4.5300,3.5000,4.4600,1.0000,3039238
4.0900,4.0900,2020-03-23,0.0000,4.5000,3.7500,4.4200,1.0000,3479297
4.5100,4.5100,2020-03-20,0.0000,5.6300,4.4900,5.3000,1.0000,5768739
4.4600,4.4600,2020-03-19,0.0000,5.6000,3.6400,4.4200,1.0000,4517613
4.5500,4.5500,2020-03-18,0.0000,5.6700,2.6500,5.5600,1.0000,5759706
6.2800,6.2800,2020-03-17,0.0000,8.5000,5.0200,8.5000,1.0000,5956530
8.3200,8.3200,2020-03-16,0.0000,10.4900,8.3200,10.1500,1.0000,2050014
11.4400,11.4400,2020-03-13,0.0000,12.4300,10.5000,12.4000,1.0000,1915011
11.0100,11.0100,2020-03-12,0.0000,12.3400,10.7300,12.2500,1.0000,2164924
13.3200,13.3200,2020-03-11,0.0000,14.0050,13.1200,13.9500,1.0000,1711137
14.2900,14.2900,2020-03-10,0.0000,14.8100,13.8000,14.5700,1.0000,887646
