adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
25.2400,25.2400,2020-05-12,0.0000,26.6200,25.1400,26.1900,1.0000,16820668
26.0900,26.0900,2020-05-11,0.0000,26.8600,25.7800,26.6200,1.0000,20795283
27.2000,27.2000,2020-05-08,0.0000,27.2300,25.9100,26.0400,1.0000,19116648
25.4500,25.4500,2020-05-07,0.0000,26.2700,24.9500,24.9900,1.0000,24504932
24.9300,24.9300,2020-05-06,0.0000,26.7400,24.7700,26.5500,1.0000,36907611
26.4200,26.4200,2020-05-05,0.0000,28.1300,26.1750,28.0700,1.0000,36620304
27.5600,27.5600,2020-05-04,0.0000,27.9400,26.5000,27.2300,1.0000,43391209
29.2300,29.2300,2020-05-01,0.0000,30.9550,28.7500,30.5000,1.0000,36300230
31.2500,31.2500,2020-04-30,0.0000,31.6900,30.1800,30.7100,1.0000,62316081
30.9700,30.9700,2020-04-29,0.0000,31.7950,29.4300,29.4900,1.0000,100798645
29.6900,29.6900,2020-04-28,0.0000,30.4800,28.2500,29.1200,1.0000,54078513
29.1100,29.1100,2020-04-27,0.0000,29.9100,28.8500,29.7900,1.0000,14191889
29.3300,29.3300,2020-04-24,0.0000,30.4300,28.8000,30.2000,1.0000,15077156
30.1400,30.1400,2020-04-23,0.0000,30.7750,29.5900,29.8100,1.0000,11613589
29.7100,29.7100,2020-04-22,0.0000,30.8100,28.8000,30.6300,1.0000,15675577
30.1100,30.1100,2020-04-21,0.0000,31.2300,29.6000,30.0500,1.0000,12548857
31.0600,31.0600,2020-04-20,0.0000,31.4800,29.5100,30.6400,1.0000,14535516
31.1900,31.1900,2020-04-17,0.0000,32.9500,30.9000,32.5000,1.0000,20116252
30.6800,30.6800,2020-04-16,0.0000,32.3500,30.2000,32.1200,1.0000,17616589
32.8200,32.8200,2020-04-15,0.0000,35.2600,32.5200,35.1500,1.0000,19984181
34.7800,34.7800,2020-04-14,0.0000,36.0500,34.7100,35.1700,1.0000,8676310
34.2600,34.2600,2020-04-13,0.0000,36.7200,33.7500,36.7200,1.0000,9054130
36.4700,36.4700,2020-04-09,0.0000,37.3100,35.1300,36.3000,1.0000,10337796
34.3000,34.3000,2020-04-08,0.0000,34.7800,32.6300,33.5600,1.0000,8902912
32.7700,32.7700,2020-04-07,0.0000,35.4300,32.3200,33.8400,1.0000,14025253
30.7000,30.7000,2020-04-06,0.0000,31.9600,30.0000,31.7900,1.0000,13824232
30.5400,30.5400,2020-04-03,0.0000,31.8800,29.7300,31.3300,1.0000,9736081
31.5000,31.5000,2020-04-02,0.0000,32.8400,30.8700,32.1100,1.0000,7842018
32.0400,32.0400,2020-04-01,0.0000,34.2000,31.8100,34.0500,1.0000,8539455
35.6100,35.6100,2020-03-31,0.0000,37.4700,34.9500,35.2700,1.0000,7793905
35.1000,35.1000,2020-03-30,0.0000,37.1500,34.5000,35.5200,1.0000,7440630
