adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
8.8900,8.8900,2020-05-12,0.0000,9.3100,8.8200,9.3100,1.0000,39922
9.2700,9.2700,2020-05-11,0.0000,9.6857,9.0000,9.3600,1.0000,41342
9.4500,9.4500,2020-05-08,0.0000,9.7300,9.4000,9.6600,1.0000,23871
9.3900,9.3900,2020-05-07,0.0000,9.8500,9.2600,9.7000,1.0000,29486
9.5100,9.5100,2020-05-06,0.0000,9.6700,9.3000,9.4200,1.0000,21162
9.3750,9.3750,2020-05-05,0.0000,10.0700,9.2700,10.0700,1.0000,40408
9.8000,9.8000,2020-05-04,0.0000,9.8983,9.5100,9.8600,1.0000,43410
9.9500,9.9500,2020-05-01,0.0000,10.5300,9.7201,10.4500,1.0000,46912
10.5850,10.5850,2020-04-30,0.1100,11.7500,10.1900,11.1800,1.0000,20549
11.5005,11.6200,2020-04-29,0.0000,11.7600,11.0600,11.2400,1.0000,53123
10.9957,11.1100,2020-04-28,0.0000,11.1900,10.8700,11.1800,1.0000,26798
10.7483,10.8600,2020-04-27,0.0000,11.0400,10.1500,10.2500,1.0000,70820
9.9961,10.1000,2020-04-24,0.0000,10.3700,9.6200,9.6200,1.0000,31036
9.5211,9.6200,2020-04-23,0.0000,9.9200,9.6100,9.8600,1.0000,21675
9.7784,9.8800,2020-04-22,0.0000,10.2100,9.7100,10.2100,1.0000,27690
9.9268,10.0300,2020-04-21,0.0000,10.0600,9.7100,10.0000,1.0000,42295
9.9664,10.0700,2020-04-20,0.0000,10.1600,9.9400,9.9400,1.0000,29861
10.0951,10.2000,2020-04-17,0.0000,10.5100,9.7200,9.7200,1.0000,44128
9.4914,9.5900,2020-04-16,0.0000,10.0000,9.1500,10.0000,1.0000,59963
9.7586,9.8600,2020-04-15,0.0000,10.7599,9.8000,10.6000,1.0000,53387
10.5207,10.6300,2020-04-14,0.0000,11.2443,10.6000,10.9400,1.0000,41243
10.6988,10.8100,2020-04-13,0.0000,11.1300,10.6000,11.1300,1.0000,30955
11.0452,11.1600,2020-04-09,0.0000,11.4400,10.9200,11.4400,1.0000,66286
11.0452,11.1600,2020-04-08,0.0000,11.3400,11.0200,11.3400,1.0000,47366
10.8374,10.9500,2020-04-07,0.0000,11.1500,10.4300,11.0000,1.0000,142038
11.2135,11.3300,2020-04-06,0.0000,11.4900,11.0750,11.0900,1.0000,44386
10.4415,10.5500,2020-04-03,0.0000,11.2800,10.5300,10.8800,1.0000,44175
10.8077,10.9200,2020-04-02,0.0000,11.2500,10.7300,10.7600,1.0000,23984
10.5702,10.6800,2020-04-01,0.0000,11.5000,10.5800,11.5000,1.0000,47851
11.6193,11.7400,2020-03-31,0.0000,11.7400,10.8000,11.2300,1.0000,51938
10.9957,11.1100,2020-03-30,0.0000,11.4000,10.6700,11.0000,1.0000,28334
10.8869,11.0000,2020-03-27,0.0000,11.5400,10.9600,11.5400,1.0000,18016
11.8667,11.9900,2020-03-26,0.0000,11.9900,11.2500,11.6100,1.0000,63195
11.3718,11.4900,2020-03-25,0.0000,11.6600,11.0200,11.4400,1.0000,43775
11.3223,11.4400,2020-03-24,0.0000,11.4400,10.8400,11.3600,1.0000,58908
10.9462,11.0600,2020-03-23,0.0000,12.0500,10.6200,11.4200,1.0000,33502
11.7974,11.9200,2020-03-20,0.0000,12.7400,10.9500,11.9100,1.0000,89710
12.0646,12.1900,2020-03-19,0.0000,12.1900,10.4200,10.4200,1.0000,43756
10.2139,10.3200,2020-03-18,0.0000,11.7600,10.3100,11.2500,1.0000,49561
12.1438,12.2700,2020-03-17,0.0000,13.3200,10.3400,10.7800,1.0000,66001
10.3128,10.4200,2020-03-16,0.0000,11.5400,10.3600,10.5700,1.0000,39991
11.6291,11.7500,2020-03-13,0.0000,13.2100,10.1600,11.7800,1.0000,63179
11.0155,11.1300,2020-03-12,0.0000,11.5000,11.0200,11.0400,1.0000,55902
11.6489,11.7700,2020-03-11,0.0000,12.4000,11.5000,12.3800,1.0000,37583
12.6683,12.8000,2020-03-10,0.0000,12.8700,12.0600,12.7400,1.0000,39660
11.8865,12.0100,2020-03-09,0.0000,13.0100,12.0000,13.0100,1.0000,25089
13.2820,13.4200,2020-03-06,0.0000,13.9800,13.2050,13.7100,1.0000,27425
