adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
50.4900,50.4900,2020-05-12,0.0000,52.7728,49.0750,51.7500,1.0000,648362
51.7800,51.7800,2020-05-11,0.0000,53.0400,50.2500,51.8600,1.0000,541412
52.7000,52.7000,2020-05-08,0.0000,52.8400,49.2900,50.6700,1.0000,430787
49.1800,49.1800,2020-05-07,0.0000,51.7800,48.6900,50.6000,1.0000,510046
50.0800,50.0800,2020-05-06,0.0000,53.4104,49.7500,52.8100,1.0000,290431
52.6800,52.6800,2020-05-05,0.0000,54.6300,52.6100,53.3800,1.0000,298724
52.0800,52.0800,2020-05-04,0.0000,53.0000,51.0000,52.4000,1.0000,396148
53.7600,53.7600,2020-05-01,0.0000,54.0000,51.5700,53.0000,1.0000,356698
55.0600,55.0600,2020-04-30,0.0000,55.7300,53.6000,55.5600,1.0000,325180
57.0200,57.0200,2020-04-29,0.0000,58.7750,56.0500,57.0300,1.0000,348830
54.5600,54.5600,2020-04-28,0.0000,56.5550,53.0700,55.5700,1.0000,529288
53.0800,53.0800,2020-04-27,0.0000,53.7950,50.0669,50.3200,1.0000,303607
49.8700,49.8700,2020-04-24,0.0000,50.6700,49.2500,50.1900,1.0000,335575
50.2600,50.2600,2020-04-23,0.0000,51.9800,49.4890,50.3300,1.0000,310335
50.3200,50.3200,2020-04-22,0.0000,52.3300,49.4800,50.9200,1.0000,255101
49.9200,49.9200,2020-04-21,0.0000,50.4200,48.5000,48.7100,1.0000,191685
50.9300,50.9300,2020-04-20,0.0000,53.0874,49.7800,53.0000,1.0000,323533
54.3600,54.3600,2020-04-17,0.0000,56.1650,53.4300,54.6100,1.0000,374758
52.6400,52.6400,2020-04-16,0.0000,53.8350,50.0800,53.2600,1.0000,637834
53.4200,53.4200,2020-04-15,0.0000,55.4200,51.5100,54.0900,1.0000,508781
56.9900,56.9900,2020-04-14,0.0000,58.6140,55.8000,58.0000,1.0000,296544
55.9200,55.9200,2020-04-13,0.0000,58.2857,54.4533,58.0600,1.0000,354640
57.8400,57.8400,2020-04-09,0.0000,59.9586,54.3300,55.5500,1.0000,750930
53.4000,53.4000,2020-04-08,0.0000,54.1600,46.9050,47.2700,1.0000,656722
46.3100,46.3100,2020-04-07,0.0000,49.8700,45.8400,45.9500,1.0000,538699
43.1600,43.1600,2020-04-06,0.0000,44.7300,39.5100,39.5100,1.0000,655161
37.6000,37.6000,2020-04-03,0.0000,40.3800,36.6100,39.7600,1.0000,441817
40.1600,40.1600,2020-04-02,0.0000,42.7900,38.7400,40.4100,1.0000,536753
41.8800,41.8800,2020-04-01,0.0000,46.4900,41.2901,46.2700,1.0000,632414
49.5200,49.5200,2020-03-31,0.0000,52.5500,47.7500,51.6300,1.0000,729516
52.2800,52.2800,2020-03-30,1.1025,53.9600,49.0700,53.9600,1.0000,666556
53.2863,54.4100,2020-03-27,0.0000,55.9600,50.5200,51.3100,1.0000,625174
52.5616,53.6700,2020-03-26,0.0000,53.6800,48.6883,49.1800,1.0000,712387
47.7628,48.7700,2020-03-25,0.0000,50.1500,42.9800,42.9800,1.0000,734203
41.9161,42.8000,2020-03-24,0.0000,43.1500,38.3400,38.8300,1.0000,597946
36.0694,36.8300,2020-03-23,0.0000,38.4300,35.1600,38.2500,1.0000,555703
37.0389,37.8200,2020-03-20,0.0000,44.1400,37.0500,39.1600,1.0000,870499
37.3523,38.1400,2020-03-19,0.0000,38.8600,31.3700,33.4800,1.0000,769017
32.8669,33.5600,2020-03-18,0.0000,38.2250,33.0300,37.6300,1.0000,793496
