adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
66.4700,66.4700,2020-02-24,0.0000,66.4700,66.4700,66.4700,1.0000,1
66.4700,66.4700,2020-01-30,0.0000,66.4700,66.4700,66.4700,1.0000,1
66.4700,66.4700,2019-10-22,0.0000,66.4700,66.4700,66.4700,1.0000,68
66.4700,66.4700,2019-10-10,0.0000,66.4700,66.4700,66.4700,1.0000,136
66.4700,66.4700,2019-09-30,0.0000,66.4700,66.4700,66.4700,1.0000,68
66.4700,66.4700,2019-05-09,0.0000,66.4700,66.4700,66.4700,1.0000,300
69.7800,69.7800,2019-04-10,0.0000,69.7800,69.2000,69.2000,1.0000,300
71.5000,71.5000,2019-04-04,0.0000,71.5000,71.5000,71.5000,1.0000,700
71.1400,71.1400,2019-03-11,0.0000,71.1400,71.1300,71.1300,1.0000,300
68.1300,68.1300,2019-03-04,0.0000,68.1300,68.1300,68.1300,1.0000,100
65.5300,65.5300,2019-02-05,0.0000,65.5300,65.5300,65.5300,1.0000,500
64.7100,64.7100,2019-01-07,0.0000,64.7100,64.7100,64.7100,1.0000,8
64.7100,64.7100,2018-12-19,0.0000,64.7100,64.7100,64.7100,1.0000,64
64.7100,64.7100,2018-12-10,0.0000,64.7100,64.7100,64.7100,1.0000,8
64.7100,64.7100,2018-12-07,0.0000,64.7100,64.7100,64.7100,1.0000,34
64.7100,64.7100,2018-10-31,0.0000,64.7100,64.7100,64.7100,1.0000,196
64.4900,64.4900,2018-10-30,0.0000,64.4900,63.9900,63.9900,1.0000,908
65.0500,65.0500,2018-10-16,0.0000,65.1000,64.8500,64.9000,1.0000,7139
61.9500,61.9500,2018-10-09,0.0000,61.9500,61.9500,61.9500,1.0000,1500
62.8000,62.8000,2018-09-27,0.0000,63.8000,62.8000,63.8000,1.0000,4513
61.4100,61.4100,2018-09-26,0.0000,61.4100,61.0000,61.0000,1.0000,4860
59.3000,59.3000,2018-09-25,0.0000,59.5000,59.3000,59.5000,1.0000,5700
60.0000,60.0000,2018-09-24,0.0000,61.0000,58.8199,58.8199,1.0000,23104
52.0600,52.0600,2018-08-15,0.0000,52.0600,52.0600,52.0600,1.0000,1
52.0600,52.0600,2018-06-12,0.0000,52.0600,52.0600,52.0600,1.0000,10
52.0600,52.0600,2018-04-04,0.0000,52.0600,51.9200,51.9200,1.0000,200
51.8100,51.8100,2018-02-27,0.0000,51.8100,51.8100,51.8100,1.0000,20
51.8100,51.8100,2018-01-08,0.0000,51.8100,51.8100,51.8100,1.0000,200
