adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0400,0.0400,2020-05-12,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-05-11,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-05-08,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-05-07,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0410,0.0410,2020-05-06,0.0000,0.0410,0.0410,0.0410,1.0000,1500
0.0600,0.0600,2020-05-05,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0589,0.0589,2020-05-04,0.0000,0.0589,0.0589,0.0589,1.0000,10000
0.0900,0.0900,2020-05-01,0.0000,0.0900,0.0900,0.0900,1.0000,0
0.0875,0.0875,2020-04-30,0.0000,0.0875,0.0875,0.0875,1.0000,100
0.0530,0.0530,2020-04-29,0.0000,0.0530,0.0530,0.0530,1.0000,6810
0.0550,0.0550,2020-04-28,0.0000,0.0550,0.0550,0.0550,1.0000,10000
0.0700,0.0700,2020-04-27,0.0000,0.0700,0.0700,0.0700,1.0000,13500
0.0366,0.0366,2020-04-24,0.0000,0.0366,0.0366,0.0366,1.0000,17651
0.0355,0.0355,2020-04-23,0.0000,0.0355,0.0355,0.0355,1.0000,100
0.0480,0.0480,2020-04-22,0.0000,0.0480,0.0480,0.0480,1.0000,100
0.0500,0.0500,2020-04-21,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-04-20,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-04-17,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0480,0.0480,2020-04-16,0.0000,0.0480,0.0477,0.0477,1.0000,36050
0.0580,0.0580,2020-04-15,0.0000,0.0580,0.0580,0.0580,1.0000,10100
0.0600,0.0600,2020-04-14,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0580,0.0580,2020-04-13,0.0000,0.0580,0.0580,0.0580,1.0000,500
0.0580,0.0580,2020-04-09,0.0000,0.0580,0.0580,0.0580,1.0000,2100
0.0200,0.0200,2020-04-08,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0200,0.0200,2020-04-07,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0230,0.0230,2020-04-06,0.0000,0.0230,0.0230,0.0230,1.0000,3000
0.0394,0.0394,2020-04-03,0.0000,0.0394,0.0394,0.0394,1.0000,10000
0.0394,0.0394,2020-04-02,0.0000,0.0394,0.0394,0.0394,1.0000,100
0.0394,0.0394,2020-04-01,0.0000,0.0394,0.0394,0.0394,1.0000,3001
0.0400,0.0400,2020-03-31,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-30,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-27,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-26,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0394,0.0394,2020-03-25,0.0000,0.0394,0.0394,0.0394,1.0000,600
0.0400,0.0400,2020-03-24,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-23,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-20,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-19,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-18,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-17,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0394,0.0394,2020-03-16,0.0000,0.0394,0.0394,0.0394,1.0000,1000
0.0500,0.0500,2020-03-13,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-03-12,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-03-11,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-03-10,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-03-09,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-03-06,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-03-05,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-03-04,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-03-03,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0480,0.0480,2020-03-02,0.0000,0.0480,0.0480,0.0480,1.0000,5000
0.0600,0.0600,2020-02-28,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0600,0.0600,2020-02-27,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0600,0.0600,2020-02-26,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0600,0.0600,2020-02-25,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0600,0.0600,2020-02-24,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0600,0.0600,2020-02-21,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0600,0.0600,2020-02-20,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0600,0.0600,2020-02-19,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0586,0.0586,2020-02-18,0.0000,0.0600,0.0586,0.0600,1.0000,2000
0.0300,0.0300,2020-02-14,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0318,0.0318,2020-02-13,0.0000,0.0318,0.0317,0.0317,1.0000,200
0.0100,0.0100,2020-02-12,0.0000,0.0100,0.0100,0.0100,1.0000,0
0.0100,0.0100,2020-02-11,0.0000,0.0100,0.0100,0.0100,1.0000,0
0.0100,0.0100,2020-02-10,0.0000,0.0100,0.0100,0.0100,1.0000,0
0.0100,0.0100,2020-02-07,0.0000,0.0100,0.0100,0.0100,1.0000,0
0.0100,0.0100,2020-02-06,0.0000,0.0100,0.0100,0.0100,1.0000,0
0.0100,0.0100,2020-02-04,0.0000,0.0100,0.0100,0.0100,1.0000,0
0.0100,0.0100,2020-02-03,0.0000,0.0100,0.0100,0.0100,1.0000,0
0.0125,0.0125,2020-01-31,0.0000,0.0125,0.0125,0.0125,1.0000,1270
0.0500,0.0500,2020-01-29,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-28,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-27,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-24,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-23,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-22,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-21,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-17,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-16,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-15,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-14,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-13,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-10,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-09,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-08,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-07,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-06,0.0000,0.0500,0.0500,0.0500,1.0000,1270
0.0500,0.0500,2020-01-03,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-02,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-31,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-30,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-27,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-26,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-24,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-23,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-20,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-19,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-18,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-17,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-16,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-13,0.0000,0.0500,0.0494,0.0494,1.0000,25000
0.0500,0.0500,2019-12-12,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-11,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-10,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-09,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-06,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-05,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-04,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-03,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-12-02,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-11-29,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0494,0.0494,2019-11-27,0.0000,0.0494,0.0494,0.0494,1.0000,7000
0.0300,0.0300,2019-11-26,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-25,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-22,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-21,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-20,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-19,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-18,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-15,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-14,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-13,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-12,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-11,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-08,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-07,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-06,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-11-05,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0317,0.0317,2019-11-04,0.0000,0.0317,0.0317,0.0317,1.0000,10000
0.0500,0.0500,2019-11-01,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-10-31,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-10-30,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-10-29,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-10-28,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2019-10-25,0.0000,0.0500,0.0500,0.0500,1.0000,0
