adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
6.8200,6.8200,2020-05-12,0.0000,7.5100,6.8200,7.5000,1.0000,1917510
7.4900,7.4900,2020-05-11,0.0000,7.7000,7.1950,7.6700,1.0000,1600682
7.8600,7.8600,2020-05-08,0.0000,7.8950,7.5100,7.5300,1.0000,1793015
7.3100,7.3100,2020-05-07,0.0000,7.4750,7.0400,7.0400,1.0000,1551552
6.9300,6.9300,2020-05-06,0.0000,7.6500,6.8900,7.5300,1.0000,2028770
7.3900,7.3900,2020-05-05,0.0000,8.0700,7.3700,7.9000,1.0000,1722126
7.7400,7.7400,2020-05-04,0.0000,8.0000,7.5700,8.0000,1.0000,2661771
8.1500,8.1500,2020-05-01,0.0000,8.2400,7.9000,8.0800,1.0000,1478547
8.2400,8.2400,2020-04-30,0.0000,8.2400,7.6200,8.2100,1.0000,2461023
8.5000,8.5000,2020-04-29,0.0000,8.7000,7.8400,7.9300,1.0000,4353695
7.7500,7.7500,2020-04-28,0.0000,7.9100,7.2867,7.3700,1.0000,2703669
7.1300,7.1300,2020-04-27,0.0000,7.2200,6.5100,6.6100,1.0000,1951945
6.4000,6.4000,2020-04-24,0.0000,6.4650,6.1000,6.1600,1.0000,1303006
6.1500,6.1500,2020-04-23,0.0000,6.5600,6.0850,6.2600,1.0000,1874287
6.1900,6.1900,2020-04-22,0.0000,6.3800,6.1000,6.1600,1.0000,2062953
5.9600,5.9600,2020-04-21,0.0000,6.2350,5.8200,5.9100,1.0000,2365819
6.2300,6.2300,2020-04-20,0.0000,6.6200,6.1500,6.6200,1.0000,1935382
6.7500,6.7500,2020-04-17,0.0000,6.9000,6.4500,6.4700,1.0000,1928794
6.4600,6.4600,2020-04-16,0.0000,6.7700,6.1700,6.7500,1.0000,2113952
6.7400,6.7400,2020-04-15,0.0000,7.0300,6.4200,6.6100,1.0000,1736124
7.0100,7.0100,2020-04-14,0.0000,7.3600,6.8000,6.9300,1.0000,1551271
6.8000,6.8000,2020-04-13,0.0000,7.4900,6.5600,7.3800,1.0000,2652498
7.5500,7.5500,2020-04-09,0.0000,8.5300,7.4700,7.8400,1.0000,3596323
7.3600,7.3600,2020-04-08,0.0000,7.5500,6.8300,6.9100,1.0000,3086456
6.7000,6.7000,2020-04-07,0.0000,7.1700,6.6500,6.7600,1.0000,7952211
6.4500,6.4500,2020-04-06,0.0000,6.8800,5.9450,5.9700,1.0000,3942331
5.6200,5.6200,2020-04-03,0.0000,6.8900,5.4250,6.7100,1.0000,3404377
6.8400,6.8400,2020-04-02,0.0000,7.0400,6.4000,6.5600,1.0000,3280044
6.4600,6.4600,2020-04-01,0.0000,6.7500,6.1700,6.7500,1.0000,2088643
7.1100,7.1100,2020-03-31,0.0000,7.2200,6.5800,6.6900,1.0000,3023016
6.6700,6.6700,2020-03-30,0.0000,6.7500,6.0400,6.6000,1.0000,2395686
6.6200,6.6200,2020-03-27,0.0000,6.8200,6.1200,6.5400,1.0000,2781781
6.7900,6.7900,2020-03-26,0.0000,7.0950,6.5100,6.9300,1.0000,2299358
6.7800,6.7800,2020-03-25,0.0000,7.2800,6.6600,6.8800,1.0000,4119925
6.6100,6.6100,2020-03-24,0.0000,6.8750,5.6900,5.8900,1.0000,3993282
5.5000,5.5000,2020-03-23,0.0000,5.7700,5.1300,5.5600,1.0000,4621301
5.6700,5.6700,2020-03-20,0.0000,5.8500,4.9600,5.2600,1.0000,6617375
5.1900,5.1900,2020-03-19,0.0000,5.3800,4.3050,4.6200,1.0000,4249848
4.6400,4.6400,2020-03-18,0.0000,5.8000,4.5000,5.2000,1.0000,2980127
5.5400,5.5400,2020-03-17,0.0000,6.2300,5.2500,6.1500,1.0000,3399618
6.0700,6.0700,2020-03-16,0.0000,6.8700,6.0300,6.6100,1.0000,3793069
7.4900,7.4900,2020-03-13,0.0000,7.5250,6.4150,6.8400,1.0000,7179556
6.3800,6.3800,2020-03-12,0.0000,6.5000,5.2450,5.2900,1.0000,6317148
5.8000,5.8000,2020-03-11,0.0000,6.4500,5.7200,6.4500,1.0000,4405474
6.4900,6.4900,2020-03-10,0.0000,7.5000,6.1050,7.2500,1.0000,5572621
6.8500,6.8500,2020-03-09,0.0000,8.4600,6.8200,8.4600,1.0000,3455198
9.3200,9.3200,2020-03-06,0.0000,9.9300,9.1500,9.6300,1.0000,3207668
10.0800,10.0800,2020-03-05,0.0000,10.6500,9.9600,10.5900,1.0000,2000730
10.9600,10.9600,2020-03-04,0.0000,11.0150,10.5550,10.9300,1.0000,1310499
10.6300,10.6300,2020-03-03,0.0000,11.1800,10.4250,10.7400,1.0000,2418996
10.7200,10.7200,2020-03-02,0.0000,10.9100,10.3400,10.9000,1.0000,2167633
10.8000,10.8000,2020-02-28,0.0000,11.1150,10.6550,10.9300,1.0000,3846365
11.4100,11.4100,2020-02-27,0.0500,12.0700,11.1400,11.1400,1.0000,2352629
12.0472,12.1000,2020-02-26,0.0000,12.3850,11.6900,12.2800,1.0000,2394357
12.3359,12.3900,2020-02-25,0.0000,13.3931,12.2900,13.3600,1.0000,2460455
13.2718,13.3300,2020-02-24,0.0000,13.5200,12.9850,13.2200,1.0000,2100951
13.6701,13.7300,2020-02-21,0.0000,13.8700,12.8500,12.9600,1.0000,4012850
12.9333,12.9900,2020-02-20,0.0000,13.4400,12.8900,13.2500,1.0000,2716281
13.2320,13.2900,2020-02-19,0.0000,13.6100,13.2200,13.4500,1.0000,946906
13.3216,13.3800,2020-02-18,0.0000,13.5600,13.2150,13.4200,1.0000,525698
13.4411,13.5000,2020-02-14,0.0000,13.5500,13.3500,13.4600,1.0000,1268690
13.3714,13.4300,2020-02-13,0.0000,13.5700,13.1500,13.4700,1.0000,731684
13.4809,13.5400,2020-02-12,0.0000,13.7500,13.5200,13.5900,1.0000,1680199
13.3814,13.4400,2020-02-11,0.0000,13.5500,13.3500,13.3600,1.0000,1442199
13.2221,13.2800,2020-02-10,0.0000,13.8500,13.2300,13.5000,1.0000,2330481
13.4311,13.4900,2020-02-07,0.0000,14.1100,13.4150,14.0100,1.0000,2122937
14.1679,14.2300,2020-02-06,0.0000,15.0200,14.2300,14.8900,1.0000,2304423
14.7952,14.8600,2020-02-05,0.0000,15.6400,13.8000,13.8000,1.0000,5840922
13.3415,13.4000,2020-02-04,0.0000,13.5200,13.0400,13.1900,1.0000,2161783
12.9134,12.9700,2020-02-03,0.0000,13.0700,12.5300,12.6800,1.0000,1562429
12.5649,12.6200,2020-01-31,0.0000,12.7100,12.2800,12.4400,1.0000,2835070
12.4654,12.5200,2020-01-30,0.0000,12.5450,12.2450,12.3700,1.0000,1602652
12.4554,12.5100,2020-01-29,0.0000,12.6500,12.2500,12.5700,1.0000,1904403
12.5052,12.5600,2020-01-28,0.0000,12.7050,12.2200,12.3800,1.0000,1937498
12.2662,12.3200,2020-01-27,0.0000,12.3900,12.1200,12.2300,1.0000,1347935
12.4654,12.5200,2020-01-24,0.0000,12.6200,12.3200,12.6100,1.0000,2100286
12.5649,12.6200,2020-01-23,0.0000,12.6900,12.1500,12.4800,1.0000,1272112
12.5948,12.6500,2020-01-22,0.0000,12.8500,12.6200,12.8200,1.0000,1808574
12.6147,12.6700,2020-01-21,0.0000,12.9600,12.4600,12.9100,1.0000,2482065
12.8935,12.9500,2020-01-17,0.0000,13.4500,12.8800,13.3600,1.0000,3314282
13.2221,13.2800,2020-01-16,0.0000,14.2000,13.1900,13.9000,1.0000,3790629
