adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0800,0.0800,2020-05-12,0.0000,0.0850,0.0800,0.0820,1.0000,41001
0.0850,0.0850,2020-05-11,0.0000,0.0900,0.0850,0.0850,1.0000,33197
0.0948,0.0948,2020-05-08,0.0000,0.0950,0.0900,0.0950,1.0000,69700
0.0948,0.0948,2020-05-07,0.0000,0.0948,0.0800,0.0802,1.0000,55013
0.0900,0.0900,2020-05-06,0.0000,0.0998,0.0800,0.0998,1.0000,10660
0.1000,0.1000,2020-05-05,0.0000,0.1000,0.0950,0.0950,1.0000,15000
0.0850,0.0850,2020-05-04,0.0000,0.0900,0.0825,0.0900,1.0000,30300
0.0899,0.0899,2020-05-01,0.0000,0.0899,0.0750,0.0750,1.0000,963
0.0800,0.0800,2020-04-30,0.0000,0.0800,0.0800,0.0800,1.0000,17000
0.0800,0.0800,2020-04-29,0.0000,0.0900,0.0800,0.0800,1.0000,11360
0.0948,0.0948,2020-04-28,0.0000,0.0948,0.0800,0.0850,1.0000,20300
0.0800,0.0800,2020-04-27,0.0000,0.0800,0.0800,0.0800,1.0000,2501
0.0949,0.0949,2020-04-24,0.0000,0.0949,0.0875,0.0875,1.0000,300
0.0900,0.0900,2020-04-23,0.0000,0.0949,0.0900,0.0949,1.0000,14151
0.0900,0.0900,2020-04-22,0.0000,0.0950,0.0700,0.0700,1.0000,37880
0.0675,0.0675,2020-04-21,0.0000,0.0700,0.0555,0.0555,1.0000,35620
0.0560,0.0560,2020-04-20,0.0000,0.0800,0.0550,0.0800,1.0000,208314
0.0998,0.0998,2020-04-17,0.0000,0.1000,0.0600,0.0910,1.0000,62457
0.1000,0.1000,2020-04-15,0.0000,0.1000,0.0900,0.0900,1.0000,30365
0.0998,0.0998,2020-04-14,0.0000,0.0998,0.0950,0.0950,1.0000,650
0.1000,0.1000,2020-04-13,0.0000,0.1000,0.0900,0.1000,1.0000,24166
0.0900,0.0900,2020-04-09,0.0000,0.0950,0.0635,0.0635,1.0000,73950
0.0928,0.0928,2020-04-08,0.0000,0.0928,0.0890,0.0890,1.0000,214
0.0850,0.0850,2020-04-07,0.0000,0.0930,0.0850,0.0930,1.0000,5000
0.0810,0.0810,2020-04-06,0.0000,0.0930,0.0810,0.0930,1.0000,18984
0.0790,0.0790,2020-04-03,0.0000,0.0790,0.0790,0.0790,1.0000,100
0.0790,0.0790,2020-04-02,0.0000,0.0803,0.0676,0.0700,1.0000,16206
0.0898,0.0898,2020-04-01,0.0000,0.0898,0.0800,0.0850,1.0000,6400
0.0898,0.0898,2020-03-31,0.0000,0.0898,0.0898,0.0898,1.0000,6
0.0898,0.0898,2020-03-30,0.0000,0.0898,0.0700,0.0700,1.0000,1000
0.0948,0.0948,2020-03-27,0.0000,0.0948,0.0948,0.0948,1.0000,107
0.0800,0.0800,2020-03-26,0.0000,0.0800,0.0800,0.0800,1.0000,883
0.0950,0.0950,2020-03-25,0.0000,0.0950,0.0950,0.0950,1.0000,3000
0.0700,0.0700,2020-03-24,0.0000,0.0710,0.0650,0.0710,1.0000,29651
0.0720,0.0720,2020-03-23,0.0000,0.0999,0.0710,0.0710,1.0000,8599
0.0810,0.0810,2020-03-20,0.0000,0.0905,0.0810,0.0905,1.0000,16100
0.0810,0.0810,2020-03-19,0.0000,0.0905,0.0810,0.0818,1.0000,13468
0.0825,0.0825,2020-03-18,0.0000,0.0850,0.0810,0.0810,1.0000,28199
0.1000,0.1000,2020-03-17,0.0000,0.1000,0.0810,0.0810,1.0000,12695
0.0880,0.0880,2020-03-16,0.0000,0.1000,0.0810,0.1000,1.0000,7663
0.1000,0.1000,2020-03-13,0.0000,0.1000,0.0905,0.0905,1.0000,1000
0.0852,0.0852,2020-03-12,0.0000,0.1090,0.0850,0.1090,1.0000,18050
0.1090,0.1090,2020-03-11,0.0000,0.1090,0.0810,0.0810,1.0000,3888
0.1000,0.1000,2020-03-10,0.0000,0.1050,0.0850,0.1050,1.0000,79480
