adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
1.9900,1.9900,2020-05-12,0.0000,1.9900,1.9100,1.9100,1.0000,1361
1.9900,1.9900,2020-05-11,0.0000,2.0555,1.9200,1.9600,1.0000,1691
2.0300,2.0300,2020-05-08,0.0000,2.0590,1.9310,1.9310,1.0000,1355
2.0400,2.0400,2020-05-07,0.0000,2.1800,1.9200,2.1800,1.0000,1573
2.1500,2.1500,2020-05-06,0.0000,2.3800,1.9900,1.9900,1.0000,19404
2.0000,2.0000,2020-05-05,0.0000,2.0000,1.8600,2.0000,1.0000,6517
1.9940,1.9940,2020-05-04,0.0000,2.0650,1.9902,2.0650,1.0000,5466
2.0000,2.0000,2020-05-01,0.0000,2.0000,1.9585,1.9585,1.0000,26565
1.9345,1.9345,2020-04-30,0.0000,1.9345,1.8800,1.8800,1.0000,4999
1.9300,1.9300,2020-04-29,0.0000,2.0011,1.8800,2.0000,1.0000,2560
1.9700,1.9700,2020-04-28,0.0000,2.0100,1.9250,2.0100,1.0000,2044
2.0000,2.0000,2020-04-27,0.0000,2.0200,1.9500,1.9500,1.0000,3584
1.9250,1.9250,2020-04-24,0.0000,1.9481,1.8600,1.8600,1.0000,509
1.9261,1.9261,2020-04-23,0.0000,1.9261,1.9261,1.9261,1.0000,97
1.9261,1.9261,2020-04-22,0.0000,2.0900,1.9261,1.9800,1.0000,10460
1.9491,1.9491,2020-04-21,0.0000,2.0700,1.9491,2.0700,1.0000,1365
1.9900,1.9900,2020-04-20,0.0000,1.9900,1.9800,1.9800,1.0000,1227
1.9873,1.9873,2020-04-17,0.0000,2.0000,1.7300,1.7800,1.0000,7037
2.0500,2.0500,2020-04-16,0.0000,2.1000,2.0500,2.0500,1.0000,1228
1.9600,1.9600,2020-04-15,0.0000,1.9700,1.9127,1.9700,1.0000,3859
1.9400,1.9400,2020-04-14,0.0000,1.9900,1.8000,1.8000,1.0000,2515
1.9250,1.9250,2020-04-13,0.0000,1.9900,1.9250,1.9900,1.0000,4133
1.8987,1.8987,2020-04-09,0.0000,1.9500,1.8700,1.9500,1.0000,593
1.8501,1.8501,2020-04-08,0.0000,1.9500,1.8500,1.9403,1.0000,9956
1.9600,1.9600,2020-04-07,0.0000,1.9600,1.6197,1.7400,1.0000,6526
2.0020,2.0020,2020-04-06,0.0000,2.0020,2.0020,2.0020,1.0000,311
2.0020,2.0020,2020-04-03,0.0000,2.0020,1.7600,1.7600,1.0000,957
2.0200,2.0200,2020-04-02,0.0000,2.1503,2.0200,2.0400,1.0000,1827
2.0400,2.0400,2020-04-01,0.0000,2.3000,1.9687,2.3000,1.0000,4893
2.1701,2.1701,2020-03-31,0.0000,2.3024,2.0500,2.3024,1.0000,3565
2.1100,2.1100,2020-03-30,0.0000,2.4500,2.1000,2.2369,1.0000,12674
2.1963,2.1963,2020-03-27,0.0000,2.1963,2.1963,2.1963,1.0000,496
2.1100,2.1100,2020-03-26,0.0000,2.3100,1.9243,1.9243,1.0000,4505
2.0500,2.0500,2020-03-25,0.0000,2.3800,2.0500,2.0511,1.0000,12615
2.0101,2.0101,2020-03-24,0.0000,2.2600,1.6700,2.2600,1.0000,4158
1.9600,1.9600,2020-03-23,0.0000,1.9700,1.8835,1.8866,1.0000,7179
1.8101,1.8101,2020-03-20,0.0000,1.9800,1.7100,1.7600,1.0000,23938
1.7619,1.7619,2020-03-19,0.0000,1.8098,1.7516,1.8098,1.0000,671
1.7100,1.7100,2020-03-18,0.0000,1.7100,1.7100,1.7100,1.0000,601
1.7990,1.7990,2020-03-17,0.0000,1.8200,1.6630,1.8200,1.0000,5083
1.8200,1.8200,2020-03-16,0.0000,1.9100,1.5000,1.5000,1.0000,25980
1.6400,1.6400,2020-03-13,0.0000,1.8642,1.6200,1.7300,1.0000,10277
1.7200,1.7200,2020-03-12,0.0000,1.9800,1.7200,1.9800,1.0000,20748
2.0000,2.0000,2020-03-11,0.0000,2.1680,2.0000,2.0000,1.0000,4519
2.0000,2.0000,2020-03-10,0.0000,2.3200,2.0000,2.3200,1.0000,25231
2.0300,2.0300,2020-03-09,0.0000,2.6500,1.9800,2.3100,1.0000,32566
