adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
32.7400,32.7400,2020-05-12,0.0000,34.7600,32.6900,34.7500,1.0000,495483
34.5800,34.5800,2020-05-11,0.0000,35.9300,34.5700,35.7000,1.0000,770986
36.6050,36.6050,2020-05-08,0.0000,36.7100,34.6400,34.7200,1.0000,730964
33.9000,33.9000,2020-05-07,0.0000,34.8800,33.6000,34.1000,1.0000,324375
33.5200,33.5200,2020-05-06,0.0000,34.1900,33.0500,33.2900,1.0000,379043
32.6900,32.6900,2020-05-05,0.0000,34.0000,32.4550,33.4600,1.0000,246371
32.8400,32.8400,2020-05-04,0.0000,33.1000,31.7400,33.0000,1.0000,411709
32.6600,32.6600,2020-05-01,0.0000,33.9100,31.2950,33.9100,1.0000,872563
35.1100,35.1100,2020-04-30,0.0000,35.8800,34.7400,35.5100,1.0000,421028
36.7300,36.7300,2020-04-29,0.0000,37.5900,35.1200,35.8200,1.0000,420132
34.3200,34.3200,2020-04-28,0.0000,35.6600,33.5200,35.2500,1.0000,440928
33.5700,33.5700,2020-04-27,0.0000,34.0600,32.2900,32.5800,1.0000,386937
32.1400,32.1400,2020-04-24,0.0000,32.4200,31.2150,31.6500,1.0000,183407
31.5200,31.5200,2020-04-23,0.0000,32.5970,31.3000,31.5800,1.0000,235712
31.5700,31.5700,2020-04-22,0.0000,32.0200,30.1500,31.1400,1.0000,310773
30.4600,30.4600,2020-04-21,0.0000,31.5800,29.0300,30.4900,1.0000,584951
31.4800,31.4800,2020-04-20,0.0000,31.8300,30.0400,30.2400,1.0000,358258
31.0400,31.0400,2020-04-17,0.0000,32.5200,30.5300,31.5100,1.0000,413561
30.5600,30.5600,2020-04-16,0.0000,30.6500,29.2000,29.7500,1.0000,428636
29.8200,29.8200,2020-04-15,0.0000,30.7800,29.4300,29.8100,1.0000,585562
31.2200,31.2200,2020-04-14,0.0000,31.7800,30.3000,31.7800,1.0000,336795
29.9100,29.9100,2020-04-13,0.0000,31.8000,29.6300,31.8000,1.0000,354689
31.6700,31.6700,2020-04-09,0.0000,32.7000,30.9700,31.1200,1.0000,479951
30.1600,30.1600,2020-04-08,0.0000,30.5900,28.2900,29.0300,1.0000,608756
28.6200,28.6200,2020-04-07,0.0000,29.6750,28.0000,28.5900,1.0000,374826
27.7700,27.7700,2020-04-06,0.0000,27.9900,26.7400,26.7700,1.0000,676653
25.9800,25.9800,2020-04-03,0.0000,29.0500,25.6100,27.9800,1.0000,565952
28.3500,28.3500,2020-04-02,0.0000,29.4800,27.2400,27.4100,1.0000,390293
27.7300,27.7300,2020-04-01,0.0000,30.8100,27.4300,29.8900,1.0000,494937
