adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
87.2100,87.2100,2020-05-12,0.0000,91.8600,86.9600,91.3400,1.0000,878244
91.6900,91.6900,2020-05-11,0.0000,92.3200,89.4600,89.7400,1.0000,712498
90.5400,90.5400,2020-05-08,0.0000,91.9900,89.3500,91.9900,1.0000,407523
90.3300,90.3300,2020-05-07,0.0000,91.0500,87.9500,88.2100,1.0000,545914
86.9800,86.9800,2020-05-06,0.0000,88.4700,86.4500,87.5000,1.0000,197042
87.0600,87.0600,2020-05-05,0.0000,89.6300,86.6900,88.2200,1.0000,292486
86.6400,86.6400,2020-05-04,0.0000,88.8305,85.4500,86.2800,1.0000,510771
87.3600,87.3600,2020-05-01,0.0000,92.9800,85.9200,91.6600,1.0000,771331
96.5000,96.5000,2020-04-30,0.0000,99.9700,95.5200,97.4400,1.0000,443757
98.7000,98.7000,2020-04-29,0.0000,99.4500,90.7000,92.1400,1.0000,593092
90.2000,90.2000,2020-04-28,0.0000,91.3800,88.8800,90.5900,1.0000,388841
89.3900,89.3900,2020-04-27,0.0000,90.2400,87.5100,87.9700,1.0000,495630
87.7100,87.7100,2020-04-24,0.0000,89.6800,86.6600,89.6800,1.0000,532269
88.3200,88.3200,2020-04-23,0.0000,92.1100,88.2400,91.2400,1.0000,474800
90.4600,90.4600,2020-04-22,0.0000,91.6600,88.4800,89.5700,1.0000,228155
88.0700,88.0700,2020-04-21,0.0000,89.6000,86.5900,88.0400,1.0000,275365
89.2400,89.2400,2020-04-20,0.0000,91.2600,88.1200,88.9200,1.0000,371662
89.7000,89.7000,2020-04-17,0.0000,90.1400,87.5000,87.9000,1.0000,305959
85.3900,85.3900,2020-04-16,0.0000,86.4100,83.7000,83.7000,1.0000,476989
84.0000,84.0000,2020-04-15,0.0000,86.3800,83.7300,85.7200,1.0000,497018
87.9300,87.9300,2020-04-14,0.0000,88.2500,85.4600,85.9800,1.0000,394556
83.8900,83.8900,2020-04-13,0.0000,88.7800,83.5200,88.7800,1.0000,385763
89.1300,89.1300,2020-04-09,0.0000,89.8800,85.3800,85.9700,1.0000,374254
84.4100,84.4100,2020-04-08,0.0000,85.0500,79.1500,81.1900,1.0000,558983
81.1500,81.1500,2020-04-07,0.0000,84.0200,79.7200,82.3900,1.0000,461663
79.1200,79.1200,2020-04-06,0.0000,80.8700,75.8800,76.2700,1.0000,748483
72.9600,72.9600,2020-04-03,0.0000,77.3600,71.4600,75.2300,1.0000,716403
76.2500,76.2500,2020-04-02,0.0000,78.2550,73.0400,75.5100,1.0000,407440
76.2500,76.2500,2020-04-01,0.0000,81.9200,75.5400,79.6600,1.0000,346370
83.0400,83.0400,2020-03-31,0.0000,84.9800,81.0750,83.0000,1.0000,489027
83.4600,83.4600,2020-03-30,0.0000,84.4200,77.8000,78.8100,1.0000,339309
78.5100,78.5100,2020-03-27,0.0000,80.9200,74.2500,77.0500,1.0000,476062
79.8700,79.8700,2020-03-26,0.0000,81.7100,74.9600,74.9600,1.0000,595083
74.1900,74.1900,2020-03-25,0.0000,78.2700,70.6050,71.0100,1.0000,494978
71.6300,71.6300,2020-03-24,0.0000,73.4700,67.6800,67.9700,1.0000,658752
64.1400,64.1400,2020-03-23,0.0000,68.5800,58.6700,68.5800,1.0000,589786
67.5700,67.5700,2020-03-20,0.0000,71.9900,66.3150,67.9700,1.0000,956966
66.9600,66.9600,2020-03-19,0.0000,70.1000,63.0000,68.5900,1.0000,658168
68.9500,68.9500,2020-03-18,0.0000,76.8100,67.0000,74.4900,1.0000,1085380
79.7700,79.7700,2020-03-17,0.0000,80.2100,66.2001,70.0200,1.0000,830290
68.9600,68.9600,2020-03-16,0.0000,80.8200,68.5150,80.7400,1.0000,511134
