adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
13.5300,13.5300,2020-05-12,0.0000,14.6300,13.4300,14.4400,1.0000,498079
14.3100,14.3100,2020-05-11,0.0000,14.4200,13.3600,13.5800,1.0000,585513
13.7700,13.7700,2020-05-08,0.0000,14.2400,11.6300,12.4000,1.0000,1031596
12.0200,12.0200,2020-05-07,0.0000,12.4400,11.6000,11.9300,1.0000,321357
11.7700,11.7700,2020-05-06,0.0000,12.1900,11.5000,11.7000,1.0000,325606
11.6500,11.6500,2020-05-05,0.0000,11.9440,10.8100,10.8100,1.0000,605941
10.7200,10.7200,2020-05-04,0.0000,10.9500,10.0500,10.6500,1.0000,503743
10.7200,10.7200,2020-05-01,0.0000,11.3400,10.3000,11.1300,1.0000,498985
11.4400,11.4400,2020-04-30,0.0000,11.7900,11.0100,11.3600,1.0000,365923
11.3300,11.3300,2020-04-29,0.0000,11.9800,11.2500,11.9100,1.0000,430199
11.5700,11.5700,2020-04-28,0.0000,11.9500,10.8000,11.9400,1.0000,663056
11.7200,11.7200,2020-04-27,0.0000,12.7500,11.6300,12.5100,1.0000,523906
12.0800,12.0800,2020-04-24,0.0000,12.1899,11.0100,11.2900,1.0000,507580
11.1300,11.1300,2020-04-23,0.0000,11.6194,10.8100,11.0800,1.0000,519761
10.7900,10.7900,2020-04-22,0.0000,11.5900,10.6900,11.3500,1.0000,574467
11.1000,11.1000,2020-04-21,0.0000,11.9900,10.8100,11.4400,1.0000,489472
11.4300,11.4300,2020-04-20,0.0000,12.8200,11.3301,11.7800,1.0000,662429
11.8500,11.8500,2020-04-17,0.0000,12.1700,10.3300,10.7900,1.0000,790561
10.1400,10.1400,2020-04-16,0.0000,10.5340,9.9100,10.2600,1.0000,430827
9.8500,9.8500,2020-04-15,0.0000,10.4800,9.4500,10.4800,1.0000,547325
10.6500,10.6500,2020-04-14,0.0000,10.8600,9.8600,9.9800,1.0000,498640
9.8200,9.8200,2020-04-13,0.0000,9.9500,8.7300,8.8500,1.0000,423583
8.8200,8.8200,2020-04-09,0.0000,9.6000,8.6000,8.6400,1.0000,462306
8.6500,8.6500,2020-04-08,0.0000,8.8900,8.3500,8.5400,1.0000,402755
8.3900,8.3900,2020-04-07,0.0000,9.0400,8.2900,8.7500,1.0000,495279
8.4600,8.4600,2020-04-06,0.0000,8.7200,7.9300,8.2300,1.0000,513582
7.8100,7.8100,2020-04-03,0.0000,8.0100,7.4600,8.0000,1.0000,499229
8.0100,8.0100,2020-04-02,0.0000,8.3900,7.4000,7.9400,1.0000,669238
7.9100,7.9100,2020-04-01,0.0000,9.0600,7.6500,9.0000,1.0000,798414
9.2000,9.2000,2020-03-31,0.0000,10.0000,8.6750,8.6900,1.0000,1293049
8.6500,8.6500,2020-03-30,0.0000,8.9020,8.4000,8.4800,1.0000,526336
8.3500,8.3500,2020-03-27,0.0000,8.5000,7.7300,7.7300,1.0000,422843
8.4000,8.4000,2020-03-26,0.0000,8.5000,6.9500,7.2000,1.0000,456112
