adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
40.4300,40.4300,2020-05-12,0.0000,41.7000,40.4300,41.6300,1.0000,282666
41.3800,41.3800,2020-05-11,0.0000,41.4800,40.2600,40.5500,1.0000,321282
40.9300,40.9300,2020-05-08,0.0000,41.1200,40.6800,41.0200,1.0000,324705
40.4800,40.4800,2020-05-07,0.0000,40.9600,40.3600,40.8000,1.0000,753434
40.4900,40.4900,2020-05-06,0.0000,40.9500,40.4200,40.8200,1.0000,642340
40.7500,40.7500,2020-05-05,0.0000,41.3300,40.6700,40.9200,1.0000,696497
40.5400,40.5400,2020-05-04,0.0000,41.3500,40.2100,41.0900,1.0000,808409
41.1900,41.1900,2020-05-01,0.0000,41.6100,40.9350,41.3700,1.0000,368127
41.8200,41.8200,2020-04-30,0.0000,42.4700,41.6100,42.4700,1.0000,475600
42.7300,42.7300,2020-04-29,0.0000,43.1000,42.5600,43.0800,1.0000,339953
42.2500,42.2500,2020-04-28,0.0000,42.6100,41.4600,41.7100,1.0000,608512
41.4400,41.4400,2020-04-27,0.0000,41.9400,40.8500,41.9400,1.0000,431452
41.4100,41.4100,2020-04-24,0.0000,41.5500,40.6100,40.9700,1.0000,489360
40.6900,40.6900,2020-04-23,0.0000,41.3800,40.4900,41.0100,1.0000,689306
40.9400,40.9400,2020-04-22,0.0000,41.2800,39.5600,40.4600,1.0000,1203407
40.8000,40.8000,2020-04-21,0.0000,41.7700,40.6800,41.7600,1.0000,1850047
42.5200,42.5200,2020-04-20,0.0000,43.2800,41.9200,42.5500,1.0000,466712
42.9600,42.9600,2020-04-17,0.0000,43.1000,41.9500,42.9600,1.0000,882690
41.9900,41.9900,2020-04-16,0.0000,42.7200,41.3100,42.4000,1.0000,427985
42.1100,42.1100,2020-04-15,0.0000,43.1300,42.0300,42.6200,1.0000,521091
43.5600,43.5600,2020-04-14,0.0000,44.2000,43.1300,44.1700,1.0000,526507
43.5300,43.5300,2020-04-13,0.0000,43.7700,42.6500,42.7900,1.0000,398115
43.0000,43.0000,2020-04-09,0.0000,44.1300,42.8600,43.8400,1.0000,761070
43.3700,43.3700,2020-04-08,0.0000,45.1700,43.0200,44.5900,1.0000,739704
44.9500,44.9500,2020-04-07,0.0000,45.3500,44.2700,44.5200,1.0000,837990
43.7200,43.7200,2020-04-06,0.0000,43.9400,42.0800,42.1000,1.0000,635559
41.2400,41.2400,2020-04-03,0.0000,42.2300,40.7900,41.3700,1.0000,348882
