adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
20.8400,20.8400,2020-05-11,0.0000,20.8400,20.8400,20.8400,1.0000,400
19.3780,19.3780,2020-04-06,0.0000,19.3780,19.3780,19.3780,1.0000,10000
25.0200,25.0200,2020-02-27,0.0000,25.0200,25.0200,25.0200,1.0000,27
25.0200,25.0200,2020-02-04,0.0000,25.0200,25.0200,25.0200,1.0000,20
25.0200,25.0200,2020-01-28,0.0000,25.0200,25.0200,25.0200,1.0000,35
25.0200,25.0200,2020-01-22,0.0000,25.0200,25.0200,25.0200,1.0000,40
25.0200,25.0200,2020-01-02,0.0000,25.0200,25.0200,25.0200,1.0000,1000
24.7450,24.7450,2019-12-23,0.0000,24.7450,24.7450,24.7450,1.0000,100
24.7450,24.7450,2019-11-27,0.0000,24.7450,24.7450,24.7450,1.0000,1000
25.2261,25.2261,2019-11-19,0.0000,25.2261,25.2261,25.2261,1.0000,900
25.8330,25.8330,2019-10-16,0.0000,25.8330,25.8330,25.8330,1.0000,20
25.8330,25.8330,2019-10-03,0.0000,25.8330,25.8330,25.8330,1.0000,1250
25.7486,25.7486,2019-10-02,0.0000,25.7486,25.7486,25.7486,1.0000,1200
25.6000,25.6000,2019-10-01,0.0000,25.6000,25.6000,25.6000,1.0000,950
27.7670,27.7670,2019-09-19,0.0000,27.7670,27.7670,27.7670,1.0000,20
27.7670,27.7670,2019-06-11,0.0000,27.7670,27.7670,27.7670,1.0000,800
35.1500,35.1500,2019-05-24,0.0000,35.1500,35.1500,35.1500,1.0000,60
35.1500,35.1500,2019-04-10,0.0000,35.1500,35.1500,35.1500,1.0000,4
35.1500,35.1500,2019-03-29,0.0000,35.1500,35.1500,35.1500,1.0000,15
35.1500,35.1500,2019-03-18,0.0000,35.1500,35.1500,35.1500,1.0000,60
35.1500,35.1500,2019-03-12,0.0000,35.1500,35.1500,35.1500,1.0000,100
35.1500,35.1500,2018-10-11,0.0000,35.1500,35.1500,35.1500,1.0000,3
35.1500,35.1500,2018-08-01,0.0000,35.1500,35.1500,35.1500,1.0000,1300
34.6400,34.6400,2018-07-31,0.0000,34.6400,34.6400,34.6400,1.0000,500
34.7500,34.7500,2018-07-12,0.0000,34.7500,34.7500,34.7500,1.0000,100
32.4500,32.4500,2018-07-03,0.0000,32.4500,32.4500,32.4500,1.0000,100
29.6000,29.6000,2018-04-30,0.0000,29.6000,29.6000,29.6000,1.0000,100
30.6800,30.6800,2018-04-24,0.0000,30.6800,30.6800,30.6800,1.0000,10
30.6800,30.6800,2018-03-29,0.0000,30.6800,30.6800,30.6800,1.0000,50
30.6800,30.6800,2018-03-23,0.0000,30.6800,30.6800,30.6800,1.0000,100
31.8900,31.8900,2018-03-19,0.0000,31.8900,31.8900,31.8900,1.0000,150
30.8000,30.8000,2018-03-12,0.0000,30.8000,30.8000,30.8000,1.0000,37
30.8000,30.8000,2018-03-07,0.0000,30.8000,30.8000,30.8000,1.0000,720
30.5000,30.5000,2018-03-06,0.0000,30.5000,30.5000,30.5000,1.0000,667
27.6425,27.6425,2018-02-07,0.0000,27.6425,27.6425,27.6425,1.0000,720
30.5000,30.5000,2018-01-26,0.0000,30.5000,30.5000,30.5000,1.0000,100
24.7800,24.7800,2018-01-11,0.0000,24.7800,24.7800,24.7800,1.0000,204
24.7800,24.7800,2017-12-04,0.0000,24.7800,24.7800,24.7800,1.0000,500
24.2000,24.2000,2017-12-01,0.0000,24.2000,24.2000,24.2000,1.0000,204
24.2000,24.2000,2017-11-17,0.0000,24.2000,24.2000,24.2000,1.0000,600
25.0296,25.0296,2017-10-27,0.0000,25.0296,25.0296,25.0296,1.0000,1
25.0296,25.0296,2017-10-20,0.0000,25.0296,25.0296,25.0296,1.0000,515
25.2500,25.2500,2017-10-04,0.0000,25.2500,25.2500,25.2500,1.0000,667
