adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
4.3000,4.3000,2020-05-12,0.0000,4.6600,4.1100,4.2300,1.0000,2685505
4.1900,4.1900,2020-05-11,0.0000,4.5200,4.1000,4.5200,1.0000,3661998
4.5800,4.5800,2020-05-08,0.0000,4.5800,4.2200,4.2600,1.0000,4343120
4.1600,4.1600,2020-05-07,0.0000,4.5500,3.9400,4.1000,1.0000,8258011
3.7300,3.7300,2020-05-06,0.0000,4.0500,3.6550,3.9500,1.0000,3337258
3.9600,3.9600,2020-05-05,0.0000,4.2599,3.9000,4.2500,1.0000,3650695
4.0400,4.0400,2020-05-04,0.0000,4.1200,3.7700,3.8800,1.0000,2550929
4.0400,4.0400,2020-05-01,0.0000,4.3800,3.9450,4.0400,1.0000,4374055
4.3400,4.3400,2020-04-30,0.0000,4.5200,4.1803,4.5000,1.0000,4761463
4.6000,4.6000,2020-04-29,0.0000,5.2200,4.5100,4.7300,1.0000,6285580
4.3000,4.3000,2020-04-28,0.0000,4.7400,3.7700,3.7700,1.0000,5956852
3.6300,3.6300,2020-04-27,0.0000,4.0200,3.4300,3.4500,1.0000,4846746
3.4400,3.4400,2020-04-24,0.0000,3.5200,3.2900,3.3900,1.0000,1068724
3.3600,3.3600,2020-04-23,0.0000,3.7200,3.3400,3.4900,1.0000,1943282
3.4100,3.4100,2020-04-22,0.0000,3.5700,3.3200,3.4100,1.0000,1628649
3.3400,3.3400,2020-04-21,0.0000,3.4900,3.2400,3.3200,1.0000,7761514
3.5000,3.5000,2020-04-20,0.0000,3.7201,3.4100,3.5200,1.0000,1704820
3.6400,3.6400,2020-04-17,0.0000,3.8300,3.4000,3.6200,1.0000,2162488
3.3300,3.3300,2020-04-16,0.0000,3.7242,3.2600,3.6100,1.0000,2359565
3.6000,3.6000,2020-04-15,0.0000,3.7400,3.3500,3.5300,1.0000,2238154
3.7600,3.7600,2020-04-14,0.0000,4.1301,3.6200,3.9900,1.0000,3588641
3.7900,3.7900,2020-04-13,0.0000,3.8100,3.2300,3.5700,1.0000,3295426
3.5700,3.5700,2020-04-09,0.0000,3.7400,3.0500,3.1300,1.0000,7247505
2.9600,2.9600,2020-04-08,0.0000,3.2750,2.8000,2.9300,1.0000,5341957
3.0100,3.0100,2020-04-07,0.0000,3.5100,2.9700,3.1400,1.0000,7362616
2.8500,2.8500,2020-04-06,0.0000,2.9300,2.4800,2.4900,1.0000,3567750
2.3600,2.3600,2020-04-03,0.0000,2.7000,2.2500,2.6100,1.0000,3865960
2.6200,2.6200,2020-04-02,0.0000,2.9500,2.5800,2.8700,1.0000,1908121
2.7000,2.7000,2020-04-01,0.0000,2.8600,2.6900,2.8000,1.0000,1504265
3.0100,3.0100,2020-03-31,0.0000,3.2000,2.8000,3.1100,1.0000,3595453
3.1100,3.1100,2020-03-30,0.0000,3.3200,3.0700,3.3200,1.0000,1516693
3.2600,3.2600,2020-03-27,0.0000,3.4000,3.1700,3.4000,1.0000,1716296
3.5300,3.5300,2020-03-26,0.0000,3.7176,3.2300,3.4600,1.0000,4239165
3.4100,3.4100,2020-03-25,0.0000,3.7000,3.2200,3.7000,1.0000,3395884
3.4400,3.4400,2020-03-24,0.0000,3.6682,3.1800,3.3000,1.0000,4191946
3.0000,3.0000,2020-03-23,0.0000,3.1300,2.4001,2.8400,1.0000,5632930
2.7800,2.7800,2020-03-20,0.0000,3.8050,2.7400,3.1400,1.0000,5265439
3.0300,3.0300,2020-03-19,0.0000,3.0600,2.1000,2.4000,1.0000,9517700
2.2900,2.2900,2020-03-18,0.0000,3.3000,2.0900,3.2800,1.0000,7784335
3.5400,3.5400,2020-03-17,0.0000,4.1200,3.3700,4.0900,1.0000,9130391
3.9600,3.9600,2020-03-16,0.0000,4.9800,3.9500,4.8200,1.0000,4184050
5.5100,5.5100,2020-03-13,0.0000,6.0100,5.0700,5.9900,1.0000,3003052
5.5100,5.5100,2020-03-12,0.0000,5.9100,4.8000,5.5000,1.0000,2885462
5.9800,5.9800,2020-03-11,0.0000,6.6380,5.8400,6.6000,1.0000,2387568
6.8900,6.8900,2020-03-10,0.0000,7.2600,6.5800,7.1600,1.0000,2633000
6.6700,6.6700,2020-03-09,0.0000,7.1700,6.6650,7.0000,1.0000,2059021
7.6700,7.6700,2020-03-06,0.0000,8.3500,7.4300,8.3500,1.0000,3862881
8.3500,8.3500,2020-03-05,0.0000,8.8900,8.2400,8.7100,1.0000,2791142
8.9900,8.9900,2020-03-04,0.0000,9.1312,8.6400,8.8400,1.0000,2801979
8.3800,8.3800,2020-03-03,0.0000,9.4400,8.3200,9.0100,1.0000,3564912
9.0100,9.0100,2020-03-02,0.0000,9.2900,8.7250,9.1000,1.0000,3726326
9.2700,9.2700,2020-02-28,0.0000,9.6400,9.1500,9.3900,1.0000,4001641
9.7000,9.7000,2020-02-27,0.0000,11.0300,9.6900,11.0300,1.0000,5066754
11.5600,11.5600,2020-02-26,0.0000,13.1700,11.4600,13.1700,1.0000,5689099
13.0400,13.0400,2020-02-25,0.0000,13.8800,11.3500,13.1500,1.0000,5891797
12.8800,12.8800,2020-02-24,0.0000,12.8900,12.4450,12.6100,1.0000,2727650
13.1100,13.1100,2020-02-21,0.0000,13.2000,12.8000,13.0300,1.0000,4477180
13.0800,13.0800,2020-02-20,0.0000,13.3107,12.8002,12.8800,1.0000,1469710
12.8800,12.8800,2020-02-19,0.0000,13.0800,12.6200,12.6200,1.0000,2254128
12.5800,12.5800,2020-02-18,0.0000,12.9500,12.2100,12.6600,1.0000,1915683
12.6800,12.6800,2020-02-14,0.0000,12.9100,12.6100,12.7400,1.0000,979961
12.7300,12.7300,2020-02-13,0.0000,12.9200,12.3200,12.3200,1.0000,3068288
12.3700,12.3700,2020-02-12,0.0000,12.4700,12.2600,12.4000,1.0000,865806
12.3000,12.3000,2020-02-11,0.0000,12.4804,12.2500,12.4500,1.0000,926295
12.3300,12.3300,2020-02-10,0.0000,12.6000,12.1900,12.5700,1.0000,2018344
12.5300,12.5300,2020-02-07,0.0000,12.5900,12.0000,12.0600,1.0000,3705189
12.1100,12.1100,2020-02-06,0.0000,12.1350,11.5300,11.6400,1.0000,3270492
11.6000,11.6000,2020-02-05,0.0000,11.6100,11.0300,11.3000,1.0000,2712214
11.2000,11.2000,2020-02-04,0.0000,11.3250,10.9700,11.2300,1.0000,2036844
11.0600,11.0600,2020-02-03,0.0000,11.0700,10.5000,10.6100,1.0000,2028839
10.5900,10.5900,2020-01-31,0.0000,10.6900,10.2400,10.4000,1.0000,2294761
10.4700,10.4700,2020-01-30,0.0000,10.6400,10.2200,10.3900,1.0000,1206700
10.5200,10.5200,2020-01-29,0.0000,10.6000,10.3500,10.4400,1.0000,929713
10.3700,10.3700,2020-01-28,0.0000,10.3900,10.0400,10.1300,1.0000,1777018
10.0800,10.0800,2020-01-27,0.0000,10.3400,9.9800,10.1200,1.0000,1057164
10.2700,10.2700,2020-01-24,0.0000,10.3900,10.0900,10.3500,1.0000,1009193
10.3500,10.3500,2020-01-23,0.0000,10.3800,10.0500,10.1700,1.0000,1637117
10.2100,10.2100,2020-01-22,0.0000,10.3600,10.0899,10.1700,1.0000,1714778
10.1200,10.1200,2020-01-21,0.0000,10.3550,9.9700,10.0000,1.0000,1453332
10.0000,10.0000,2020-01-17,0.0000,10.0800,9.8600,10.0000,1.0000,4437136
9.8800,9.8800,2020-01-16,0.0000,10.1600,9.6600,9.6600,1.0000,2592077
9.5700,9.5700,2020-01-15,0.0000,9.8114,9.4100,9.4100,1.0000,1540538
9.4500,9.4500,2020-01-14,0.0000,9.6750,9.1900,9.2700,1.0000,2242742
9.3400,9.3400,2020-01-13,0.0000,9.3600,8.9600,9.1200,1.0000,2339474
9.1300,9.1300,2020-01-10,0.0000,9.4100,9.0600,9.2900,1.0000,1423505
9.3000,9.3000,2020-01-09,0.0000,9.3900,8.9100,9.0800,1.0000,2209232
9.0300,9.0300,2020-01-08,0.0000,9.2200,8.9500,9.1400,1.0000,1061584
