adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
18.2700,18.2700,2016-07-14,0.0000,18.2700,18.2700,18.2700,1.0000,0
18.2700,18.2700,2016-07-13,0.0000,18.2700,18.2700,18.2700,1.0000,0
18.2700,18.2700,2016-07-12,0.0000,18.2700,18.2700,18.2700,1.0000,0
18.2700,18.2700,2016-07-11,0.0000,18.2700,18.2700,18.2700,1.0000,0
18.2700,18.2700,2016-07-08,0.0000,18.2700,18.2700,18.2700,1.0000,0
18.2700,18.2700,2016-07-07,0.0000,18.2700,18.2700,18.2700,1.0000,0
18.2700,18.2700,2016-07-06,0.0000,18.2700,18.2700,18.2700,1.0000,0
18.2700,18.2700,2016-07-05,0.0000,18.2700,18.2400,18.2600,1.0000,1320611
18.2800,18.2800,2016-07-01,0.0000,18.3100,18.2500,18.2700,1.0000,236816
18.2500,18.2500,2016-06-30,0.0000,18.2800,18.2300,18.2500,1.0000,715805
18.2500,18.2500,2016-06-29,0.0000,18.2600,18.2400,18.2600,1.0000,179009
18.2400,18.2400,2016-06-28,0.0000,18.2600,18.2300,18.2400,1.0000,699296
18.2500,18.2500,2016-06-27,0.0000,18.2600,18.2200,18.2200,1.0000,251295
18.2400,18.2400,2016-06-24,0.0000,18.3500,18.2100,18.2400,1.0000,827898
18.2500,18.2500,2016-06-23,0.0000,18.3500,18.2400,18.3300,1.0000,434517
18.2900,18.2900,2016-06-22,0.0000,18.3100,18.2500,18.2800,1.0000,173940
18.2700,18.2700,2016-06-21,0.0000,18.3525,18.2600,18.2700,1.0000,94512
18.2500,18.2500,2016-06-20,0.0000,18.4800,18.2500,18.3600,1.0000,155122
18.3600,18.3600,2016-06-17,0.0000,18.4700,18.2900,18.4700,1.0000,304751
18.4400,18.4400,2016-06-16,0.0000,18.4800,18.3300,18.4400,1.0000,497243
18.4600,18.4600,2016-06-15,0.0000,18.6000,18.4600,18.5200,1.0000,123846
18.5500,18.5500,2016-06-14,0.0000,18.6200,18.3925,18.6000,1.0000,84353
18.6100,18.6100,2016-06-13,0.0000,18.6100,18.3900,18.3900,1.0000,240037
18.3800,18.3800,2016-06-10,0.0000,18.4100,18.3300,18.3400,1.0000,147574
18.3800,18.3800,2016-06-09,0.0000,18.4000,18.3200,18.3400,1.0000,218116
18.3600,18.3600,2016-06-08,0.0000,18.3700,18.2500,18.2700,1.0000,1618973
