adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
5.6800,5.6800,2020-05-12,0.0000,6.3645,5.5300,6.1800,1.0000,8284666
6.1100,6.1100,2020-05-11,0.0000,6.4500,6.0100,6.4200,1.0000,3622831
6.5700,6.5700,2020-05-08,0.0000,6.6700,6.2300,6.3300,1.0000,3100567
6.1800,6.1800,2020-05-07,0.0000,6.3800,5.9900,6.0100,1.0000,2295582
5.9900,5.9900,2020-05-06,0.0000,6.4900,5.7400,6.4400,1.0000,4312107
6.4500,6.4500,2020-05-05,0.0000,6.8900,6.4200,6.7500,1.0000,2381700
6.5700,6.5700,2020-05-04,0.0000,6.6300,6.0472,6.3300,1.0000,2911919
6.6600,6.6600,2020-05-01,0.0000,7.2300,6.5100,7.0800,1.0000,3499367
7.5200,7.5200,2020-04-30,0.0000,7.6000,6.8000,7.3900,1.0000,3538250
7.7500,7.7500,2020-04-29,0.3575,7.8500,7.1350,7.6000,1.0000,5954253
7.0546,7.3800,2020-04-28,0.0000,7.5300,6.8100,7.0000,1.0000,6037343
6.2516,6.5400,2020-04-27,0.0000,6.6600,5.7200,5.8400,1.0000,4437374
5.3913,5.6400,2020-04-24,0.0000,5.8000,5.3800,5.5000,1.0000,2290831
5.2384,5.4800,2020-04-23,0.0000,5.5700,5.1100,5.1900,1.0000,3013154
4.9611,5.1900,2020-04-22,0.0000,5.6600,5.1600,5.5700,1.0000,3044938
5.0759,5.3100,2020-04-21,0.0000,5.3700,5.0000,5.1000,1.0000,4488785
5.0663,5.3000,2020-04-20,0.0000,5.7000,5.1300,5.4900,1.0000,4187137
5.4487,5.7000,2020-04-17,0.0000,6.3500,5.6900,6.0200,1.0000,3980121
5.2288,5.4700,2020-04-16,0.0000,6.5100,5.3700,6.4800,1.0000,4320894
6.1274,6.4100,2020-04-15,0.0000,6.8700,6.2200,6.8700,1.0000,2557349
6.7487,7.0600,2020-04-14,0.0000,7.7700,7.0000,7.5700,1.0000,3976026
6.8921,7.2100,2020-04-13,0.0000,7.4600,6.6400,7.2600,1.0000,4186075
