adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0470,0.0470,2020-01-31,0.0000,0.0470,0.0470,0.0470,1.0000,10000
0.0550,0.0550,2019-10-23,0.0000,0.0550,0.0550,0.0550,1.0000,520
0.0800,0.0800,2019-10-16,0.0000,0.0800,0.0800,0.0800,1.0000,200
0.0900,0.0900,2019-07-26,0.0000,0.0900,0.0900,0.0900,1.0000,10000
0.0800,0.0800,2019-05-29,0.0000,0.0800,0.0800,0.0800,1.0000,3090
0.0900,0.0900,2019-05-15,0.0000,0.0900,0.0900,0.0900,1.0000,150
0.1000,0.1000,2019-05-06,0.0000,0.1000,0.0850,0.0850,1.0000,6000
0.0850,0.0850,2019-03-14,0.0000,0.0850,0.0850,0.0850,1.0000,150
0.0700,0.0700,2019-02-19,0.0000,0.0700,0.0700,0.0700,1.0000,17400
0.0700,0.0700,2019-02-12,0.0000,0.0700,0.0700,0.0700,1.0000,15000
0.1000,0.1000,2019-01-22,0.0000,0.1000,0.1000,0.1000,1.0000,5000
0.1600,0.1600,2019-01-15,0.0000,0.1600,0.1200,0.1200,1.0000,10000
0.1200,0.1200,2019-01-14,0.0000,0.1200,0.0100,0.0100,1.0000,25897
0.0400,0.0400,2019-01-03,0.0000,0.0400,0.0400,0.0400,1.0000,100
0.0015,0.0015,2017-12-19,0.0000,0.0015,0.0015,0.0015,1.0000,42667
