adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
5.8690,5.8690,2020-05-12,0.0000,5.9939,5.8690,5.9939,1.0000,2595
6.2742,6.2742,2020-05-11,0.0000,6.2742,6.2442,6.2442,1.0000,1050
6.1800,6.1800,2020-05-07,0.0000,6.2524,6.1800,6.2524,1.0000,2122
6.3000,6.3000,2020-05-06,0.0000,6.3000,6.3000,6.3000,1.0000,800
6.2601,6.2601,2020-05-05,0.0000,6.2601,6.2478,6.2478,1.0000,670
6.0838,6.0838,2020-05-04,0.0000,6.0838,6.0000,6.0000,1.0000,3243
6.2853,6.2853,2020-05-01,0.0000,6.2853,6.2853,6.2853,1.0000,40
6.2853,6.2853,2020-04-30,0.0000,6.2853,6.2853,6.2853,1.0000,400
6.2853,6.2853,2020-04-29,0.0720,6.2853,6.2853,6.2853,1.0000,5015
6.2120,6.2832,2020-04-28,0.0000,6.3238,6.2832,6.3238,1.0000,525
6.3195,6.3919,2020-04-27,0.0000,6.4061,6.3919,6.4061,1.0000,1800
6.1397,6.2100,2020-04-24,0.0000,6.2100,6.2100,6.2100,1.0000,417
6.1397,6.2100,2020-04-22,0.0000,6.2100,6.1070,6.1070,1.0000,3077
6.0289,6.0980,2020-04-21,0.0000,6.1209,6.0980,6.1209,1.0000,5463
6.1277,6.1979,2020-04-20,0.0000,6.2033,6.0947,6.0947,1.0000,1074
6.0273,6.0963,2020-04-17,0.0000,6.0963,5.7670,5.7670,1.0000,955
5.2796,5.3401,2020-04-16,0.0000,5.3577,5.2600,5.3200,1.0000,7447
4.9612,5.0180,2020-04-15,0.0000,5.0180,4.9600,4.9600,1.0000,1386
4.8940,4.9501,2020-04-14,0.0000,4.9501,4.9501,4.9501,1.0000,500
4.6406,4.6938,2020-04-13,0.0000,5.0758,4.6938,5.0686,1.0000,4562
5.2872,5.3478,2020-04-09,0.0000,5.3478,5.1926,5.3327,1.0000,56340
5.1441,5.2030,2020-04-08,0.0000,5.2030,5.2030,5.2030,1.0000,1000
4.5895,4.6421,2020-04-07,0.0000,4.7351,4.5622,4.5622,1.0000,2726
4.2932,4.3424,2020-04-06,0.0000,4.5030,4.3423,4.5030,1.0000,1654
4.1461,4.1936,2020-04-03,0.0000,4.1936,4.1936,4.1936,1.0000,1500
4.1511,4.1987,2020-04-02,0.0000,4.5000,4.1987,4.4878,1.0000,11479
4.3618,4.4118,2020-04-01,0.0000,4.6000,4.4118,4.6000,1.0000,3027
4.2513,4.3000,2020-03-31,0.0000,4.3000,4.3000,4.3000,1.0000,10000
4.2513,4.3000,2020-03-30,0.0720,4.6000,4.2500,4.6000,1.0000,6300
4.4244,4.5500,2020-03-27,0.0000,4.8186,4.5249,4.8186,1.0000,8697
