adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
2.0300,2.0300,2020-05-12,0.0000,2.0700,1.9041,1.9800,1.0000,38687
1.8200,1.8200,2020-05-11,0.0000,2.0700,1.8000,2.0512,1.0000,64511
1.9800,1.9800,2020-05-08,0.0000,2.0400,1.9100,1.9709,1.0000,52523
1.8823,1.8823,2020-05-07,0.0000,1.9708,1.8250,1.8360,1.0000,51818
1.8500,1.8500,2020-05-06,0.0000,1.9300,1.7583,1.7583,1.0000,24904
1.8400,1.8400,2020-05-05,0.0000,1.9400,1.5329,1.5329,1.0000,70340
1.5300,1.5300,2020-05-04,0.0000,1.5500,1.4700,1.4700,1.0000,30072
1.5000,1.5000,2020-05-01,0.0000,1.5400,1.4200,1.4976,1.0000,18250
1.5050,1.5050,2020-04-30,0.0000,1.5500,1.4985,1.5500,1.0000,18105
1.5500,1.5500,2020-04-29,0.0000,1.6483,1.5256,1.6150,1.0000,14347
1.6050,1.6050,2020-04-28,0.0000,1.6400,1.5314,1.5314,1.0000,16602
1.5781,1.5781,2020-04-27,0.0000,1.6700,1.5105,1.6216,1.0000,11042
1.6386,1.6386,2020-04-24,0.0000,1.7000,1.4600,1.4800,1.0000,22122
1.5500,1.5500,2020-04-23,0.0000,1.6800,1.5300,1.6000,1.0000,39030
1.5200,1.5200,2020-04-22,0.0000,1.5700,1.4100,1.4100,1.0000,36569
1.3700,1.3700,2020-04-21,0.0000,1.4200,1.3642,1.3784,1.0000,8059
1.4289,1.4289,2020-04-20,0.0000,1.4600,1.4200,1.4200,1.0000,21351
1.4400,1.4400,2020-04-17,0.0000,1.5000,1.4200,1.5000,1.0000,7435
1.5400,1.5400,2020-04-16,0.0000,1.5439,1.4230,1.5439,1.0000,17570
1.4905,1.4905,2020-04-15,0.0000,1.4905,1.3810,1.4842,1.0000,10060
1.4816,1.4816,2020-04-14,0.0000,1.6420,1.4368,1.6420,1.0000,42574
1.5732,1.5732,2020-04-13,0.0000,1.6328,1.3200,1.4197,1.0000,65545
1.4500,1.4500,2020-04-09,0.0000,1.4664,1.2400,1.2780,1.0000,56611
1.2200,1.2200,2020-04-08,0.0000,1.2200,1.1364,1.1700,1.0000,8917
1.1498,1.1498,2020-04-07,0.0000,1.2000,1.1498,1.2000,1.0000,15580
1.2260,1.2260,2020-04-06,0.0000,1.2600,1.1250,1.1399,1.0000,460561
1.0500,1.0500,2020-04-03,0.0000,1.1450,1.0300,1.1450,1.0000,18164
1.1400,1.1400,2020-04-02,0.0000,1.2002,1.0200,1.0200,1.0000,45817
1.1000,1.1000,2020-04-01,0.0000,1.2200,1.0195,1.0237,1.0000,43019
0.9905,0.9905,2020-03-31,0.0000,1.3250,0.9100,1.3250,1.0000,11038
1.0000,1.0000,2020-03-30,0.0000,1.0545,0.8931,0.9402,1.0000,21547
1.0700,1.0700,2020-03-27,0.0000,1.0700,0.9300,1.0000,1.0000,5798
1.0700,1.0700,2020-03-26,0.0000,1.2000,0.9933,1.0300,1.0000,61638
1.0100,1.0100,2020-03-25,0.0000,1.0200,0.8828,0.9881,1.0000,17425
0.9400,0.9400,2020-03-24,0.0000,0.9674,0.8340,0.8600,1.0000,27389
0.7971,0.7971,2020-03-23,0.0000,0.8400,0.7193,0.7678,1.0000,15233
0.8670,0.8670,2020-03-20,0.0000,1.0000,0.7700,0.9245,1.0000,10189
0.8804,0.8804,2020-03-19,0.0000,0.8834,0.7875,0.8334,1.0000,15016
0.8284,0.8284,2020-03-18,0.0000,1.0400,0.7971,0.8645,1.0000,65778
1.0231,1.0231,2020-03-17,0.0000,1.1280,0.7844,0.7844,1.0000,63132
0.8050,0.8050,2020-03-16,0.0000,0.8663,0.5800,0.6230,1.0000,42657
0.8717,0.8717,2020-03-13,0.0000,0.9350,0.7604,0.8940,1.0000,22479
0.9500,0.9500,2020-03-12,0.0000,0.9500,0.9500,0.9500,1.0000,0
0.9500,0.9500,2020-03-11,0.0000,1.2100,0.8962,1.1454,1.0000,45598
1.1900,1.1900,2020-03-10,0.0000,1.2259,1.1100,1.2100,1.0000,30990
1.2200,1.2200,2020-03-09,0.0000,1.3100,1.2100,1.2562,1.0000,14648
1.3300,1.3300,2020-03-06,0.0000,1.4412,1.3100,1.3600,1.0000,6280
1.3600,1.3600,2020-03-05,0.0000,1.4639,1.3600,1.4639,1.0000,7250
1.4200,1.4200,2020-03-04,0.0000,1.4400,1.3500,1.4100,1.0000,39322
1.3040,1.3040,2020-03-03,0.0000,1.4900,1.2800,1.2870,1.0000,19235
1.2599,1.2599,2020-03-02,0.0000,1.3600,1.2599,1.3000,1.0000,62897
1.2514,1.2514,2020-02-28,0.0000,1.3900,1.2300,1.3900,1.0000,35836
1.3900,1.3900,2020-02-27,0.0000,1.7200,1.3501,1.6600,1.0000,55857
1.6800,1.6800,2020-02-26,0.0000,1.8100,1.5500,1.5900,1.0000,26773
1.5960,1.5960,2020-02-25,0.0000,1.7432,1.5960,1.7223,1.0000,16146
1.7301,1.7301,2020-02-24,0.0000,1.8550,1.6700,1.7420,1.0000,38449
1.6836,1.6836,2020-02-21,0.0000,1.6836,1.5600,1.6596,1.0000,17443
1.4500,1.4500,2020-02-20,0.0000,1.4772,1.3600,1.4100,1.0000,26721
1.3680,1.3680,2020-02-19,0.0000,1.3700,1.2900,1.3118,1.0000,12914
1.3000,1.3000,2020-02-18,0.0000,1.3800,1.2801,1.3575,1.0000,40069
1.3400,1.3400,2020-02-14,0.0000,1.4000,1.3305,1.3680,1.0000,21690
1.3754,1.3754,2020-02-13,0.0000,1.4000,1.3600,1.3910,1.0000,8129
1.3900,1.3900,2020-02-12,0.0000,1.3955,1.3580,1.3700,1.0000,13724
1.3768,1.3768,2020-02-11,0.0000,1.3955,1.3600,1.3600,1.0000,21690
1.3605,1.3605,2020-02-10,0.0000,1.4275,1.3600,1.4100,1.0000,16405
1.4100,1.4100,2020-02-07,0.0000,1.4528,1.4000,1.4100,1.0000,7707
1.4290,1.4290,2020-02-06,0.0000,1.4400,1.4075,1.4400,1.0000,8755
1.4584,1.4584,2020-02-05,0.0000,1.4600,1.4100,1.4370,1.0000,7908
1.4846,1.4846,2020-02-04,0.0000,1.4875,1.4100,1.4300,1.0000,23293
1.4515,1.4515,2020-02-03,0.0000,1.4725,1.4100,1.4100,1.0000,20955
1.4800,1.4800,2020-01-31,0.0000,1.5200,1.4353,1.4400,1.0000,10080
1.5187,1.5187,2020-01-30,0.0000,1.5919,1.4900,1.5919,1.0000,13533
1.5580,1.5580,2020-01-29,0.0000,1.5600,1.4627,1.4709,1.0000,4328
1.4800,1.4800,2020-01-28,0.0000,1.5789,1.4663,1.5789,1.0000,10648
1.6000,1.6000,2020-01-27,0.0000,1.6573,1.5557,1.5982,1.0000,19893
1.6125,1.6125,2020-01-24,0.0000,1.6125,1.5679,1.5700,1.0000,7954
1.5800,1.5800,2020-01-23,0.0000,1.5903,1.5700,1.5700,1.0000,4341
1.5754,1.5754,2020-01-22,0.0000,1.6155,1.5500,1.5798,1.0000,27886
1.6200,1.6200,2020-01-21,0.0000,1.6482,1.5600,1.6482,1.0000,32114
1.7100,1.7100,2020-01-17,0.0000,1.7138,1.6200,1.6400,1.0000,43547
1.6798,1.6798,2020-01-16,0.0000,1.6880,1.6559,1.6712,1.0000,6593
1.7216,1.7216,2020-01-15,0.0000,1.7468,1.6600,1.6600,1.0000,10278
1.6600,1.6600,2020-01-14,0.0000,1.6978,1.6600,1.6978,1.0000,14267
1.7440,1.7440,2020-01-13,0.0000,1.8021,1.6600,1.7944,1.0000,7586
1.7900,1.7900,2020-01-10,0.0000,1.7900,1.6800,1.6800,1.0000,15856
1.6780,1.6780,2020-01-09,0.0000,1.7281,1.6717,1.6900,1.0000,21417
1.7525,1.7525,2020-01-08,0.0000,1.8232,1.7060,1.8200,1.0000,39512
1.8146,1.8146,2020-01-07,0.0000,1.8500,1.7983,1.8336,1.0000,23422
1.9395,1.9395,2020-01-06,0.0000,1.9745,1.8800,1.9000,1.0000,39578
1.9480,1.9480,2020-01-03,0.0000,2.0400,1.7700,1.7700,1.0000,41637
1.7855,1.7855,2020-01-02,0.0000,1.8400,1.7300,1.7300,1.0000,11535
1.7282,1.7282,2019-12-31,0.0000,1.7905,1.6823,1.7000,1.0000,41104
1.7220,1.7220,2019-12-30,0.0000,1.8465,1.6900,1.7700,1.0000,17419
1.6900,1.6900,2019-12-27,0.0000,1.7700,1.5800,1.6000,1.0000,26063
1.5900,1.5900,2019-12-26,0.0000,1.6000,1.5750,1.6000,1.0000,30223
1.6000,1.6000,2019-12-24,0.0000,1.6157,1.5099,1.5099,1.0000,26714
1.5100,1.5100,2019-12-23,0.0000,1.6000,1.4500,1.5800,1.0000,33232
1.5351,1.5351,2019-12-20,0.0000,1.5600,1.5346,1.5500,1.0000,13783
1.5224,1.5224,2019-12-19,0.0000,1.5575,1.5000,1.5100,1.0000,12358
1.5600,1.5600,2019-12-18,0.0000,1.5800,1.5200,1.5800,1.0000,22616
1.5412,1.5412,2019-12-17,0.0000,1.5800,1.5200,1.5500,1.0000,19916
1.6100,1.6100,2019-12-16,0.0000,1.9600,1.5553,1.9600,1.0000,27386
1.6198,1.6198,2019-12-13,0.0000,1.6900,1.5757,1.6470,1.0000,23625
1.6500,1.6500,2019-12-12,0.0000,1.7000,1.6196,1.6196,1.0000,9776
1.5800,1.5800,2019-12-11,0.0000,1.7500,1.5277,1.6579,1.0000,16682
1.5975,1.5975,2019-12-10,0.0000,1.6893,1.5806,1.6893,1.0000,16614
1.7341,1.7341,2019-12-09,0.0000,2.1300,1.6410,2.1300,1.0000,42902
1.6950,1.6950,2019-12-06,0.0000,1.7500,1.6000,1.7500,1.0000,34012
1.7478,1.7478,2019-12-05,0.0000,1.9000,1.6700,1.8000,1.0000,70473
1.8296,1.8296,2019-12-04,0.0000,2.0300,1.7460,1.7803,1.0000,74345
1.6800,1.6800,2019-12-03,0.0000,1.6800,1.6800,1.6800,1.0000,0
1.6800,1.6800,2019-12-02,0.0000,1.7070,1.5972,1.7070,0.1250,5567
