adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
1.9000,1.9000,2020-05-12,0.0000,2.0340,1.8550,1.8550,1.0000,26410
1.9100,1.9100,2020-05-11,0.0000,1.9100,1.8368,1.9053,1.0000,1312
1.9000,1.9000,2020-05-08,0.0000,1.9400,1.8806,1.9248,1.0000,562896
1.8800,1.8800,2020-05-07,0.0000,1.9700,1.8100,1.8100,1.0000,292992
1.8068,1.8068,2020-05-06,0.0000,1.9347,1.8050,1.9347,1.0000,38905
1.9100,1.9100,2020-05-05,0.0000,2.1400,1.9100,2.1400,1.0000,7768
1.9168,1.9168,2020-05-04,0.0000,1.9276,1.9050,1.9228,1.0000,12574
1.9800,1.9800,2020-05-01,0.0000,2.0569,1.9236,2.0569,1.0000,11442
2.0831,2.0831,2020-04-30,0.0000,2.2400,1.9722,2.2400,1.0000,18478
2.0300,2.0300,2020-04-29,0.0000,2.0300,1.9297,1.9304,1.0000,12523
1.7899,1.7899,2020-04-28,0.0000,1.7899,1.6600,1.6846,1.0000,15337
1.5870,1.5870,2020-04-27,0.0000,1.6000,1.4700,1.6000,1.0000,30257
1.6003,1.6003,2020-04-24,0.0000,1.6900,1.6003,1.6900,1.0000,34616
1.7100,1.7100,2020-04-23,0.0000,1.7500,1.6600,1.6752,1.0000,10767
1.5400,1.5400,2020-04-22,0.0000,1.5469,1.5200,1.5233,1.0000,14867
1.4392,1.4392,2020-04-21,0.0000,1.4392,1.3901,1.3975,1.0000,26872
1.4700,1.4700,2020-04-20,0.0000,1.5800,1.4200,1.4200,1.0000,14901
1.4900,1.4900,2020-04-17,0.0000,1.5624,1.4900,1.5200,1.0000,14328
1.3623,1.3623,2020-04-16,0.0000,1.3623,1.3300,1.3597,1.0000,1430
1.4552,1.4552,2020-04-15,0.0000,1.4619,1.3900,1.3900,1.0000,18012
1.6400,1.6400,2020-04-14,0.0000,1.6590,1.6150,1.6500,1.0000,59723
1.6765,1.6765,2020-04-13,0.0000,1.7621,1.6700,1.7200,1.0000,17896
1.7918,1.7918,2020-04-09,0.0000,2.0450,1.6900,1.8900,1.0000,28840
1.8124,1.8124,2020-04-08,0.0000,1.8200,1.7292,1.7310,1.0000,44376
1.6212,1.6212,2020-04-07,0.0000,1.7200,1.5703,1.5703,1.0000,24340
1.3900,1.3900,2020-04-06,0.0000,1.3954,1.3775,1.3775,1.0000,101529
1.3700,1.3700,2020-04-03,0.0000,1.3700,1.2984,1.3264,1.0000,10119
1.2500,1.2500,2020-04-02,0.0000,1.3900,1.2000,1.2000,1.0000,23847
1.0483,1.0483,2020-04-01,0.0000,1.1046,1.0224,1.1046,1.0000,17115
1.1414,1.1414,2020-03-31,0.0000,1.1457,1.0200,1.0200,1.0000,15908
0.9068,0.9068,2020-03-30,0.0000,1.0538,0.9068,1.0538,1.0000,40303
1.0754,1.0754,2020-03-27,0.0000,1.2700,1.0470,1.2700,1.0000,20468
1.1765,1.1765,2020-03-26,0.0000,1.2700,1.1600,1.1600,1.0000,50088
1.1618,1.1618,2020-03-25,0.0000,1.1618,0.9922,1.0000,1.0000,9014
0.9778,0.9778,2020-03-24,0.0000,0.9879,0.9602,0.9703,1.0000,10675
0.9616,0.9616,2020-03-23,0.0000,1.0590,0.9600,1.0000,1.0000,9559
0.9600,0.9600,2020-03-20,0.0000,1.1912,0.9400,1.1800,1.0000,40708
1.0601,1.0601,2020-03-19,0.0000,1.1311,1.0138,1.0138,1.0000,18110
0.9143,0.9143,2020-03-18,0.0000,1.0800,0.7873,1.0800,1.0000,36444
1.0824,1.0824,2020-03-17,0.0000,1.2800,1.0723,1.2800,1.0000,25266
1.2000,1.2000,2020-03-16,0.0000,1.4312,1.2000,1.4000,1.0000,40276
1.4470,1.4470,2020-03-13,0.0000,1.5000,1.3587,1.5000,1.0000,34069
1.3689,1.3689,2020-03-12,0.0000,1.4600,1.3000,1.4000,1.0000,60757
1.5191,1.5191,2020-03-11,0.0000,1.8000,1.5191,1.8000,1.0000,33780
1.7990,1.7990,2020-03-10,0.0000,2.2448,1.7500,2.2448,1.0000,32209
2.0000,2.0000,2020-03-09,0.0000,2.5883,2.0000,2.1800,1.0000,38319
3.3790,3.3790,2020-03-06,0.0000,3.5700,3.3500,3.5700,1.0000,15295
3.7410,3.7410,2020-03-05,0.0000,3.8040,3.7410,3.7900,1.0000,33669
3.9141,3.9141,2020-03-04,0.0000,4.0500,3.9141,4.0500,1.0000,25059
4.0726,4.0726,2020-03-03,0.0000,4.1100,4.0040,4.1000,1.0000,26748
4.1740,4.1740,2020-03-02,0.0000,4.2300,4.0466,4.0500,1.0000,18210
4.0950,4.0950,2020-02-28,0.0000,4.1010,4.0687,4.0832,1.0000,22224
4.2288,4.2288,2020-02-27,0.0000,4.2783,3.7500,3.7500,1.0000,19885
4.2782,4.2782,2020-02-26,0.0000,4.6100,4.2782,4.6100,1.0000,9111
4.4800,4.4800,2020-02-25,0.0000,4.7200,4.4450,4.7200,1.0000,17572
4.7799,4.7799,2020-02-24,0.0000,4.8399,4.7732,4.8192,1.0000,6381
5.1298,5.1298,2020-02-21,0.0000,5.1298,5.1298,5.1298,1.0000,1623
5.1900,5.1900,2020-02-20,0.0000,5.2099,5.1900,5.1999,1.0000,2336
5.1899,5.1899,2020-02-19,0.0000,5.2600,5.0901,5.0910,1.0000,4267
5.0195,5.0195,2020-02-18,0.0000,5.0299,5.0001,5.0048,1.0000,1458
5.0688,5.0688,2020-02-14,0.0000,5.0688,5.0201,5.0201,1.0000,1088
5.1283,5.1283,2020-02-13,0.0000,5.1283,5.1014,5.1014,1.0000,368
5.1209,5.1209,2020-02-12,0.0000,5.1407,5.0700,5.1400,1.0000,18268
5.0760,5.0760,2020-02-11,0.0000,5.0902,5.0760,5.0902,1.0000,2304
5.1100,5.1100,2020-02-10,0.0000,5.1100,5.1100,5.1100,1.0000,5002
5.1300,5.1300,2020-02-07,0.0000,5.1310,5.1300,5.1310,1.0000,1802
5.1600,5.1600,2020-02-06,0.0000,5.1795,5.1430,5.1490,1.0000,4330
4.7931,4.7931,2020-02-05,0.0000,4.7931,4.7931,4.7931,1.0000,18837
4.7931,4.7931,2020-02-04,0.0000,5.0410,4.7931,5.0410,1.0000,25363
4.9100,4.9100,2020-02-03,0.0000,4.9800,4.8904,4.9800,1.0000,5700
4.9800,4.9800,2020-01-31,0.0000,5.0176,4.9800,5.0168,1.0000,10866
5.1299,5.1299,2020-01-30,0.0000,5.2100,5.1299,5.2100,1.0000,4398
5.2800,5.2800,2020-01-29,0.0000,5.3300,5.2800,5.3300,1.0000,5842
5.2690,5.2690,2020-01-28,0.0000,5.3141,5.2690,5.2900,1.0000,22229
5.3260,5.3260,2020-01-27,0.0000,5.3700,5.3260,5.3300,1.0000,14604
5.4410,5.4410,2020-01-24,0.0000,5.4600,5.3981,5.4600,1.0000,88505
5.5589,5.5589,2020-01-23,0.0000,5.5610,5.5551,5.5600,1.0000,19631
5.6892,5.6892,2020-01-22,0.0000,5.7000,5.6500,5.6800,1.0000,8552
5.8940,5.8940,2020-01-21,0.0000,5.9500,5.8940,5.9500,1.0000,7161
6.0900,6.0900,2020-01-17,0.0000,6.0900,6.0799,6.0799,1.0000,3649
6.2800,6.2800,2020-01-16,0.0000,6.2800,6.2800,6.2800,1.0000,169
6.2212,6.2212,2020-01-15,0.0000,6.2212,6.2212,6.2212,1.0000,229
6.2600,6.2600,2020-01-14,0.0000,6.2600,6.2600,6.2600,1.0000,1569
6.3597,6.3597,2020-01-13,0.0000,6.3799,6.2240,6.2240,1.0000,22701
6.3996,6.3996,2020-01-10,0.0000,6.4058,6.3299,6.3299,1.0000,6059
6.4150,6.4150,2020-01-09,0.0000,6.4293,6.2100,6.2100,1.0000,5087
6.4700,6.4700,2020-01-08,0.0000,6.6700,6.4700,6.6700,1.0000,3653
6.6500,6.6500,2020-01-07,0.0000,6.6700,6.6440,6.6496,1.0000,9796
6.8299,6.8299,2020-01-06,0.0000,6.9200,6.7700,6.7700,1.0000,35669
6.5971,6.5971,2020-01-03,0.0000,6.6613,6.5889,6.6613,1.0000,3577
6.4539,6.4539,2020-01-02,0.0000,6.4539,6.4539,6.4539,1.0000,734
6.5698,6.5698,2019-12-31,0.0000,6.5710,6.4401,6.4401,1.0000,19559
6.5435,6.5435,2019-12-30,0.0000,6.5435,6.5284,6.5358,1.0000,2235
6.9999,6.9999,2019-12-27,0.0000,6.9999,6.9999,6.9999,1.0000,25
6.9999,6.9999,2019-12-26,0.0000,6.9999,6.6000,6.6000,1.0000,7745
6.4879,6.4879,2019-12-24,0.0000,6.4879,6.4879,6.4879,1.0000,223
6.3600,6.3600,2019-12-23,0.0000,6.3770,6.2190,6.2190,1.0000,3536
6.1400,6.1400,2019-12-20,0.0000,6.1500,6.1200,6.1200,1.0000,210316
6.2184,6.2184,2019-12-19,0.0000,6.2700,6.2184,6.2700,1.0000,1651
6.2408,6.2408,2019-12-18,0.0000,6.3400,6.1800,6.1800,1.0000,7646
6.2701,6.2701,2019-12-17,0.0000,6.4100,6.2701,6.3379,1.0000,4429
6.1760,6.1760,2019-12-16,0.0000,6.3400,5.9619,5.9619,1.0000,17480
5.8663,5.8663,2019-12-13,0.0000,6.0100,5.8128,6.0100,1.0000,8380
5.9112,5.9112,2019-12-12,0.0000,6.0100,5.9112,6.0000,1.0000,12629
5.7967,5.7967,2019-12-11,0.0000,5.8005,5.6610,5.7301,1.0000,15105
5.7600,5.7600,2019-12-10,0.0000,5.7685,5.7350,5.7481,1.0000,9684
5.6647,5.6647,2019-12-09,0.0000,5.6799,5.6331,5.6651,1.0000,9534
5.6100,5.6100,2019-12-06,0.0000,5.6269,5.5863,5.5995,1.0000,3332
5.4331,5.4331,2019-12-05,0.0000,5.4600,5.4035,5.4260,1.0000,21673
5.3800,5.3800,2019-12-04,0.0000,5.3800,5.2139,5.2237,1.0000,1552
5.0501,5.0501,2019-12-03,0.0000,5.1252,5.0000,5.0000,1.0000,13141
5.2008,5.2008,2019-12-02,0.0000,5.2900,5.1620,5.2900,1.0000,40526
5.5156,5.5156,2019-11-29,0.0000,5.5156,5.5050,5.5050,1.0000,1695
5.5695,5.5695,2019-11-27,0.0000,5.5695,5.4700,5.4700,1.0000,6054
5.6795,5.6795,2019-11-26,0.0000,5.6795,5.6756,5.6756,1.0000,684
5.6700,5.6700,2019-11-25,0.0000,5.6700,5.6700,5.6700,1.0000,151
5.6898,5.6898,2019-11-22,0.0000,5.6898,5.6453,5.6459,1.0000,4118
5.5919,5.5919,2019-11-21,0.0000,5.6200,5.5919,5.6200,1.0000,250
5.6173,5.6173,2019-11-20,0.0000,5.6173,5.6173,5.6173,1.0000,264
5.5107,5.5107,2019-11-19,0.0000,5.5473,5.4100,5.4500,1.0000,6478
5.5300,5.5300,2019-11-18,0.0000,5.6250,5.5300,5.6200,1.0000,31656
5.9357,5.9357,2019-11-15,0.0000,5.9700,5.9357,5.9700,1.0000,1616
5.8489,5.8489,2019-11-14,0.0000,5.8489,5.8400,5.8400,1.0000,929
6.0700,6.0700,2019-11-13,0.0000,6.0700,6.0700,6.0700,1.0000,1062
6.1893,6.1893,2019-11-12,0.0000,6.1893,6.1893,6.1893,1.0000,835
6.2900,6.2900,2019-11-11,0.0000,6.2900,6.2700,6.2700,1.0000,2168
6.2820,6.2820,2019-11-08,0.0000,6.2870,6.2600,6.2600,1.0000,550
6.4400,6.4400,2019-11-07,0.0000,6.6500,6.4400,6.5550,1.0000,16663
6.3000,6.3000,2019-11-06,0.0000,6.4300,6.2000,6.3000,1.0000,7585
6.3900,6.3900,2019-11-05,0.0000,6.4300,6.3500,6.4200,1.0000,8305
6.4359,6.4359,2019-11-04,0.0000,6.4543,6.1480,6.1480,1.0000,3834
5.7720,5.7720,2019-11-01,0.0000,5.7720,5.7500,5.7500,1.0000,3963
5.6049,5.6049,2019-10-31,0.0000,5.6750,5.5600,5.5600,1.0000,6091
5.7627,5.7627,2019-10-30,0.0000,6.0088,5.7627,6.0088,1.0000,1357
5.9402,5.9402,2019-10-29,0.0000,5.9402,5.9402,5.9402,1.0000,52
5.9402,5.9402,2019-10-28,0.0000,5.9500,5.9373,5.9399,1.0000,13422
6.0200,6.0200,2019-10-25,0.0000,6.0200,6.0050,6.0050,1.0000,586
6.1401,6.1401,2019-10-24,0.0000,6.2000,6.1401,6.2000,1.0000,1035
6.1759,6.1759,2019-10-23,0.0000,6.2201,6.0434,6.0434,1.0000,8364
6.1414,6.1414,2019-10-22,0.0000,6.1414,6.1414,6.1414,1.0000,1653
6.1200,6.1200,2019-10-21,0.0000,6.2441,6.0800,6.0800,1.0000,44431
6.0950,6.0950,2019-10-18,0.0000,6.1361,5.9858,6.0889,1.0000,103925
6.0814,6.0814,2019-10-17,0.0000,6.1230,5.9576,5.9576,1.0000,3565
5.9698,5.9698,2019-10-16,0.0000,5.9810,5.9457,5.9457,1.0000,3260
5.8720,5.8720,2019-10-15,0.0000,5.8855,5.7500,5.7500,1.0000,6643
5.1500,5.1500,2019-10-14,0.0000,6.4000,5.1500,6.1400,1.0000,3575
5.8460,5.8460,2019-10-11,0.0000,5.8460,5.8044,5.8180,1.0000,1718
5.8080,5.8080,2019-10-10,0.0000,5.8080,5.8080,5.8080,1.0000,420
5.6962,5.6962,2019-10-09,0.0000,5.6962,5.6610,5.6610,1.0000,1192
5.6510,5.6510,2019-10-08,0.0000,5.7600,5.6510,5.7100,1.0000,943
5.7980,5.7980,2019-10-07,0.0000,5.8254,5.7980,5.8254,1.0000,5474
5.6764,5.6764,2019-10-04,0.0000,5.7800,5.6727,5.7800,1.0000,5414
5.7515,5.7515,2019-10-03,0.0000,5.8000,5.6500,5.6500,1.0000,12681
5.6600,5.6600,2019-10-02,0.0000,5.9000,5.6427,5.9000,1.0000,4144
6.1100,6.1100,2019-10-01,0.0000,6.3700,6.1100,6.3700,1.0000,1628
6.4000,6.4000,2019-09-30,0.0000,6.4000,6.3977,6.3977,1.0000,4060
6.2707,6.2707,2019-09-27,0.0000,6.4911,6.2707,6.4700,1.0000,7256
6.3750,6.3750,2019-09-26,0.0000,6.3750,6.2788,6.2826,1.0000,2738
6.5699,6.5699,2019-09-25,0.0000,6.5946,6.5699,6.5946,1.0000,503
6.5223,6.5223,2019-09-24,0.0000,6.7400,6.5223,6.7300,1.0000,2519
6.8200,6.8200,2019-09-23,0.0000,6.8200,6.8195,6.8195,1.0000,427
6.7300,6.7300,2019-09-20,0.0000,6.7300,6.7214,6.7214,1.0000,3857
6.7818,6.7818,2019-09-19,0.0000,6.8700,6.7818,6.8700,1.0000,875
6.7690,6.7690,2019-09-18,0.0000,6.8369,6.7600,6.8368,1.0000,3031
6.8600,6.8600,2019-09-17,0.0000,7.0674,6.8600,7.0674,1.0000,3262
7.0580,7.0580,2019-09-16,0.0000,7.1960,6.8200,6.8700,1.0000,44421
6.4400,6.4400,2019-09-13,0.0000,6.4763,6.4400,6.4763,1.0000,396
6.2600,6.2600,2019-09-12,0.0000,6.2600,6.2501,6.2501,1.0000,640
6.2300,6.2300,2019-09-11,0.0000,6.3872,6.2300,6.3872,1.0000,914
6.3523,6.3523,2019-09-10,0.0000,6.5200,6.3424,6.4333,1.0000,2663
6.4399,6.4399,2019-09-09,0.0000,6.4399,6.4399,6.4399,1.0000,631
6.0645,6.0645,2019-09-06,0.0000,6.1100,5.9603,5.9603,1.0000,35016
5.7842,5.7842,2019-09-05,0.0000,5.8271,5.7842,5.8093,1.0000,841
5.6100,5.6100,2019-09-04,0.0000,5.7420,5.6100,5.7420,1.0000,4126
5.5599,5.5599,2019-09-03,0.0000,5.5599,5.5599,5.5599,1.0000,186
5.3797,5.3797,2019-08-30,0.0000,5.3797,5.3500,5.3500,1.0000,771
5.5800,5.5800,2019-08-29,0.0000,5.5800,5.5116,5.5460,1.0000,1982
5.2381,5.2381,2019-08-28,0.0000,5.2600,5.2381,5.2500,1.0000,2061
4.9600,4.9600,2019-08-27,0.0000,4.9600,4.9045,4.9045,1.0000,1763
5.0366,5.0366,2019-08-26,0.0000,5.1790,5.0366,5.1790,1.0000,2808
5.1616,5.1616,2019-08-23,0.0000,5.1855,5.1616,5.1640,1.0000,2390
5.2500,5.2500,2019-08-22,0.0000,5.2500,5.2500,5.2500,1.0000,724
5.4485,5.4485,2019-08-21,0.0000,5.4485,5.3900,5.3900,1.0000,1509
5.4111,5.4111,2019-08-20,0.0000,5.4401,5.4111,5.4401,1.0000,530
5.3480,5.3480,2019-08-19,0.0000,5.3600,5.3480,5.3600,1.0000,536
5.3249,5.3249,2019-08-16,0.0000,5.3282,5.3249,5.3282,1.0000,1000
5.0591,5.0591,2019-08-15,0.0000,5.1186,5.0591,5.1186,1.0000,2285
5.2380,5.2380,2019-08-14,0.0000,5.2380,5.2380,5.2380,1.0000,506
5.5298,5.5298,2019-08-13,0.0000,5.5298,5.5000,5.5100,1.0000,1322
5.3980,5.3980,2019-08-12,0.0000,5.4281,5.3734,5.3760,1.0000,15844
5.2507,5.2507,2019-08-09,0.0000,5.2507,5.2507,5.2507,1.0000,2049
5.1511,5.1511,2019-08-08,0.0000,5.2200,5.0501,5.2200,1.0000,6315
5.0400,5.0400,2019-08-07,0.0000,5.0476,5.0400,5.0440,1.0000,1440
5.1155,5.1155,2019-08-06,0.0000,5.2106,5.0409,5.2106,1.0000,4808
5.0400,5.0400,2019-08-05,0.0000,5.5500,5.0400,5.0500,1.0000,516
5.6555,5.6555,2019-08-02,0.0000,5.6555,5.5732,5.6420,1.0000,8185
5.5405,5.5405,2019-08-01,0.0000,5.7510,5.5400,5.5500,1.0000,18008
