adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
24.6000,24.6000,2020-05-12,0.0000,25.6600,23.8500,25.6600,1.0000,7351
25.2000,25.2000,2020-05-11,0.0000,27.8900,24.2600,27.4900,1.0000,19846
24.5500,24.5500,2020-05-08,0.0000,26.5900,23.0391,26.5900,1.0000,67391
25.8800,25.8800,2020-05-07,0.0000,26.5000,25.4200,26.4251,1.0000,6252
26.1900,26.1900,2020-05-06,0.0000,27.0000,25.3100,27.0000,1.0000,4573
26.8000,26.8000,2020-05-05,0.0000,26.9900,25.6000,26.9900,1.0000,8631
25.7894,25.7894,2020-05-04,0.0000,26.0100,22.9900,23.2800,1.0000,12602
24.0200,24.0200,2020-05-01,0.0000,24.0200,23.2000,23.9000,1.0000,2917
24.5000,24.5000,2020-04-30,0.0000,25.0000,21.4500,22.5800,1.0000,11676
24.2500,24.2500,2020-04-29,0.0000,24.5000,23.4530,24.5000,1.0000,2394
24.0000,24.0000,2020-04-28,0.0000,24.3400,24.0000,24.2500,1.0000,2968
24.0000,24.0000,2020-04-27,0.0000,24.0000,22.5100,23.2473,1.0000,10355
23.9700,23.9700,2020-04-24,0.0000,24.4800,23.0000,23.5800,1.0000,5778
23.3800,23.3800,2020-04-23,0.0000,24.2600,21.0800,21.0800,1.0000,3843
22.8500,22.8500,2020-04-22,0.0000,22.8500,22.5000,22.5100,1.0000,1590
22.5000,22.5000,2020-04-21,0.0000,22.8200,21.2100,22.8200,1.0000,4842
22.4500,22.4500,2020-04-20,0.0000,23.5500,22.4500,22.5300,1.0000,4682
23.5000,23.5000,2020-04-17,0.0000,23.8000,21.9750,22.7500,1.0000,3205
23.8000,23.8000,2020-04-16,0.0000,23.8000,22.0840,22.0840,1.0000,5661
24.0000,24.0000,2020-04-15,0.0000,24.3000,24.0000,24.0000,1.0000,3863
24.0200,24.0200,2020-04-14,0.0000,24.0200,22.4500,22.4600,1.0000,3559
23.0000,23.0000,2020-04-13,0.0000,23.0000,22.5000,22.5000,1.0000,3331
22.3100,22.3100,2020-04-09,0.0000,22.4200,22.3100,22.4200,1.0000,1188
23.7500,23.7500,2020-04-08,0.0000,23.7500,21.6800,22.0700,1.0000,2765
23.2500,23.2500,2020-04-07,0.0000,23.2500,23.2500,23.2500,1.0000,758
22.0000,22.0000,2020-04-06,0.0000,24.9800,20.3000,22.9999,1.0000,12313
23.0400,23.0400,2020-04-03,0.0000,24.2400,22.6000,22.6000,1.0000,2148
24.0000,24.0000,2020-04-02,0.0000,24.0000,21.1200,22.8400,1.0000,4507
24.2500,24.2500,2020-04-01,0.0000,24.2500,21.3000,21.3000,1.0000,4155
23.0000,23.0000,2020-03-31,0.0000,23.6400,21.2500,21.2700,1.0000,4289
21.6000,21.6000,2020-03-30,0.0000,22.0000,20.7400,21.7000,1.0000,4588
