adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
17.1200,17.1200,2020-05-12,0.0000,18.0200,17.1200,18.0200,1.0000,635
17.8000,17.8000,2020-05-11,0.0000,19.7500,17.8000,19.7000,1.0000,9569
20.2300,20.2300,2020-05-08,0.0000,20.2400,18.5100,18.5100,1.0000,1025
18.9100,18.9100,2020-05-07,0.0000,18.9100,18.5000,18.5000,1.0000,759
18.3000,18.3000,2020-05-06,0.0000,18.3000,18.1000,18.1000,1.0000,656
18.1300,18.1300,2020-05-05,0.0000,18.1300,18.1300,18.1300,1.0000,522
18.3500,18.3500,2020-05-04,0.0000,20.4200,18.3500,20.4200,1.0000,1220
19.3000,19.3000,2020-05-01,0.0000,19.3000,19.3000,19.3000,1.0000,653
18.8700,18.8700,2020-04-30,0.0000,18.8700,18.8700,18.8700,1.0000,532
20.6900,20.6900,2020-04-29,0.0000,21.7800,20.6900,21.7800,1.0000,930
19.3000,19.3000,2020-04-28,0.0000,19.3000,19.3000,19.3000,1.0000,450
18.3900,18.3900,2020-04-27,0.0000,19.3600,18.3900,18.5000,1.0000,1025
18.5000,18.5000,2020-04-24,0.0000,18.5200,18.3200,18.3200,1.0000,602
18.1800,18.1800,2020-04-23,0.0000,18.1800,18.0486,18.1300,1.0000,1146
18.9200,18.9200,2020-04-22,0.0000,18.9200,18.1100,18.1100,1.0000,715
17.8000,17.8000,2020-04-21,0.0000,19.0000,17.8000,19.0000,1.0000,562
18.5500,18.5500,2020-04-20,0.0000,18.5500,17.7600,17.7600,1.0000,591
18.0000,18.0000,2020-04-17,0.0000,19.0900,17.0100,17.2100,1.0000,1830
17.6100,17.6100,2020-04-16,0.0000,17.6100,16.5000,17.0600,1.0000,2869
17.0100,17.0100,2020-04-15,0.0000,18.5200,17.0100,18.5200,1.0000,1297
18.5200,18.5200,2020-04-14,0.0000,19.2559,18.5200,19.1784,1.0000,1920
18.5200,18.5200,2020-04-13,0.0000,18.5200,18.5200,18.5200,1.0000,533
18.6800,18.6800,2020-04-09,0.0000,19.9800,18.1100,18.5200,1.0000,2336
18.4600,18.4600,2020-04-08,0.0000,20.4899,18.4600,18.4600,1.0000,1812
17.3500,17.3500,2020-04-07,0.0000,18.7200,17.3500,18.7200,1.0000,1685
19.4100,19.4100,2020-04-06,0.0000,19.4100,17.9100,17.9100,1.0000,1434
17.8500,17.8500,2020-04-03,0.0000,19.2500,17.6700,17.6700,1.0000,2008
17.8600,17.8600,2020-04-02,0.0000,17.8600,17.8600,17.8600,1.0000,625
17.0100,17.0100,2020-04-01,0.0000,19.6066,17.0100,19.5200,1.0000,2382
20.5100,20.5100,2020-03-31,0.0000,20.5100,19.5100,19.5200,1.0000,2666
19.5100,19.5100,2020-03-30,0.0000,19.5100,19.1000,19.1000,1.0000,1066
20.2907,20.2907,2020-03-27,0.0000,22.2328,20.1900,22.2328,1.0000,1658
22.0000,22.0000,2020-03-26,0.0000,23.0009,22.0000,22.0000,1.0000,2036
22.0000,22.0000,2020-03-25,0.0000,22.0000,16.9800,16.9800,1.0000,2497
17.8200,17.8200,2020-03-24,0.0000,17.8200,16.5600,16.5600,1.0000,4366
16.0000,16.0000,2020-03-23,0.0000,17.2500,16.0000,16.5000,1.0000,3476
16.5000,16.5000,2020-03-20,0.0000,24.7500,16.5000,24.7500,1.0000,20418
24.5700,24.5700,2020-03-19,0.0000,24.5700,23.9800,23.9800,1.0000,2456
