adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
2.8500,2.8500,2020-05-07,0.0000,2.8500,2.8500,2.8500,1.0000,3
2.8500,2.8500,2020-05-06,0.0000,2.8500,2.8500,2.8500,1.0000,1000
4.4741,4.4741,2020-05-05,0.0000,4.4741,4.4741,4.4741,1.0000,33
4.4741,4.4741,2020-04-30,0.0000,4.4741,4.4741,4.4741,1.0000,1
4.4741,4.4741,2020-04-08,0.0000,4.4741,4.4741,4.4741,1.0000,2
4.5102,4.5102,2020-02-26,0.0000,4.5102,4.5100,4.5100,1.0000,2500
4.5129,4.5129,2020-02-20,0.0000,4.5129,4.5129,4.5129,1.0000,2500
4.2178,4.2178,2020-02-18,0.0000,4.2178,4.2178,4.2178,1.0000,35
4.2178,4.2178,2020-01-28,0.0000,4.2178,4.2178,4.2178,1.0000,3
4.2178,4.2178,2020-01-22,0.0000,4.2178,4.2178,4.2178,1.0000,25
4.2178,4.2178,2020-01-17,0.0000,4.2178,4.2178,4.2178,1.0000,1600
4.2182,4.2182,2020-01-16,0.0000,4.2182,4.2182,4.2182,1.0000,500
4.2182,4.2182,2020-01-14,0.0000,4.2182,4.2182,4.2182,1.0000,1800
4.2100,4.2100,2020-01-13,0.0000,4.2100,4.2100,4.2100,1.0000,20
4.2100,4.2100,2020-01-10,0.0000,4.2100,4.2100,4.2100,1.0000,1800
4.2343,4.2343,2020-01-09,0.0000,4.2343,4.2343,4.2343,1.0000,21
4.2343,4.2343,2020-01-08,0.0000,4.2343,4.2343,4.2343,1.0000,21
4.2343,4.2343,2020-01-07,0.0000,4.2343,4.2343,4.2343,1.0000,1700
4.3975,4.3975,2020-01-03,0.0000,4.3975,4.2932,4.2932,1.0000,900
4.3606,4.3606,2020-01-02,0.0000,4.3606,4.3606,4.3606,1.0000,1100
4.2189,4.2189,2019-12-20,0.0000,4.2189,4.2189,4.2189,1.0000,14
4.2189,4.2189,2019-12-19,0.0000,4.2570,4.2189,4.2570,1.0000,2111
4.1772,4.1772,2019-12-05,0.0000,4.1772,4.1772,4.1772,1.0000,100
4.2050,4.2050,2019-12-02,0.0000,4.2050,4.2050,4.2050,1.0000,14
4.2050,4.2050,2019-11-26,0.0000,4.2050,4.2050,4.2050,1.0000,330
4.2050,4.2050,2019-11-25,0.0000,4.2050,4.2050,4.2050,1.0000,3
4.2050,4.2050,2019-11-22,0.0000,4.2050,4.2050,4.2050,1.0000,276
4.0768,4.0768,2019-11-21,0.0000,4.0768,4.0768,4.0768,1.0000,43
4.0768,4.0768,2019-11-18,0.0000,4.0768,4.0768,4.0768,1.0000,330
4.2560,4.2560,2019-10-21,0.0000,4.2560,4.2560,4.2560,1.0000,53
4.2560,4.2560,2019-10-16,0.0000,4.2560,4.2560,4.2560,1.0000,50
4.2560,4.2560,2019-10-11,0.0000,4.2560,4.2560,4.2560,1.0000,370
0.3900,0.3900,2019-09-19,0.0000,0.3900,0.3900,0.3900,1.0000,5800
0.4080,0.4080,2019-08-22,0.0000,0.4080,0.4080,0.4080,1.0000,22
0.4080,0.4080,2019-08-21,0.0000,0.4080,0.4080,0.4080,1.0000,143
0.4500,0.4500,2019-08-19,0.0000,0.4500,0.4500,0.4500,1.0000,35
0.4500,0.4500,2019-08-12,0.0000,0.4500,0.4500,0.4500,1.0000,3625
0.4985,0.4985,2019-07-30,0.0000,0.4985,0.4985,0.4985,1.0000,400
0.4727,0.4727,2019-07-25,0.0000,0.4727,0.4727,0.4727,1.0000,71
0.4727,0.4727,2019-07-15,0.0000,0.4727,0.4727,0.4727,1.0000,14
0.4727,0.4727,2019-07-12,0.0000,0.4727,0.4727,0.4727,1.0000,400
0.3811,0.3811,2019-07-11,0.0000,0.3811,0.3811,0.3811,1.0000,7
0.3811,0.3811,2019-07-05,0.0000,0.3811,0.3811,0.3811,1.0000,28
0.3811,0.3811,2019-06-11,0.0000,0.3811,0.3811,0.3811,1.0000,5
0.3811,0.3811,2019-05-14,0.0000,0.3811,0.3811,0.3811,1.0000,22
0.3811,0.3811,2019-05-06,0.0000,0.3811,0.3811,0.3811,1.0000,15
0.3811,0.3811,2019-04-29,0.0000,0.3811,0.3800,0.3800,1.0000,30125
0.3950,0.3950,2019-04-25,0.0000,0.3950,0.3950,0.3950,1.0000,3689
0.3850,0.3850,2019-04-17,0.0000,0.3850,0.3850,0.3850,1.0000,37625
0.3960,0.3960,2019-04-15,0.0000,0.3960,0.3960,0.3960,1.0000,98
0.3960,0.3960,2019-04-10,0.0000,0.3961,0.3960,0.3961,1.0000,414
0.3900,0.3900,2019-04-01,0.0000,0.3926,0.3900,0.3924,1.0000,40000
0.4058,0.4058,2019-03-22,0.0000,0.4058,0.4058,0.4058,1.0000,3
0.4058,0.4058,2019-03-20,0.0000,0.4058,0.4058,0.4058,1.0000,3
0.4058,0.4058,2019-02-21,0.0000,0.4058,0.4058,0.4058,1.0000,5000
0.3601,0.3601,2019-02-20,0.0000,0.3601,0.3601,0.3601,1.0000,25
0.3601,0.3601,2019-01-22,0.0000,0.3601,0.3601,0.3601,1.0000,10
0.3601,0.3601,2019-01-18,0.0000,0.3601,0.3601,0.3601,1.0000,7
0.3601,0.3601,2019-01-17,0.0000,0.3601,0.3601,0.3601,1.0000,179
0.3670,0.3670,2019-01-10,0.0000,0.3670,0.3670,0.3670,1.0000,8
0.3670,0.3670,2018-12-13,0.0000,0.3670,0.3670,0.3670,1.0000,7
0.3670,0.3670,2018-12-12,0.0000,0.3670,0.3670,0.3670,1.0000,1000
