adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
23.1700,23.1700,2019-01-09,0.0000,24.0800,23.1400,23.8800,1.0000,2382950
23.8000,23.8000,2019-01-08,0.0000,24.5300,23.7900,24.2200,1.0000,1808430
23.9300,23.9300,2019-01-07,0.0000,24.7100,23.7200,24.0800,1.0000,2310596
23.9300,23.9300,2019-01-04,0.0000,24.1450,23.6800,23.8500,1.0000,1355688
23.6000,23.6000,2019-01-03,0.0000,24.3400,23.5700,24.2900,1.0000,815355
24.1700,24.1700,2019-01-02,0.0000,24.6000,23.8900,24.0000,1.0000,1823945
24.3400,24.3400,2018-12-31,0.0000,24.3500,23.8100,23.9300,1.0000,1354044
23.8300,23.8300,2018-12-28,0.0000,23.9400,23.4100,23.5400,1.0000,1586145
23.4300,23.4300,2018-12-27,0.0000,23.6600,22.7200,23.0000,1.0000,1703959
23.1900,23.1900,2018-12-26,0.0000,23.2500,21.5500,22.0100,1.0000,1406619
22.1000,22.1000,2018-12-24,0.0000,22.6000,22.0100,22.5000,1.0000,614549
22.6500,22.6500,2018-12-21,0.0000,23.3000,22.5500,22.8300,1.0000,2083763
23.1300,23.1300,2018-12-20,0.0000,23.6200,22.5200,23.1800,1.0000,2130627
23.4300,23.4300,2018-12-19,0.0000,23.5500,20.4850,20.7400,1.0000,4803934
20.6100,20.6100,2018-12-18,0.0000,21.4300,20.4300,21.1700,1.0000,1264684
21.1300,21.1300,2018-12-17,0.0000,21.8600,21.0600,21.4400,1.0000,1021265
21.6400,21.6400,2018-12-14,0.0000,22.2000,21.5800,21.6700,1.0000,2492357
21.8500,21.8500,2018-12-13,0.0000,22.1651,21.1754,21.2000,1.0000,996761
21.2500,21.2500,2018-12-12,0.0000,21.6300,21.0400,21.2800,1.0000,1414179
21.1300,21.1300,2018-12-11,0.0000,21.3963,20.7900,21.3500,1.0000,1259661
21.1500,21.1500,2018-12-10,0.0000,21.3800,20.7300,21.1600,1.0000,736460
21.3500,21.3500,2018-12-07,0.0000,22.2100,21.2800,21.6000,1.0000,871758
21.1700,21.1700,2018-12-06,0.0000,21.4000,20.6900,21.4000,1.0000,781431
21.7000,21.7000,2018-12-04,0.0000,22.2400,21.6400,22.0000,1.0000,958560
22.0100,22.0100,2018-12-03,0.0000,22.1900,21.4500,21.4500,1.0000,934274
21.3600,21.3600,2018-11-30,0.0000,21.8700,21.1800,21.7200,1.0000,960244
21.7200,21.7200,2018-11-29,0.0000,21.8800,20.8500,20.9200,1.0000,623911
20.9500,20.9500,2018-11-28,0.0000,21.0000,20.4500,20.7000,1.0000,547957
20.6600,20.6600,2018-11-27,0.0000,21.2200,20.4623,20.5300,1.0000,780284
20.5900,20.5900,2018-11-26,0.0000,21.2200,20.4600,20.7500,1.0000,763542
20.6100,20.6100,2018-11-23,0.0000,20.9700,20.3600,20.7800,1.0000,414489
21.3000,21.3000,2018-11-21,0.0000,21.6800,21.1200,21.2500,1.0000,989138
21.1100,21.1100,2018-11-20,0.0000,21.5500,20.7600,21.5500,1.0000,1088143
1.8652,1.9500,2015-02-11,0.0000,2.0500,1.9500,2.0400,1.0000,13666
1.9608,2.0500,2015-02-10,0.0000,2.2400,2.0100,2.2400,1.0000,18473
2.0852,2.1800,2015-02-09,0.0000,2.2400,2.1200,2.2100,1.0000,20442
2.0945,2.1897,2015-02-06,0.0000,2.2400,2.1500,2.2100,1.0000,27711
2.0661,2.1600,2015-02-05,0.0000,2.1900,2.0400,2.0400,1.0000,32025
1.9321,2.0200,2015-02-04,0.0000,2.1600,1.9000,2.1208,1.0000,107535
2.0565,2.1500,2015-02-03,0.0000,2.2700,2.1500,2.1900,1.0000,82245
2.0565,2.1500,2015-02-02,0.0000,2.1600,2.0400,2.0900,1.0000,23204
1.9130,2.0000,2015-01-30,0.0000,2.1400,1.9000,1.9700,1.0000,24620
1.8748,1.9600,2015-01-29,0.0000,2.0300,1.9500,2.0300,1.0000,26337
1.9130,2.0000,2015-01-28,0.0000,2.2100,1.9900,2.0900,1.0000,41276
