adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0150,0.0150,2020-05-12,0.0000,0.0150,0.0150,0.0150,1.0000,27278
0.0195,0.0195,2020-05-04,0.0000,0.0195,0.0195,0.0195,1.0000,10000
0.0200,0.0200,2020-04-21,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0189,0.0189,2020-04-20,0.0000,0.0189,0.0189,0.0189,1.0000,20000
0.0200,0.0200,2020-04-02,0.0000,0.0200,0.0200,0.0200,1.0000,5000
0.0200,0.0200,2020-04-01,0.0000,0.0200,0.0149,0.0199,1.0000,72000
0.0117,0.0117,2020-03-26,0.0000,0.0200,0.0117,0.0199,1.0000,80000
0.0120,0.0120,2020-03-25,0.0000,0.0120,0.0120,0.0120,1.0000,10000
0.0120,0.0120,2020-03-24,0.0000,0.0120,0.0120,0.0120,1.0000,1200
0.0130,0.0130,2020-03-18,0.0000,0.0130,0.0130,0.0130,1.0000,50000
0.0250,0.0250,2020-03-11,0.0000,0.0250,0.0200,0.0200,1.0000,60000
0.0200,0.0200,2020-03-09,0.0000,0.0300,0.0200,0.0214,1.0000,80000
0.0470,0.0470,2019-12-31,0.0000,0.0500,0.0300,0.0500,1.0000,103500
0.0500,0.0500,2019-12-03,0.0000,0.0500,0.0500,0.0500,1.0000,5000
0.0500,0.0500,2019-11-20,0.0000,0.0501,0.0500,0.0501,1.0000,6000
0.0950,0.0950,2019-11-07,0.0000,0.0950,0.0950,0.0950,1.0000,100
0.0949,0.0949,2019-10-30,0.0000,0.0950,0.0500,0.0500,1.0000,122000
0.0998,0.0998,2019-09-19,0.0000,0.0998,0.0998,0.0998,1.0000,200
0.0998,0.0998,2019-09-06,0.0000,0.0999,0.0998,0.0999,1.0000,2000
0.0600,0.0600,2019-08-23,0.0000,0.0800,0.0600,0.0800,1.0000,40000
0.0800,0.0800,2019-08-21,0.0000,0.0860,0.0800,0.0860,1.0000,4000
0.0805,0.0805,2019-08-06,0.0000,0.0805,0.0805,0.0805,1.0000,10
