adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
4.9900,4.9900,2016-02-24,0.0000,4.9900,4.9900,4.9900,1.0000,0
4.9900,4.9900,2016-02-23,0.0000,5.0200,4.9900,5.0100,1.0000,468996
5.0100,5.0100,2016-02-22,0.0000,5.0200,4.9900,5.0100,1.0000,503452
5.0000,5.0000,2016-02-19,0.0000,5.0600,4.9800,4.9800,1.0000,965035
4.9700,4.9700,2016-02-18,0.0000,4.9800,4.9400,4.9400,1.0000,1497356
4.9400,4.9400,2016-02-17,0.0000,4.9800,4.9200,4.9400,1.0000,569603
4.9400,4.9400,2016-02-16,0.0000,4.9800,4.9200,4.9500,1.0000,503345
4.9600,4.9600,2016-02-12,0.0000,4.9600,4.9050,4.9200,1.0000,626849
4.9400,4.9400,2016-02-11,0.0000,4.9600,4.9000,4.9000,1.0000,787599
4.9300,4.9300,2016-02-10,0.0000,4.9600,4.8900,4.9100,1.0000,726955
4.9000,4.9000,2016-02-09,0.0000,4.9300,4.8500,4.9100,1.0000,780860
4.9300,4.9300,2016-02-08,0.0000,4.9500,4.8900,4.9000,1.0000,676524
4.9300,4.9300,2016-02-05,0.0000,4.9500,4.9000,4.9100,1.0000,744296
4.9100,4.9100,2016-02-04,0.0000,4.9200,4.8800,4.9000,1.0000,477586
4.9000,4.9000,2016-02-03,0.0000,4.9500,4.8600,4.9500,1.0000,1627288
4.9400,4.9400,2016-02-02,0.0000,5.0100,4.9100,4.9400,1.0000,802638
4.9400,4.9400,2016-02-01,0.0000,4.9600,4.9300,4.9500,1.0000,755527
4.9600,4.9600,2016-01-29,0.0000,4.9600,4.9400,4.9400,1.0000,731408
4.9300,4.9300,2016-01-28,0.0000,4.9600,4.9200,4.9500,1.0000,432302
4.9500,4.9500,2016-01-27,0.0000,4.9550,4.9200,4.9200,1.0000,588110
4.9500,4.9500,2016-01-26,0.0000,4.9500,4.8600,4.8700,1.0000,913813
4.8600,4.8600,2016-01-25,0.0000,4.9200,4.8600,4.8700,1.0000,516566
4.8600,4.8600,2016-01-22,0.0000,4.9000,4.8200,4.8600,1.0000,669574
4.8200,4.8200,2016-01-21,0.0000,4.8550,4.8000,4.8200,1.0000,1475630
4.8200,4.8200,2016-01-20,0.0000,4.8800,4.7800,4.8600,1.0000,2599519
4.9000,4.9000,2016-01-19,0.0000,4.9500,4.7600,4.9400,1.0000,3620130
4.9550,4.9550,2016-01-15,0.0000,4.9700,4.9500,4.9500,1.0000,1114460
4.9600,4.9600,2016-01-14,0.0000,4.9700,4.9450,4.9500,1.0000,323154
4.9500,4.9500,2016-01-13,0.0000,4.9700,4.9316,4.9500,1.0000,824238
4.9600,4.9600,2016-01-12,0.0000,4.9700,4.9500,4.9600,1.0000,368688
4.9500,4.9500,2016-01-11,0.0000,4.9600,4.9400,4.9500,1.0000,955616
4.9500,4.9500,2016-01-08,0.0000,4.9500,4.9400,4.9500,1.0000,1103509
4.9500,4.9500,2016-01-07,0.0000,4.9600,4.9400,4.9500,1.0000,2424377
4.9600,4.9600,2016-01-06,0.0000,4.9700,4.9500,4.9600,1.0000,1251769
4.9600,4.9600,2016-01-05,0.0000,4.9700,4.9550,4.9600,1.0000,1015907
4.9700,4.9700,2016-01-04,0.0000,4.9800,4.9500,4.9700,1.0000,2583785
4.9700,4.9700,2015-12-31,0.0000,4.9900,4.9700,4.9700,1.0000,413680
4.9700,4.9700,2015-12-30,0.0000,4.9800,4.9700,4.9700,1.0000,323564
4.9800,4.9800,2015-12-29,0.0000,4.9800,4.9700,4.9800,1.0000,642539
4.9750,4.9750,2015-12-28,0.0000,4.9800,4.9700,4.9700,1.0000,1362113
4.9800,4.9800,2015-12-24,0.0000,4.9800,4.9600,4.9700,1.0000,614757
4.9800,4.9800,2015-12-23,0.0000,4.9800,4.9700,4.9800,1.0000,843361
4.9800,4.9800,2015-12-22,0.0000,4.9800,4.9700,4.9800,1.0000,298523
4.9750,4.9750,2015-12-21,0.0000,4.9800,4.9600,4.9700,1.0000,783555
4.9600,4.9600,2015-12-18,0.0000,4.9700,4.9600,4.9600,1.0000,799472
4.9650,4.9650,2015-12-17,0.0000,4.9700,4.9600,4.9600,1.0000,382487
4.9600,4.9600,2015-12-16,0.0000,4.9700,4.9600,4.9600,1.0000,1494475
4.9700,4.9700,2015-12-15,0.0000,4.9700,4.9600,4.9700,1.0000,365694
4.9700,4.9700,2015-12-14,0.0000,4.9700,4.9600,4.9600,1.0000,923051
4.9650,4.9650,2015-12-11,0.0000,4.9700,4.9600,4.9600,1.0000,629327
4.9700,4.9700,2015-12-10,0.0000,4.9700,4.9500,4.9500,1.0000,877593
4.9600,4.9600,2015-12-09,0.0000,4.9700,4.9500,4.9700,1.0000,580620
4.9600,4.9600,2015-12-08,0.0000,4.9700,4.9500,4.9500,1.0000,534431
4.9600,4.9600,2015-12-07,0.0000,4.9600,4.9400,4.9600,1.0000,777317
4.9500,4.9500,2015-12-04,0.0000,4.9500,4.9300,4.9400,1.0000,997931
4.9400,4.9400,2015-12-03,0.0000,4.9400,4.9300,4.9400,1.0000,1723719
4.9400,4.9400,2015-12-02,0.0000,4.9400,4.9200,4.9300,1.0000,1881309
4.9200,4.9200,2015-12-01,0.0000,4.9400,4.9200,4.9300,1.0000,2042444
4.9200,4.9200,2015-11-30,0.0000,4.9400,4.9200,4.9300,1.0000,3635090
4.9400,4.9400,2015-11-27,0.0000,4.9400,4.9300,4.9300,1.0000,319768
4.9400,4.9400,2015-11-25,0.0000,4.9400,4.9300,4.9400,1.0000,2881563
4.9400,4.9400,2015-11-24,0.0000,4.9500,4.9300,4.9400,1.0000,3904735
4.9400,4.9400,2015-11-23,0.0000,4.9600,4.9200,4.9400,1.0000,20565281
4.3900,4.3900,2015-11-20,0.0000,4.4900,4.3500,4.3600,1.0000,233127
4.3800,4.3800,2015-11-19,0.0000,4.4800,4.3700,4.3900,1.0000,173706
4.4300,4.4300,2015-11-18,0.0000,4.5000,4.3206,4.4500,1.0000,251008
4.4100,4.4100,2015-11-17,0.0000,4.5300,4.3300,4.4000,1.0000,417873
4.4000,4.4000,2015-11-16,0.0000,4.5800,4.2100,4.5000,1.0000,589045
4.5400,4.5400,2015-11-13,0.0000,4.6300,4.5100,4.5600,1.0000,466655
4.5700,4.5700,2015-11-12,0.0000,4.6600,4.5600,4.5600,1.0000,151886
4.5800,4.5800,2015-11-11,0.0000,4.6600,4.4700,4.6600,1.0000,247862
4.5600,4.5600,2015-11-10,0.0000,4.7250,4.5000,4.6000,1.0000,372579
4.5800,4.5800,2015-11-09,0.0000,4.6500,4.3600,4.4400,1.0000,619015
4.3600,4.3600,2015-11-06,0.0000,4.4500,4.3300,4.4000,1.0000,352470
4.4400,4.4400,2015-11-05,0.0000,4.5000,4.4050,4.5000,1.0000,220606
4.4600,4.4600,2015-11-04,0.0000,4.5400,4.3600,4.5400,1.0000,340732
