adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0140,0.0140,2020-05-12,0.0000,0.0142,0.0095,0.0142,1.0000,3000
0.0107,0.0107,2020-05-11,0.0000,0.0107,0.0107,0.0107,1.0000,1000
0.0107,0.0107,2020-05-08,0.0000,0.0107,0.0107,0.0107,1.0000,1045
0.0107,0.0107,2020-05-07,0.0000,0.0107,0.0106,0.0106,1.0000,2000
0.0106,0.0106,2020-05-05,0.0000,0.0106,0.0106,0.0106,1.0000,2000
0.0106,0.0106,2020-05-01,0.0000,0.0106,0.0083,0.0083,1.0000,8750
0.0107,0.0107,2020-04-30,0.0000,0.0107,0.0107,0.0107,1.0000,1000
0.0072,0.0072,2020-04-29,0.0000,0.0072,0.0072,0.0072,1.0000,5010
0.0118,0.0118,2020-04-28,0.0000,0.0118,0.0031,0.0031,1.0000,2000
0.0118,0.0118,2020-04-27,0.0000,0.0118,0.0072,0.0072,1.0000,59975
0.0113,0.0113,2020-04-24,0.0000,0.0113,0.0106,0.0106,1.0000,12000
0.0106,0.0106,2020-04-23,0.0000,0.0107,0.0106,0.0106,1.0000,11975
0.0105,0.0105,2020-04-22,0.0000,0.0105,0.0105,0.0105,1.0000,1000
0.0095,0.0095,2020-04-21,0.0000,0.0105,0.0052,0.0105,1.0000,19475
0.0088,0.0088,2020-04-20,0.0000,0.0099,0.0088,0.0099,1.0000,8000
0.0107,0.0107,2020-04-17,0.0000,0.0107,0.0107,0.0107,1.0000,11000
0.0106,0.0106,2020-04-16,0.0000,0.0106,0.0106,0.0106,1.0000,100
0.0107,0.0107,2020-04-14,0.0000,0.0107,0.0107,0.0107,1.0000,1000
0.0108,0.0108,2020-04-13,0.0000,0.0116,0.0107,0.0107,1.0000,12975
0.0107,0.0107,2020-04-09,0.0000,0.0117,0.0107,0.0107,1.0000,12000
0.0106,0.0106,2020-04-08,0.0000,0.0106,0.0106,0.0106,1.0000,1000
0.0113,0.0113,2020-04-07,0.0000,0.0113,0.0107,0.0107,1.0000,8000
0.0118,0.0118,2020-04-06,0.0000,0.0118,0.0106,0.0106,1.0000,11950
0.0106,0.0106,2020-04-03,0.0000,0.0106,0.0106,0.0106,1.0000,500
0.0105,0.0105,2020-04-02,0.0000,0.0105,0.0105,0.0105,1.0000,1090
0.0105,0.0105,2020-04-01,0.0000,0.0105,0.0105,0.0105,1.0000,500
0.0105,0.0105,2020-03-31,0.0000,0.0105,0.0105,0.0105,1.0000,1000
0.0105,0.0105,2020-03-30,0.0000,0.0105,0.0105,0.0105,1.0000,1000
0.0106,0.0106,2020-03-27,0.0000,0.0106,0.0035,0.0035,1.0000,51000
0.0118,0.0118,2020-03-26,0.0000,0.0118,0.0106,0.0106,1.0000,10975
0.0104,0.0104,2020-03-25,0.0000,0.0104,0.0104,0.0104,1.0000,1000
0.0068,0.0068,2020-03-24,0.0000,0.0069,0.0068,0.0069,1.0000,4000
0.0100,0.0100,2020-03-23,0.0000,0.0100,0.0031,0.0031,1.0000,17600
0.0069,0.0069,2020-03-20,0.0000,0.0069,0.0030,0.0066,1.0000,1169500
0.0120,0.0120,2020-03-19,0.0000,0.0120,0.0068,0.0068,1.0000,1500
0.0068,0.0068,2020-03-18,0.0000,0.0120,0.0068,0.0120,1.0000,1600
0.0106,0.0106,2020-03-17,0.0000,0.0106,0.0106,0.0106,1.0000,2000
0.0107,0.0107,2020-03-16,0.0000,0.0107,0.0107,0.0107,1.0000,1000
0.0080,0.0080,2020-03-12,0.0000,0.0090,0.0080,0.0090,1.0000,11520
0.0100,0.0100,2020-03-10,0.0000,0.0111,0.0070,0.0111,1.0000,114842
0.0065,0.0065,2020-03-09,0.0000,0.0075,0.0065,0.0075,1.0000,104000
0.0065,0.0065,2020-03-06,0.0000,0.0074,0.0065,0.0074,1.0000,6600
0.0074,0.0074,2020-03-05,0.0000,0.0074,0.0074,0.0074,1.0000,8000
