adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
25.9900,25.9900,2016-06-10,0.0000,26.0200,25.9900,26.0000,1.0000,329415
26.0000,26.0000,2016-06-09,0.0000,26.1000,25.9900,26.0100,1.0000,313466
26.0200,26.0200,2016-06-08,0.0000,26.0200,25.9900,25.9900,1.0000,335472
26.0000,26.0000,2016-06-07,0.0000,26.0150,25.9900,25.9900,1.0000,328891
26.0000,26.0000,2016-06-06,0.0000,26.0100,25.9800,25.9900,1.0000,275539
25.9900,25.9900,2016-06-03,0.0000,26.0200,25.9650,26.0000,1.0000,4343389
25.9900,25.9900,2016-06-02,0.0000,26.0300,25.9500,26.0100,1.0000,718808
26.0200,26.0200,2016-06-01,0.0000,26.0700,26.0000,26.0000,1.0000,280440
26.0000,26.0000,2016-05-31,0.0000,26.0700,26.0000,26.0100,1.0000,480521
26.0200,26.0200,2016-05-27,0.0000,26.0500,25.9900,26.0000,1.0000,545880
26.0000,26.0000,2016-05-26,0.0000,26.0900,26.0000,26.0900,1.0000,474076
26.1300,26.1300,2016-05-25,0.0000,26.1700,26.0400,26.1200,1.0000,391575
26.0800,26.0800,2016-05-24,0.0000,26.0900,26.0200,26.0200,1.0000,258135
26.0100,26.0100,2016-05-23,0.0000,26.1400,26.0100,26.1200,1.0000,189832
26.1300,26.1300,2016-05-20,0.0000,26.1500,26.0199,26.0500,1.0000,193734
26.0300,26.0300,2016-05-19,0.0000,26.1800,25.9950,26.0900,1.0000,236707
26.1300,26.1300,2016-05-18,0.0000,26.2300,25.9900,26.0000,1.0000,468465
25.9900,25.9900,2016-05-17,0.0000,26.0000,25.9800,26.0000,1.0000,483447
26.0000,26.0000,2016-05-16,0.0000,26.0600,25.9800,26.0100,1.0000,390346
26.0100,26.0100,2016-05-13,0.0000,26.0300,25.9900,26.0000,1.0000,779623
26.0100,26.0100,2016-05-12,0.0000,26.0500,25.9800,25.9800,1.0000,1227804
25.9600,25.9600,2016-05-11,0.0000,26.0000,25.9600,25.9900,1.0000,474627
26.0000,26.0000,2016-05-10,0.0000,26.0100,25.9700,25.9900,1.0000,599287
25.9900,25.9900,2016-05-09,0.0000,26.0000,25.9600,25.9700,1.0000,2972092
