adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
32.4000,32.4000,2020-05-12,0.0000,34.4500,30.4100,31.4200,1.0000,89210677
31.6400,31.6400,2020-05-11,0.0000,32.3850,31.4100,31.9800,1.0000,26397689
32.7900,32.7900,2020-05-08,0.0000,33.3000,31.6400,32.5900,1.0000,69503890
30.9300,30.9300,2020-05-07,0.0000,31.6500,29.5800,29.6000,1.0000,61373135
27.8200,27.8200,2020-05-06,0.0000,28.0600,26.8100,27.5000,1.0000,30817967
28.0700,28.0700,2020-05-05,0.0000,28.9088,27.4400,28.2500,1.0000,30709331
27.4200,27.4200,2020-05-04,0.0000,28.0700,26.5800,27.5600,1.0000,23392179
28.3900,28.3900,2020-05-01,0.0000,29.7200,28.3250,29.1300,1.0000,19277221
30.2700,30.2700,2020-04-30,0.0000,31.0500,29.7500,30.5000,1.0000,20052152
31.3700,31.3700,2020-04-29,0.0000,32.0000,30.3300,31.0000,1.0000,28267855
30.1200,30.1200,2020-04-28,0.0000,31.8300,29.3600,31.0000,1.0000,27368674
30.0800,30.0800,2020-04-27,0.0000,30.4900,29.4112,29.7400,1.0000,31688505
29.4900,29.4900,2020-04-24,0.0000,29.5900,28.1400,28.5100,1.0000,20634779
28.3300,28.3300,2020-04-23,0.0000,29.2500,28.2414,28.7500,1.0000,26972536
28.2400,28.2400,2020-04-22,0.0000,28.5600,27.5100,27.9700,1.0000,21198728
27.1900,27.1900,2020-04-21,0.0000,28.1500,26.6000,27.5000,1.0000,20955917
28.1900,28.1900,2020-04-20,0.0000,28.7600,26.9000,27.0700,1.0000,32191321
28.0000,28.0000,2020-04-17,0.0000,28.7900,27.2600,28.6900,1.0000,34116449
27.0300,27.0300,2020-04-16,0.0000,28.0500,26.4600,27.2100,1.0000,23550290
27.4100,27.4100,2020-04-15,0.0000,27.7900,26.4400,26.8200,1.0000,18689359
27.7500,27.7500,2020-04-14,0.0000,28.7700,27.0130,28.0000,1.0000,32605391
27.9900,27.9900,2020-04-13,0.0000,28.0800,26.4700,27.0400,1.0000,24653803
27.1100,27.1100,2020-04-09,0.0000,28.8900,26.4600,27.8800,1.0000,36154240
26.9400,26.9400,2020-04-08,0.0000,27.8781,25.7900,26.0000,1.0000,36136372
25.7400,25.7400,2020-04-07,0.0000,28.1100,25.5000,27.9500,1.0000,36396389
25.9900,25.9900,2020-04-06,0.0000,26.0900,23.9300,24.1300,1.0000,34662085
22.8200,22.8200,2020-04-03,0.0000,23.7900,21.6700,23.7300,1.0000,40545236
23.6800,23.6800,2020-04-02,0.0000,25.2000,23.0000,25.0100,1.0000,35810055
25.4200,25.4200,2020-04-01,0.0000,26.7670,24.8101,26.5000,1.0000,38443790
27.9200,27.9200,2020-03-31,0.0000,28.2500,26.9200,27.7500,1.0000,43010169
27.8300,27.8300,2020-03-30,0.0000,28.3900,25.3100,26.3300,1.0000,37712465
27.2800,27.2800,2020-03-27,0.0000,28.0300,25.0700,25.8200,1.0000,40248566
28.1200,28.1200,2020-03-26,0.0000,28.4400,25.7800,26.6000,1.0000,41329026
26.1900,26.1900,2020-03-25,0.0000,28.4500,25.3104,26.1800,1.0000,52437472
26.3900,26.3900,2020-03-24,0.0000,26.8400,23.5900,24.4100,1.0000,58375504
22.4000,22.4000,2020-03-23,0.0000,22.7300,19.7300,21.0700,1.0000,47716018
21.3300,21.3300,2020-03-20,0.0000,23.8900,20.6100,22.5300,1.0000,76438637
20.4900,20.4900,2020-03-19,0.0000,21.2600,15.7000,15.9600,1.0000,83667577
14.8200,14.8200,2020-03-18,0.0000,17.8000,13.7100,17.7600,1.0000,78112230
18.9100,18.9100,2020-03-17,0.0000,20.3100,18.0100,20.1800,1.0000,59930692
20.2900,20.2900,2020-03-16,0.0000,21.4900,19.1000,20.1500,1.0000,56866479
22.6000,22.6000,2020-03-13,0.0000,24.8100,21.1300,24.0100,1.0000,53690849
22.6100,22.6100,2020-03-12,0.0000,24.6900,22.1100,23.2600,1.0000,53895194
26.2400,26.2400,2020-03-11,0.0000,28.1400,25.6100,27.9100,1.0000,43058814
28.9700,28.9700,2020-03-10,0.0000,29.8600,27.0000,29.4700,1.0000,36270126
28.1700,28.1700,2020-03-09,0.0000,30.3200,28.1500,28.5000,1.0000,37236153
31.6800,31.6800,2020-03-06,0.0000,32.4100,30.4500,31.2300,1.0000,34789937
32.2100,32.2100,2020-03-05,0.0000,33.5700,31.9700,33.4700,1.0000,32731840
34.5300,34.5300,2020-03-04,0.0000,35.3400,32.2800,33.9300,1.0000,44710637
33.0400,33.0400,2020-03-03,0.0000,34.1800,31.9000,34.0200,1.0000,35155000
32.8500,32.8500,2020-03-02,0.0000,34.0800,31.7400,34.0500,1.0000,46608585
33.8700,33.8700,2020-02-28,0.0000,34.2900,31.0000,31.8100,1.0000,52040185
32.4500,32.4500,2020-02-27,0.0000,34.1600,30.6700,32.0300,1.0000,66508155
34.4500,34.4500,2020-02-26,0.0000,36.1650,33.8900,35.5300,1.0000,44051428
35.8900,35.8900,2020-02-25,0.0000,39.1500,35.5000,38.9000,1.0000,49225946
38.3100,38.3100,2020-02-24,0.0000,39.1400,37.7500,38.2100,1.0000,37065964
40.7200,40.7200,2020-02-21,0.0000,40.8900,40.0500,40.8900,1.0000,20595487
40.9200,40.9200,2020-02-20,0.0000,41.1900,39.8500,41.0000,1.0000,25424555
41.0500,41.0500,2020-02-19,0.0000,41.2300,40.1150,40.4200,1.0000,23262355
40.1800,40.1800,2020-02-18,0.0000,40.2700,39.4500,39.4900,1.0000,22149337
39.6600,39.6600,2020-02-14,0.0000,40.3100,38.7000,40.0200,1.0000,31982524
40.0900,40.0900,2020-02-13,0.0000,41.5500,40.0000,40.9300,1.0000,23825097
41.2500,41.2500,2020-02-12,0.0000,41.8600,41.0650,41.5000,1.0000,26356665
41.2700,41.2700,2020-02-11,0.0000,41.4650,40.0500,40.2500,1.0000,33815421
40.0100,40.0100,2020-02-10,0.0000,41.3400,39.9600,40.6500,1.0000,60598515
40.6300,40.6300,2020-02-07,0.0000,41.0000,38.8600,39.9800,1.0000,112227151
37.0900,37.0900,2020-02-06,0.0000,37.3900,36.7300,37.3000,1.0000,51692672
36.8100,36.8100,2020-02-05,0.0000,38.9700,36.7350,38.8900,1.0000,38376359
38.5300,38.5300,2020-02-04,0.0000,38.9900,37.2600,37.8700,1.0000,32395798
37.5900,37.5900,2020-02-03,0.0000,37.6400,36.5300,36.7500,1.0000,23508013
36.2900,36.2900,2020-01-31,0.0000,37.0400,35.6900,37.0000,1.0000,21542533
36.6800,36.6800,2020-01-30,0.0000,37.1319,35.9500,36.8200,1.0000,22819624
36.9900,36.9900,2020-01-29,0.0000,37.5650,36.8000,36.9800,1.0000,16862482
37.0100,37.0100,2020-01-28,0.0000,37.3300,36.0400,37.1400,1.0000,28956988
36.3000,36.3000,2020-01-27,0.0000,36.6500,34.1900,35.2300,1.0000,18809777
36.8000,36.8000,2020-01-24,0.0000,37.6650,36.2500,37.5000,1.0000,21590367
37.4000,37.4000,2020-01-23,0.0000,37.9500,36.7250,36.9700,1.0000,21350139
37.0400,37.0400,2020-01-22,0.0000,37.9400,36.9200,37.9400,1.0000,29751282
37.6000,37.6000,2020-01-21,0.0000,37.8000,35.4100,35.5000,1.0000,48679743
35.1300,35.1300,2020-01-17,0.0000,35.2500,34.6500,34.9700,1.0000,16917931
34.6800,34.6800,2020-01-16,0.0000,35.0600,34.1800,35.0300,1.0000,21952988
35.0100,35.0100,2020-01-15,0.0000,35.1493,34.5100,34.9000,1.0000,20746402
34.8400,34.8400,2020-01-14,0.0000,35.0200,33.9200,34.2000,1.0000,26018863
34.1400,34.1400,2020-01-13,0.0000,34.3400,33.5500,34.2900,1.0000,16915147
34.0100,34.0100,2020-01-10,0.0000,34.9900,33.8350,34.0800,1.0000,34266147
33.9700,33.9700,2020-01-09,0.0000,34.4700,33.2200,34.4500,1.0000,29385462
33.9300,33.9300,2020-01-08,0.0000,34.5200,32.4600,32.7300,1.0000,43944447
32.8100,32.8100,2020-01-07,0.0000,32.8400,31.3600,31.7900,1.0000,30125807
31.5800,31.5800,2020-01-06,0.0000,32.0600,31.0000,31.0100,1.0000,21203179
31.3700,31.3700,2020-01-03,0.0000,31.4300,30.4800,30.6200,1.0000,18822047
30.9900,30.9900,2020-01-02,0.0000,31.0000,29.7900,29.9400,1.0000,20577141
29.7400,29.7400,2019-12-31,0.0000,29.9500,28.9000,29.1100,1.0000,16228113
29.7400,29.7400,2019-12-30,0.0000,30.2000,29.3500,30.1300,1.0000,18806151
30.1700,30.1700,2019-12-27,0.0000,31.0600,30.1700,30.8000,1.0000,18461904
30.6700,30.6700,2019-12-26,0.0000,30.7900,30.0300,30.4700,1.0000,22199840
30.4400,30.4400,2019-12-24,0.0000,30.8400,30.1100,30.3300,1.0000,12938593
30.3300,30.3300,2019-12-23,0.0000,30.9400,29.8300,30.4900,1.0000,31208559
30.4500,30.4500,2019-12-20,0.0000,31.0300,29.8500,30.1000,1.0000,95454828
29.9900,29.9900,2019-12-19,0.0000,30.1700,29.5301,29.8400,1.0000,33799359
30.1300,30.1300,2019-12-18,0.0000,30.1400,29.3400,29.6200,1.0000,35374338
29.7500,29.7500,2019-12-17,0.0000,30.4200,29.5300,30.3700,1.0000,38247979
30.0500,30.0500,2019-12-16,0.0000,30.1300,29.1000,29.1100,1.0000,57368662
