adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.2105,0.2105,2020-05-12,0.0000,0.2105,0.2105,0.2105,1.0000,141
0.2110,0.2110,2020-05-11,0.0000,0.2110,0.2110,0.2110,1.0000,101
0.2105,0.2105,2020-05-08,0.0000,0.2105,0.2105,0.2105,1.0000,101
0.2080,0.2080,2020-05-07,0.0000,0.2080,0.2080,0.2080,1.0000,515
0.2051,0.2051,2020-05-06,0.0000,0.2051,0.2051,0.2051,1.0000,101
0.2500,0.2500,2020-05-05,0.0000,0.2500,0.2500,0.2500,1.0000,400
0.2480,0.2480,2020-05-04,0.0000,0.2500,0.2067,0.2080,1.0000,1661
0.2685,0.2685,2020-05-01,0.0000,0.3320,0.2685,0.2685,1.0000,892
0.2425,0.2425,2020-04-30,0.0000,0.2600,0.2080,0.2600,1.0000,1158
0.2355,0.2355,2020-04-29,0.0000,0.2355,0.2260,0.2260,1.0000,856
0.2260,0.2260,2020-04-28,0.0000,0.2260,0.2250,0.2250,1.0000,202
0.2400,0.2400,2020-04-27,0.0000,0.2400,0.2400,0.2400,1.0000,625
0.2310,0.2310,2020-04-24,0.0000,0.2410,0.2005,0.2410,1.0000,7731
0.2480,0.2480,2020-04-23,0.0000,0.2480,0.2427,0.2470,1.0000,2028
0.2095,0.2095,2020-04-22,0.0000,0.2095,0.2095,0.2095,1.0000,103
0.1985,0.1985,2020-04-21,0.0000,0.1985,0.1985,0.1985,1.0000,103
0.2175,0.2175,2020-04-20,0.0000,0.2175,0.2175,0.2175,1.0000,101
0.2120,0.2120,2020-04-17,0.0000,0.2120,0.2120,0.2120,1.0000,101
0.2470,0.2470,2020-04-16,0.0000,0.2470,0.2060,0.2060,1.0000,1240
0.2479,0.2479,2020-04-15,0.0000,0.2479,0.2055,0.2055,1.0000,2601
0.1840,0.1840,2020-04-14,0.0000,0.2760,0.1840,0.2760,1.0000,26421
0.2920,0.2920,2020-04-13,0.0000,0.2920,0.2920,0.2920,1.0000,100
0.2400,0.2400,2020-04-09,0.0000,0.2400,0.2400,0.2400,1.0000,101
0.2930,0.2930,2020-04-08,0.0000,0.2930,0.2415,0.2415,1.0000,5502
0.2475,0.2475,2020-04-07,0.0000,0.2475,0.2475,0.2475,1.0000,105
0.2340,0.2340,2020-04-06,0.0000,0.2340,0.2340,0.2340,1.0000,101
0.2105,0.2105,2020-04-03,0.0000,0.2105,0.2105,0.2105,1.0000,101
0.2430,0.2430,2020-04-02,0.0000,0.2430,0.2400,0.2400,1.0000,1317
0.2105,0.2105,2020-04-01,0.0000,0.2105,0.2105,0.2105,1.0000,104
0.2600,0.2600,2020-03-31,0.0000,0.2600,0.2600,0.2600,1.0000,112
0.2550,0.2550,2020-03-30,0.0000,0.2550,0.2065,0.2065,1.0000,6272
0.2105,0.2105,2020-03-27,0.0000,0.2135,0.2105,0.2135,1.0000,201
0.2205,0.2205,2020-03-26,0.0000,0.2205,0.2205,0.2205,1.0000,105
0.2170,0.2170,2020-03-25,0.0000,0.2170,0.2170,0.2170,1.0000,101
0.2100,0.2100,2020-03-24,0.0000,0.2345,0.2070,0.2080,1.0000,6717
0.2460,0.2460,2020-03-23,0.0000,0.2460,0.2460,0.2460,1.0000,100
0.2000,0.2000,2020-03-20,0.0000,0.2250,0.2000,0.2000,1.0000,12741
0.2005,0.2005,2020-03-19,0.0000,0.2005,0.2005,0.2005,1.0000,102
0.1985,0.1985,2020-03-18,0.0000,0.1985,0.1985,0.1985,1.0000,129
0.1735,0.1735,2020-03-17,0.0000,0.1735,0.1735,0.1735,1.0000,2400
0.1655,0.1655,2020-03-16,0.0000,0.1655,0.1655,0.1655,1.0000,101
0.2248,0.2248,2020-03-13,0.0000,0.2248,0.2248,0.2248,1.0000,3619
