adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
25.8500,25.8500,2020-05-12,0.0000,27.1300,25.7900,26.6900,1.0000,773426
26.9400,26.9400,2020-05-11,0.0000,27.4300,25.6000,27.0000,1.0000,798486
27.7200,27.7200,2020-05-08,0.0000,27.9750,26.6800,26.8000,1.0000,764163
26.2800,26.2800,2020-05-07,0.0000,26.7000,25.7600,25.7600,1.0000,708271
25.4300,25.4300,2020-05-06,0.0000,26.5900,25.0400,26.0000,1.0000,837900
25.9300,25.9300,2020-05-05,0.0000,28.5000,25.7600,26.7800,1.0000,839368
25.8500,25.8500,2020-05-04,0.0000,27.4300,25.0200,27.4200,1.0000,1190987
26.9500,26.9500,2020-05-01,0.0000,27.0000,24.8100,25.8100,1.0000,1246168
25.8700,25.8700,2020-04-30,0.0000,28.9200,24.8400,28.1000,1.0000,2596729
29.1200,29.1200,2020-04-29,0.0000,29.7650,27.8300,28.5100,1.0000,1215655
27.2900,27.2900,2020-04-28,0.0000,27.6300,25.8500,26.2300,1.0000,1078841
25.0000,25.0000,2020-04-27,0.0000,25.2500,23.3500,23.5000,1.0000,967740
23.0400,23.0400,2020-04-24,0.0000,23.2300,22.0500,22.4700,1.0000,735091
22.3400,22.3400,2020-04-23,0.0000,23.1500,21.9800,22.2400,1.0000,758425
21.9400,21.9400,2020-04-22,0.0000,23.5100,21.8600,23.2600,1.0000,689937
22.3900,22.3900,2020-04-21,0.0000,22.7100,21.9700,22.4000,1.0000,710787
23.1900,23.1900,2020-04-20,0.0000,24.1600,22.5700,23.3800,1.0000,755859
24.3700,24.3700,2020-04-17,0.0000,24.4790,23.5750,23.8600,1.0000,1085105
22.6600,22.6600,2020-04-16,0.0000,23.6900,22.1000,23.5700,1.0000,1082083
23.7700,23.7700,2020-04-15,0.0000,24.4460,22.9300,23.8800,1.0000,878090
25.3100,25.3100,2020-04-14,0.0000,27.0057,24.3000,26.6700,1.0000,708671
26.0300,26.0300,2020-04-13,0.0000,27.2500,25.1200,27.2500,1.0000,696955
26.4900,26.4900,2020-04-09,0.0000,27.7600,25.4300,25.9900,1.0000,1341903
24.8100,24.8100,2020-04-08,0.0000,24.9500,23.0300,24.0000,1.0000,881026
23.5400,23.5400,2020-04-07,0.0000,26.6700,23.2600,26.0000,1.0000,2002933
24.2300,24.2300,2020-04-06,0.0000,24.4500,22.6600,23.1600,1.0000,823286
21.4700,21.4700,2020-04-03,0.0000,22.8000,20.3600,22.6400,1.0000,797440
22.7500,22.7500,2020-04-02,0.0000,22.9500,20.4600,22.2700,1.0000,924891
22.3500,22.3500,2020-04-01,0.0000,23.3600,20.8850,21.0800,1.0000,1349590
22.8500,22.8500,2020-03-31,0.0000,23.3300,21.9200,22.2800,1.0000,824727
22.2800,22.2800,2020-03-30,0.0000,23.2700,21.2400,22.8700,1.0000,1049717
22.9600,22.9600,2020-03-27,0.0000,25.1900,22.3701,25.0500,1.0000,963534
26.3400,26.3400,2020-03-26,0.0000,27.2850,24.8500,25.6200,1.0000,1092775
25.1000,25.1000,2020-03-25,0.0000,26.1300,21.5500,22.4500,1.0000,1618459
22.0400,22.0400,2020-03-24,0.0000,22.2700,20.0200,20.2800,1.0000,1527293
18.6500,18.6500,2020-03-23,0.0000,19.3600,16.4000,17.2000,1.0000,1230151
17.6400,17.6400,2020-03-20,0.0000,19.1000,17.0300,18.0100,1.0000,1282096
17.3900,17.3900,2020-03-19,0.0000,17.8400,14.5100,15.3600,1.0000,1772170
15.7700,15.7700,2020-03-18,0.0000,20.5300,13.5150,20.5300,1.0000,1823963
22.4300,22.4300,2020-03-17,0.0000,22.5100,19.5000,22.3700,1.0000,2237232
22.0600,22.0600,2020-03-16,0.0000,23.7100,21.1200,21.9300,1.0000,1482079
25.4800,25.4800,2020-03-13,0.0000,27.4500,23.7300,27.3600,1.0000,1046982
25.5300,25.5300,2020-03-12,0.0000,27.9000,22.5200,25.9600,1.0000,1545160
28.4900,28.4900,2020-03-11,0.0000,31.1400,27.9400,30.8000,1.0000,1387105
31.9500,31.9500,2020-03-10,0.0000,32.0700,28.7050,28.8800,1.0000,2064209
27.1700,27.1700,2020-03-09,0.0000,31.1200,27.0800,31.1200,1.0000,1791929
33.8200,33.8200,2020-03-06,0.0000,35.0400,32.2900,35.0400,1.0000,1784480
35.8500,35.8500,2020-03-05,0.0000,38.2500,35.2150,37.9100,1.0000,1288670
39.1800,39.1800,2020-03-04,0.0000,39.8175,38.1300,39.5400,1.0000,1159026
39.0300,39.0300,2020-03-03,0.0000,41.7700,38.2000,41.5700,1.0000,1482610
41.5700,41.5700,2020-03-02,0.0000,41.8700,39.1600,40.9400,1.0000,1256228
40.5700,40.5700,2020-02-28,0.0000,41.7300,39.8300,40.4200,1.0000,1171843
41.6200,41.6200,2020-02-27,0.0000,43.6200,41.5900,42.4300,1.0000,1047937
43.6400,43.6400,2020-02-26,0.0000,45.2700,43.3500,44.2700,1.0000,889915
43.7400,43.7400,2020-02-25,0.0000,46.4098,43.2100,46.2400,1.0000,885341
46.2500,46.2500,2020-02-24,0.0000,47.3000,45.9300,46.6700,1.0000,959758
48.3000,48.3000,2020-02-21,0.0000,48.5000,47.6300,48.4900,1.0000,601561
48.7800,48.7800,2020-02-20,0.0000,49.1900,48.5850,48.7000,1.0000,628866
48.9300,48.9300,2020-02-19,0.0000,49.0000,48.1800,48.3000,1.0000,733266
47.9600,47.9600,2020-02-18,0.0000,48.6600,47.8700,48.1900,1.0000,923343
48.3500,48.3500,2020-02-14,0.0000,48.9300,47.8750,48.1900,1.0000,867934
48.3200,48.3200,2020-02-13,0.0000,48.4500,47.0100,47.9000,1.0000,640217
47.7300,47.7300,2020-02-12,0.0000,49.3100,47.6400,47.9000,1.0000,658920
47.3500,47.3500,2020-02-11,0.0000,47.9300,47.1600,47.4700,1.0000,751542
47.2700,47.2700,2020-02-10,0.0000,47.8400,46.8200,47.6700,1.0000,769785
47.8400,47.8400,2020-02-07,0.0000,49.0000,47.7700,49.0000,1.0000,565895
49.2200,49.2200,2020-02-06,0.0000,50.5050,49.0600,50.4800,1.0000,760734
50.2000,50.2000,2020-02-05,0.0000,50.2200,48.8200,49.2500,1.0000,1272966
48.7000,48.7000,2020-02-04,0.0000,49.6000,48.6300,49.5000,1.0000,1404516
48.5000,48.5000,2020-02-03,0.0000,49.2900,48.4400,48.5300,1.0000,1072305
48.4100,48.4100,2020-01-31,0.0000,50.4700,48.3100,50.2500,1.0000,1622464
50.6400,50.6400,2020-01-30,0.0000,52.5250,49.5000,51.9600,1.0000,2061769
52.6200,52.6200,2020-01-29,0.0000,53.1900,52.5500,52.9500,1.0000,709710
52.6800,52.6800,2020-01-28,0.0000,53.0300,51.7500,52.2000,1.0000,588555
52.0000,52.0000,2020-01-27,0.0000,52.6350,51.9500,52.2100,1.0000,1337729
53.1400,53.1400,2020-01-24,0.0000,54.3100,52.9800,53.9000,1.0000,1048014
53.9100,53.9100,2020-01-23,0.0000,54.8150,53.7200,54.7300,1.0000,1367635
54.9500,54.9500,2020-01-22,0.0000,55.5100,54.9200,55.1500,1.0000,548172
55.1600,55.1600,2020-01-21,0.0000,55.7850,54.9700,55.6700,1.0000,994921
55.8200,55.8200,2020-01-17,0.0000,56.2900,55.5600,56.2900,1.0000,1509236
56.0000,56.0000,2020-01-16,0.0000,56.2000,55.4950,55.9200,1.0000,929883
55.6000,55.6000,2020-01-15,0.0000,56.4050,55.0500,56.0200,1.0000,1481208
56.4000,56.4000,2020-01-14,0.0000,56.8000,56.0900,56.7100,1.0000,2399499
56.4300,56.4300,2020-01-13,0.0000,59.5285,56.0300,59.1600,1.0000,3297679
58.1400,58.1400,2020-01-10,0.0000,59.0000,57.5800,59.0000,1.0000,693312
58.5400,58.5400,2020-01-09,0.0000,59.1400,57.8800,58.5700,1.0000,1622433
59.5300,59.5300,2020-01-08,0.0000,60.0200,59.3700,59.4000,1.0000,683334
59.3900,59.3900,2020-01-07,0.0000,59.7300,58.5100,58.9500,1.0000,815329
58.5000,58.5000,2020-01-06,0.0000,59.3700,58.3100,59.1600,1.0000,987297
58.9500,58.9500,2020-01-03,0.0000,61.3200,58.7600,58.7600,1.0000,2559725
58.8800,58.8800,2020-01-02,0.0000,60.0000,58.2000,60.0000,1.0000,1567747
59.3900,59.3900,2019-12-31,0.0000,60.3400,59.3100,59.6600,1.0000,327963
59.9900,59.9900,2019-12-30,0.0000,60.3700,59.2300,59.6900,1.0000,573302
59.3100,59.3100,2019-12-27,0.0000,61.0200,58.5000,58.5000,1.0000,1144904
57.7900,57.7900,2019-12-26,0.0000,58.7000,57.5400,58.6000,1.0000,691619
58.5700,58.5700,2019-12-24,0.0000,59.8500,58.4800,58.6200,1.0000,1422657
55.7100,55.7100,2019-12-23,0.0000,56.1500,55.5300,56.1500,1.0000,263459
55.9900,55.9900,2019-12-20,0.0000,56.4500,55.1600,55.4400,1.0000,940622
55.5400,55.5400,2019-12-19,0.0000,55.7300,55.2300,55.6300,1.0000,708631
55.5200,55.5200,2019-12-18,0.0000,56.6100,55.3500,56.2400,1.0000,555128
56.1500,56.1500,2019-12-17,0.0000,56.7800,55.6400,56.5100,1.0000,598546
56.2800,56.2800,2019-12-16,0.0000,56.5400,55.9200,56.4800,1.0000,509695
56.0800,56.0800,2019-12-13,0.0000,57.3800,55.8300,56.9000,1.0000,774229
57.1800,57.1800,2019-12-12,0.0000,57.4500,55.8300,56.1200,1.0000,743818
56.0500,56.0500,2019-12-11,0.0000,56.1200,55.1400,56.0100,1.0000,376662
55.5600,55.5600,2019-12-10,0.0000,56.3496,54.9000,55.7000,1.0000,822887
54.8700,54.8700,2019-12-09,0.0000,55.4700,54.8500,55.0000,1.0000,326050
55.2100,55.2100,2019-12-06,0.0000,55.3600,54.4700,54.9200,1.0000,869810
54.0800,54.0800,2019-12-05,0.0000,54.6100,53.6000,53.7100,1.0000,991583
51.9000,51.9000,2019-12-04,0.0000,52.8100,51.8500,52.2900,1.0000,257140
52.0300,52.0300,2019-12-03,0.0000,52.0600,51.0000,51.5300,1.0000,373292
52.2400,52.2400,2019-12-02,0.0000,53.4000,52.1700,52.8200,1.0000,369406
52.6200,52.6200,2019-11-29,0.0000,53.3600,52.5100,53.3600,1.0000,105526
53.4600,53.4600,2019-11-27,0.0000,53.6100,52.8400,53.6100,1.0000,304220
53.3800,53.3800,2019-11-26,0.0000,53.8150,53.1500,53.6600,1.0000,478542
53.6200,53.6200,2019-11-25,0.0000,54.4500,53.0100,53.4700,1.0000,585994
53.1900,53.1900,2019-11-22,0.0000,53.3500,51.8500,53.1100,1.0000,598539
