adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
7.9100,7.9100,2020-05-12,0.0000,8.3700,7.6300,7.9200,1.0000,280355
7.8400,7.8400,2020-05-11,0.0000,7.8700,7.2289,7.2400,1.0000,362782
7.1500,7.1500,2020-05-08,0.0000,7.4600,7.0300,7.1300,1.0000,158544
7.1300,7.1300,2020-05-07,0.0000,7.3000,6.9800,7.1000,1.0000,199018
7.1000,7.1000,2020-05-06,0.0000,7.2500,6.2526,7.1500,1.0000,562826
7.3100,7.3100,2020-05-05,0.0000,7.5000,6.9600,7.3400,1.0000,158304
7.3600,7.3600,2020-05-04,0.0000,7.4500,6.9100,7.1900,1.0000,169659
7.3000,7.3000,2020-05-01,0.0000,7.3200,6.9100,7.3100,1.0000,301889
7.3700,7.3700,2020-04-30,0.0000,7.6800,7.3100,7.6500,1.0000,307300
7.8000,7.8000,2020-04-29,0.0000,7.8500,7.4100,7.5500,1.0000,298836
7.5700,7.5700,2020-04-28,0.0000,7.9900,7.3010,7.6300,1.0000,293056
7.5700,7.5700,2020-04-27,0.0000,8.3785,7.3600,8.3200,1.0000,653637
8.2800,8.2800,2020-04-24,0.0000,8.4900,8.0500,8.1600,1.0000,331999
8.0900,8.0900,2020-04-23,0.0000,8.2500,7.3000,7.4000,1.0000,406403
7.4000,7.4000,2020-04-22,0.0000,7.5000,7.1300,7.2800,1.0000,220776
7.2400,7.2400,2020-04-21,0.0000,7.8900,6.8500,7.6000,1.0000,636529
7.9000,7.9000,2020-04-20,0.0000,8.3800,7.5600,8.0300,1.0000,442938
8.0400,8.0400,2020-04-17,0.0000,8.3900,7.5700,8.3900,1.0000,435039
8.3700,8.3700,2020-04-16,0.0000,9.3800,7.5600,9.1800,1.0000,1100191
9.1800,9.1800,2020-04-15,0.0000,9.5700,8.8000,9.2200,1.0000,303673
9.4500,9.4500,2020-04-14,0.0000,9.4500,9.0100,9.4500,1.0000,335592
9.4300,9.4300,2020-04-13,0.0000,9.4950,8.9600,9.1100,1.0000,390121
9.0500,9.0500,2020-04-09,0.0000,9.1900,8.3000,8.5100,1.0000,441670
8.6000,8.6000,2020-04-08,0.0000,8.7200,8.2500,8.4900,1.0000,280964
8.4500,8.4500,2020-04-07,0.0000,8.7500,7.4500,8.6100,1.0000,416657
8.3600,8.3600,2020-04-06,0.0000,9.5500,8.1200,9.5000,1.0000,699429
9.2700,9.2700,2020-04-03,0.0000,9.7977,8.7200,9.1400,1.0000,464698
9.3000,9.3000,2020-04-02,0.0000,10.4500,8.8564,9.4400,1.0000,1045277
9.4200,9.4200,2020-04-01,0.0000,9.6000,7.8500,7.8500,1.0000,882006
8.0000,8.0000,2020-03-31,0.0000,8.3500,7.3346,7.3600,1.0000,573153
7.3400,7.3400,2020-03-30,0.0000,7.9099,7.2000,7.5000,1.0000,522438
